time	species_1	species_2	species_3	species_4
0.0.	0.0	0.0	0.0	0.0
0.0.5.0	0.14625521000923	0.14759322760249102	0.14625521000923	0.14759322760249102
1.0.	0.152560798914605	0.156844889635218	0.152560798914605	0.156844889635218
1.0.5.0	0.153219203228317	0.160116328329413	0.153219203228317	0.160116328329413
2.0.	0.153292131434866	0.162338802682423	0.153292131434866	0.162338802682423
2.0.5.0	0.153300259444436	0.16413585366621902	0.153300259444436	0.16413585366621902
3.0.	0.153301166009147	0.16565851600168702	0.153301166009147	0.16565851600168702
3.0.5.0	0.153301267161459	0.166981143767638	0.153301267161459	0.166981143767638
4.0.	0.15330127844739	0.168153463851396	0.15330127844739	0.168153463851396
4.0.5.0	0.153301279706568	0.16921175448791	0.153301279706568	0.16921175448791
5.0.	0.15330127984705502	0.170183551667683	0.15330127984705502	0.170183551667683
5.0.5.0	0.153301279862729	0.171090465165979	0.153301279862729	0.171090465165979
6.0.	0.153301279864478	0.17195006568037102	0.153301279864478	0.17195006568037102
6.0.5.0	0.153301279864673	0.17277722440165602	0.153301279864673	0.17277722440165602
7.0.	0.15330127986469502	0.173585121683832	0.15330127986469502	0.173585121683832
7.0.5.0	0.15330127986469702	0.174386067652283	0.15330127986469702	0.174386067652283
8.0.	0.15330127986469802	0.17519224130969901	0.15330127986469802	0.17519224130969901
8.0.5.0	0.15330127986469802	0.176016442208763	0.15330127986469802	0.176016442208763
9.0.	0.15330127986469802	0.17687295710630802	0.15330127986469802	0.17687295710630802
9.0.5.0	0.15330127986469802	0.17777867780758802	0.15330127986469802	0.17777867780758802
10.0.	0.15330127986469802	0.178754680756811	0.15330127986469802	0.178754680756811
10.0.5.0	0.15330127986469802	0.17982862931898902	0.15330127986469802	0.17982862931898902
11.0.	0.15330127986469802	0.181038667934029	0.15330127986469802	0.181038667934029
11.0.5.0	0.15330127986469802	0.18244014160684802	0.15330127986469802	0.18244014160684802
12.0.	0.15330127986469802	0.18411801447834902	0.15330127986469802	0.18411801447834902
12.0.5.0	0.15330127986469802	0.18621179124695503	0.15330127986469802	0.18621179124695503
13.0.	0.15330127986469802	0.188971106957374	0.15330127986469802	0.188971106957374
13.0.5.0	0.15330127986469802	0.192899059873364	0.15330127986469802	0.192899059873364
14.0.	0.15330127986469802	0.199210786217275	0.15330127986469802	0.199210786217275
14.0.5.0	0.15330127986469802	0.21195418635170102	0.15330127986469802	0.21195418635170102
15.0.	0.15330127986469802	0.26025427758769704	0.15330127986469802	0.26025427758769704
15.0.5.0	0.15330127986469802	0.500120432035022	0.15330127986469802	0.500120432035022
16.0.	0.15330127986469802	0.696102224400672	0.15330127986469802	0.696102224400672
16.0.5.0	0.15330127986469802	0.8155823879889601	0.15330127986469802	0.8155823879889601
17.0.	0.15330127986469802	0.888109018441358	0.15330127986469802	0.888109018441358
17.0.5.0	0.15330127986469802	0.9321132486197891	0.15330127986469802	0.9321132486197891
18.0.	0.15330127986469802	0.9588086582861831	0.15330127986469802	0.9588086582861831
18.0.5.0	0.15330127986469802	0.9750027810924711	0.15330127986469802	0.9750027810924711
19.0.	0.15330127986469802	0.984826324949116	0.15330127986469802	0.984826324949116
19.0.5.0	0.15330127986469802	0.9907853295178021	0.15330127986469802	0.9907853295178021
20.0.	0.15330127986469802	0.99440006339108	0.15330127986469802	0.9944000633910791
20.0.5.0	0.15330127986469802	0.996592753511743	0.15330127986469802	0.996592753511743
21.0.	0.15330127986469802	0.997922831799617	0.15330127986469802	0.997922831799617
21.0.5.0	0.15330127986469802	0.9987296516249041	0.15330127986469802	0.9987296516249031
22.0.	0.15330127986469802	0.9992190646983521	0.15330127986469802	0.9992190646983521
22.0.5.0	0.15330127986469802	0.9995159401989331	0.15330127986469802	0.9995159401989331
23.0.	0.15330127986469802	0.9996960233263241	0.15330127986469802	0.9996960233263241
23.0.5.0	0.15330127986469802	0.99980526079092	0.15330127986469802	0.99980526079092
24.0.	0.15330127986469802	0.999871523647163	0.15330127986469802	0.999871523647163
24.0.5.0	0.15330127986469802	0.9999117183353681	0.15330127986469802	0.9999117183353681
25.0.	0.15330127986469802	0.9999361002136551	0.15330127986469802	0.9999361002136551
25.0.5.0	0.15330127986469802	0.9999508901274721	0.15330127986469802	0.9999508901274721
26.0.	0.15330127986469802	0.9999598616080501	0.15330127986469802	0.9999598616080501
26.0.5.0	0.15330127986469802	0.9999653036589001	0.15330127986469802	0.9999653036589001
27.0.	0.15330127986469802	0.9999686047770421	0.15330127986469802	0.9999686047770421
27.0.5.0	0.15330127986469802	0.999970607217161	0.15330127986469802	0.999970607217161
28.0.	0.15330127986469802	0.999971821886327	0.15330127986469802	0.999971821886327
28.0.5.0	0.15330127986469802	0.9999725586979641	0.15330127986469802	0.9999725586979641
29.0.	0.15330127986469802	0.999973005643851	0.15330127986469802	0.999973005643851
29.0.5.0	0.15330127986469802	0.9999732767587681	0.15330127986469802	0.9999732767587681
30.0.	0.15330127986469802	0.9999734412155861	0.15330127986469802	0.9999734412155861
30.0.5.0	0.15330127986469802	0.9999735409741871	0.15330127986469802	0.9999735409741871
31.0.	0.15330127986469802	0.999973601487206	0.15330127986469802	0.999973601487206
31.0.5.0	0.15330127986469802	0.99997363819407	0.15330127986469802	0.99997363819407
32.0.	0.15330127986469802	0.999973660460252	0.15330127986469802	0.999973660460252
32.0.5.0	0.15330127986469802	0.999973673966795	0.15330127986469802	0.999973673966795
33.0.	0.15330127986469802	0.9999736821597911	0.15330127986469802	0.9999736821597911
