time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
0.0.	0.5566	0.49820000000000003	3.6628	4.1953	2.7527	0.40140000000000003	2.7527	3.175	0.25830000000000003	0.003185	0.3175	0.003185	0.23950000000000002	0.003185	0.0	0.0	0.0	0.0	0.0	0.0	0.23950000000000002	0.003185	0.2571	0.003185
0.0.72.0	0.9785214025540011	0.465488975175175	3.69441494263971	4.146001327430755	2.612529987671654	0.21342771734360502	2.612529987671655	3.076919829310213	0.250063575717759	0.003185	0.30600713878088204	0.003185	0.23249957727661802	0.003185	0.031902560587429005	0.03415108618549	0.03415108618549	0.04887727168738001	0.42291452840033006	0.490103505048734	0.23249957727661802	0.003185	0.247859036357496	0.003185
1.0.44.0	1.497423889968403	0.45126855182832903	3.904227462639149	4.090361987431137	2.549246577034073	0.13548807592512602	2.549246577034076	3.00254859263173	0.256126644215881	0.003185	0.299315520473722	0.003185	0.23006767038832002	0.003185	0.07815540395293101	0.081043839535285	0.081043839535285	0.11419620755360001	0.43032500330391005	0.48135134545809105	0.23006767038832002	0.003185	0.24640641768627503	0.003185
2.0.16.0	2.06397561340487	0.450491465330069	4.164159636522253	4.035328362789879	2.535477522425245	0.09828398980109201	2.5354775224252473	2.992548928185459	0.261169182539468	0.003185	0.297523298784653	0.003185	0.232330326153517	0.003185	0.13784461465057302	0.13908828156761202	0.13908828156761202	0.192296568852586	0.433859591366397	0.47707449152996506	0.232330326153517	0.003185	0.25252741537064	0.003185
2.0.88.0	2.579908307819194	0.460272671835367	4.411442953679094	3.986650480079943	2.5571672860064822	0.08043214876794301	2.557167286006485	3.057122345417248	0.264644008345072	0.003185	0.299845284265083	0.003185	0.23866528542213702	0.003185	0.20598043245688202	0.20272982943429002	0.20272982943429002	0.27426147416822905	0.43319480355398204	0.478099071817742	0.23866528542213702	0.003185	0.26476952218660404	0.003185
3.0.5999999999999996.0	2.962877081574204	0.4777478929271	4.604396254300225	3.948072020934349	2.60259019508458	0.072746862474431	2.602590195084582	3.187190796737398	0.26614340855207	0.003185	0.30498338591114704	0.003185	0.247944495093071	0.003185	0.275136500955301	0.264460766978044	0.264460766978044	0.34969363057887304	0.428293683963861	0.484372755515074	0.247944495093071	0.003185	0.281036089067885	0.003185
4.0.32.0	3.15651524770793	0.5000072800597191	4.714069302021855	3.921276045182885	2.661949719473901	0.071487433274268	2.661949719473901	3.364614362648299	0.265497577608637	0.003185	0.311704138252747	0.003185	0.259002865223081	0.003185	0.338135401699574	0.31758126365355005	0.31758126365355005	0.41077750454571005	0.41987641004215903	0.49486916189171903	0.259002865223081	0.003185	0.299407171544186	0.003185
5.0.04.0	3.128961080335951	0.524627217005554	4.724273016536871	3.906419930467996	2.7283818952453442	0.075669536167528	2.7283818952453442	3.570585525730887	0.26283482846418804	0.003185	0.31913803647870204	0.003185	0.270928814765518	0.003185	0.38965935198524004	0.35754229102475504	0.35754229102475504	0.453500865002868	0.40914783364113305	0.5080485357529501	0.270928814765518	0.003185	0.318520009654677	0.003185
5.0.76.0	2.869846850351027	0.5497448774311561	4.6305954707844545	3.902778835641611	2.798053556866009	0.08643704900012801	2.79805355686601	3.78991421919504	0.25852780483668203	0.003185	0.326772237193492	0.003185	0.283104168597871	0.003185	0.42653647647692705	0.38188467633740003	0.38188467633740003	0.476689250190989	0.39736211490636303	0.522399101012842	0.283104168597871	0.003185	0.33752474825329104	0.003185
6.0.4799999999999995.0	2.388899689876008	0.5736281199331681	4.438431967594876	3.909217771994299	2.869944527301609	0.10831174565821501	2.869944527301611	4.011753034936536	0.25307424560051	0.003185	0.33432870549487	0.003185	0.29511949964412704	0.003185	0.44719372046452605	0.38947094197195997	0.38947094197195997	0.480356835080924	0.385534772911151	0.5367424109256991	0.29511949964412704	0.003185	0.35589129685652204	0.003185
