time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	300.0	200	20	0.0	1199.99994221	0.0	0.0	1199.99994221	0.0	0.0	100
40.0.	69.50411716505945	200	20	230.4958828349401	1181.3538558342063	13.086314938745197	5.559771437050432	1199.6885173066946	0.303436689160184	0.0079882141448	100
80.0.	47.149173111316024	200	20	252.85082688868343	1166.510356520141	20.68988768974139	12.799698000120356	1198.8136493403533	1.090289869233897	0.09600300041211	100
120.0.	44.18824369089843	200	20	255.81175630910107	1157.708260273497	24.599092788545523	17.692589147959207	1197.9079630260132	1.8424553789247522	0.24952380506055902	100
160.0.	42.38509098431817	200	20	257.6149090156815	1150.6016776813947	27.407741609064068	21.99052291954313	1196.9688253661536	2.58060999353809	0.450506850307386	100
200.0.	40.71046019138758	200	20	259.28953980861206	1143.3047041642212	29.98750166330003	26.707736382480256	1195.8275064911106	3.434086562459634	0.738349156428821	100
240.0.	38.83581285325599	200	20	261.1641871467437	1134.4096227777025	32.751814687706634	32.838504744591795	1194.201094825166	4.58272210571233	1.216125279120774	100
280.0.	36.45583249092826	200	20	263.54416750907154	1122.006541899671	35.98649923137506	42.00690107895423	1191.505063754758	6.343566027298998	2.151312427941711	100
320.0.	33.214296296740514	200	20	266.7857037032593	1102.9289144171923	39.77633936082359	57.29468843198334	1186.3762694850789	9.305558051278323	4.318114673641238	100
360.0.	28.862499045564302	200	20	271.13750095443567	1072.3661171329366	43.562097661449506	84.0717274156132	1175.6148202847683	14.321985458155211	10.063136467075156	100
400.0.	23.72026841185943	200	20	276.2797315881406	1025.3141693112418	45.786052187852995	128.89972071090406	1152.6586639095367	21.532035380191328	25.809242920270826	100
440.0.	18.774000569339538	200	20	281.22599943066047	960.1315361651781	45.02818553317195	194.84022051164953	1107.4707594835995	28.148911701163513	64.38027102523606	100
480.0.	14.81539827381111	200	20	285.1846017261891	879.8700548232242	41.64420214894324	278.4856852378319	1030.0526724670272	29.846885257495558	140.1003844854762	100
520.0.	11.935692889524274	200	20	288.06430711047597	789.4588536681662	37.00273494382808	373.53835359800496	914.6485471883659	26.48878578112312	258.8626092405099	100
560.0.	9.879333017643512	200	20	290.1206669823568	692.9715397160799	32.02175711847844	475.0066453754412	759.8440465875544	20.775841292607225	419.3800543298367	100
600.0.	8.385282616005954	200	20	291.6147173839944	593.1355944802824	27.073389625784632	579.7909581039321	567.010136353294	14.484466163043914	618.5053396936603	100
640.0.	7.270935908951668	200	20	292.7290640910488	491.82528349118877	22.30471919023989	685.8699395285706	341.48281902158925	8.328856015791507	850.1882671726172	100
680.0.	6.419456494858222	200	20	293.58054350514215	390.5812682045524	17.82330056956003	791.5953734358875	106.15414466177378	2.8684992997542342	1090.9772982484697	100
720.0.	5.758179478735937	200	20	294.2418205212645	291.1083374717045	13.937516927407424	894.9540878108894	1.087708591554574	0.640860387577876	1198.2713732308653	100
760.0.	5.240199627605752	200	20	294.7598003723958	195.86700533227125	10.283766843902415	993.849170033828	0.0057145508651460005	0.558894425805897	1199.435333233326	100
