time	ADP	ATP	BPG	P3G	pep	phos	pyr
0.0.	0.5	9.5	0.0	5.0	5	0.5	0
0.0.55.0	0.520240774832046	9.479759225167951	0.01591820833709	4.984081791662902	5	0.504322566494955	0
1.0.1.0	0.529136182546271	9.470863817453724	0.017845872309177002	4.9821541276908174	5	0.511290310237093	0
1.0.6500000000000001.0	0.536515417232127	9.46348458276787	0.017955492794259002	4.9820445072057336	5	0.518559924437867	0
2.0.2.0	0.5435983471131071	9.456401652886887	0.017795557676475	4.9822044423235194	5	0.5258027894366331	0
2.0.75.0	0.5505712464386561	9.449428753561339	0.017600094690442002	4.98239990530955	5	0.5329711517482151	0
3.0.3000000000000003.0	0.557464620334436	9.44253537966556	0.017404646976222002	4.98259535302377	5	0.5400599733582141	0
3.0.8500000000000005.0	0.564284959428019	9.435715040571978	0.017214334114397	4.982785665885596	5	0.547070625313622	0
4.0.4.0	0.5710350070933771	9.428964992906623	0.017029667307332002	4.982970332692662	5	0.554005339786045	0
4.0.95.0	0.5777168595481721	9.422283140451828	0.016850482468557002	4.983149517531437	5	0.5608663770796151	0
5.0.5.0	0.584332439034914	9.415667560965085	0.016676531300164003	4.983323468699833	5	0.56765590773475	0
6.0.050000000000001.0	0.5908835692499771	9.409116430750025	0.016507567916287002	4.983492432083708	5	0.57437600133369	0
6.0.6000000000000005.0	0.597371990957277	9.402628009042722	0.016343360357979002	4.983656639642015	5	0.581028630599298	0
7.0.15.0	0.603799368423892	9.396200631576104	0.016183691161394002	4.983816308838601	5	0.5876156772624971	0
7.0.700000000000001.0	0.610167294199712	9.389832705800279	0.016028356439742	4.9839716435602535	5	0.5941389377599691	0
8.0.25.0	0.6164772933693581	9.383522706630629	0.015877164847175003	4.984122835152822	5	0.600600128522182	0
8.0.8.0	0.622730827465214	9.377269172534772	0.01572993661122	4.984270063388778	5	0.607000890853994	0
9.0.350000000000001.0	0.628929298091855	9.37107070190813	0.015586502651049002	4.9844134973489505	5	0.6133427954408041	0
9.0.9.0	0.6350740502898891	9.364925949710091	0.015446703775819002	4.98455329622418	5	0.619627346514069	0
10.0.450000000000001.0	0.6411663756620261	9.358833624337953	0.015310389955061001	4.9846896100449385	5	0.6258559857069651	0
11.0.	0.6472075152815371	9.352792484718444	0.015177419653667002	4.984822580346332	5	0.63203009562787	0
11.0.55.0	0.653198662401279	9.346801337598698	0.015047659224839001	4.98495234077516	5	0.63815100317644	0
12.0.100000000000001.0	0.659140964979679	9.340859035020298	0.014920982355128001	4.98507901764487	5	0.644219982624549	0
12.0.65.0	0.6650355280384861	9.33496447196149	0.014797269556373002	4.985202730443627	5	0.650238258482111	0
13.0.200000000000001.0	0.670883415865767	9.329116584134209	0.014676407699925	4.985323592300074	5	0.6562070081658411	0
13.0.750000000000002.0	0.6766856540763021	9.323314345923672	0.01455828958908	4.985441710410918	5	0.6621273644872211	0
14.0.3.0	0.682443231540469	9.317556768459504	0.014442813566056001	4.985557186433943	5	0.668000417974412	0
14.0.850000000000001.0	0.688157102191708	9.311842897808264	0.014329883150287001	4.985670116849713	5	0.6738272190414201	0
15.0.400000000000002.0	0.6938281867217141	9.306171813278258	0.014219406705113001	4.985780593294887	5	0.6796087800166001	0
15.0.950000000000001.0	0.699457374171772	9.300542625828202	0.014111297130290001	4.985888702869709	5	0.6853460770414811	0
16.0.5.0	0.7050455234278471	9.294954476572126	0.014005471577976	4.985994528422024	5	0.69104005184987	0
17.0.05.0	0.710593464626442	9.289406535373534	0.013901851190118001	4.986098148809882	5	0.696691613436324	0
17.0.6.0	0.7161020004776251	9.283897999522349	0.013800360855353001	4.9861996391446475	5	0.7023016396222711	0
18.0.150000000000002.0	0.721571907511083	9.27842809248889	0.013700928983749002	4.986299071016251	5	0.707870978527334	0
18.0.700000000000003.0	0.7270039372506051	9.272996062749366	0.013603487297840002	4.98639651270216	5	0.7134004499527651	0
19.0.25.0	0.732398817321919	9.267601182678053	0.013507970638602	4.986492029361399	5	0.718890846683317	0
19.0.8.0	0.737757252498453	9.262242747501519	0.013414316785113001	4.98658568321489	5	0.7243429357133381	0
20.0.35.0	0.743079925689185	9.256920074310788	0.013322466286779001	4.986677533713225	5	0.7297574594024041	0
20.0.900000000000002.0	0.74836749887247	9.251632501127503	0.013232362307099002	4.986767637692905	5	0.7351351365653681	0
21.0.450000000000003.0	0.7536206139793671	9.24637938602061	0.013143950478052	4.986856049521951	5	0.740476663501311	0
22.0.	0.7588398937297821	9.241160106270192	0.013057178764258002	4.986942821235745	5	0.7457827149655211	0
22.0.55.0	0.7640259424244521	9.235974057575522	0.012971997336147002	4.987028002663857	5	0.751053945088303	0
23.0.1.0	0.7691793466955731	9.230820653304404	0.012888358451445	4.987111641548557	5	0.7562909882441261	0
23.0.650000000000002.0	0.774300676218684	9.225699323781294	0.012806216344340001	4.987193783655663	5	0.7614944598743421	0
24.0.200000000000003.0	0.779390484388214	9.220609515611764	0.012725527121739001	4.987274472878263	5	0.7666649572664721	0
24.0.750000000000004.0	0.7844493089589221	9.215550691041054	0.0126462486661	4.987353751333903	5	0.7718030602928191	0
25.0.3.0	0.7894776726553151	9.210522327344659	0.012568340544340001	4.987431659455665	5	0.776909332110973	0
25.0.85.0	0.794476083750958	9.205523916249012	0.012491763922382	4.9875082360776215	5	0.7819843198285741	0
26.0.400000000000002.0	0.7994450366194891	9.200554963380483	0.012416481484941	4.9875835185150645	5	0.7870285551345461	0
26.0.950000000000003.0	0.8043850122589791	9.195614987740994	0.012342457360153	4.9876575426398535	5	0.792042554898824	0
27.0.500000000000004.0	0.809296478791221	9.190703521208752	0.012269657048727001	4.987730342951277	5	0.7970268217424921	0
28.0.05.0	0.8141798919373741	9.185820108062599	0.012198047357296	4.987801952642709	5	0.801981844580077	0
28.0.6.0	0.819035695471317	9.180964304528656	0.012127596335666001	4.987872403664339	5	0.8069080991356501	0
29.0.150000000000002.0	0.8238643216519811	9.176135678347995	0.012058273217716001	4.987941726782289	5	0.8118060484342641	0
29.0.700000000000003.0	0.8286661916358261	9.171333808364151	0.011990048365684	4.988009951634319	5	0.81667614327014	0
30.0.250000000000004.0	0.833441715870568	9.166558284129408	0.011922893217624	4.988077106782378	5	0.8215188226529431	0
30.0.800000000000004.0	0.8381912944711881	9.161808705528788	0.011856780237810002	4.988143219762193	5	0.8263345142333781	0
31.0.35.0	0.842915317579175	9.157084682420802	0.011791682869911	4.988208317130091	5	0.8311236347092631	0
31.0.900000000000002.0	0.8476141657059201	9.152385834294057	0.011727575492745002	4.988272424507256	5	0.835886590213174	0
32.0.45.0	0.852288210061092	9.147711789938885	0.011664433378443001	4.98833556662156	5	0.8406237766826481	0
33.0.	0.856937812866799	9.14306218713318	0.011602232652878	4.988397767347124	5	0.8453355802139201	0
33.0.550000000000004.0	0.861563327658274	9.138436672341706	0.011540950258217001	4.988459049741785	5	0.850022377400056	0
34.0.1.0	0.8661650995717771	9.133834900428202	0.011480563917449001	4.988519436082554	5	0.8546845356543271	0
34.0.650000000000006.0	0.8707434656203861	9.129256534379591	0.011421052100783001	4.98857894789922	5	0.859322413519603	0
35.0.2.0	0.875298754958275	9.124701245041706	0.011362393993792	4.988637606006213	5	0.8639363609644831	0
35.0.75.0	0.87983128913407	9.120168710865912	0.011304569467198001	4.988695430532805	5	0.8685267196668711	0
36.0.300000000000004.0	0.8843413823338291	9.115658617666153	0.011247559048203001	4.9887524409518	5	0.873093823285625	0
36.0.85.0	0.8888293416141521	9.111170658385829	0.011191343893266	4.988808656106738	5	0.877637997720885	0
37.0.400000000000006.0	0.8932954671259131	9.106704532874065	0.011135905762249002	4.988864094237757	5	0.882159561363664	0
37.0.95.0	0.8977400523290681	9.102259947670913	0.011081226993845	4.98891877300616	5	0.8866588253352231	0
38.0.5.0	0.902163384198966	9.097836615801013	0.01102729048222	4.988972709517786	5	0.8911360937167451	0
39.0.050000000000004.0	0.9065657434245761	9.0934342565754	0.010974079654793	4.989025920345212	5	0.895591663769782	0
39.0.6.0	0.910947404599003	9.089052595400972	0.010921578451086001	4.9890784215489195	5	0.900025826147917	0
40.0.150000000000006.0	0.9153086364026731	9.084691363597301	0.010869771302601	4.989130228697405	5	0.9044388651000721	0
40.0.7.0	0.9196497017795011	9.080350298220472	0.010818643113641	4.989181356886365	5	0.9088310586658601	0
41.0.25.0	0.9239708581064011	9.076029141893573	0.010768179243046001	4.98923182075696	5	0.913202678863354	0
41.0.800000000000004.0	0.9282723573564091	9.071727642643564	0.010718365486774	4.989281634513232	5	0.917553991869634	0
42.0.35.0	0.932554446255738	9.067445553744232	0.010669188061298001	4.989330811938707	5	0.9218852581944391	0
42.0.900000000000006.0	0.9368173664350171	9.063182633564953	0.010620633587759	4.989379366412247	5	0.9261967328472581	0
43.0.45.0	0.9410613545749901	9.058938645424977	0.010572689076848002	4.989427310923159	5	0.930488665498142	0
44.0.	0.9452866425469091	9.054713357453057	0.010525341914366	4.989474658085641	5	0.934761300632542	0
