time	NN	Nplus
0.0.	50.0	0.0
7.0.3.0	50.20434032679892	0.029093678926027003
14.0.6.0	50.40856135370397	0.05797574725954101
21.0.9.0	50.61266315034795	0.086647744188315
29.0.2.0	50.81664578634098	0.11511119764926801
36.0.5.0	51.02050933125256	0.143367624466576
43.0.8.0	51.224253854611604	0.17141853043190902
51.0.1.0	51.42787942590639	0.199265410384687
58.0.4.0	51.63138611458463	0.22690974829173002
65.0.7.0	51.83477399005352	0.254353017326349
73.0.	52.03804312167971	0.281596679946846
80.0.3.0	52.241193578789364	0.30864218797444604
87.0.6.0	52.44422543066816	0.335490982670676
94.0.89999999999999.0	52.647138746561346	0.362144494814157
102.0.2.0	52.84993359567372	0.388604144776859
109.0.5.0	53.05261004716967	0.414871342599792
116.0.8.0	53.255168170173235	0.44094748806814105
124.0.1.0	53.45760803376807	0.466833970785871
131.0.4.0	53.65992970699752	0.492532170249773
138.0.7.0	53.862133258864596	0.5180434559229751
146.0.	54.064218758332046	0.543369187307931
153.0.29999999999998.0	54.26618627432232	0.568510714018858
160.0.6.0	54.46803587571768	0.593469375853665
167.0.9.0	54.66976763136013	0.6182465028653481
175.0.2.0	54.8713816100515	0.642843415432867
182.0.5.0	55.072877880553456	0.667261424331516
189.0.79999999999998.0	55.2742565115875	0.6915018308027671
197.0.1.0	55.475517571835034	0.7155659266236171
204.0.4.0	55.67666112993736	0.739454994175428
211.0.7.0	55.877687254495676	0.763170306512262
219.0.	56.07859601407116	0.786713127428727
226.0.29999999999998.0	56.27938747718495	0.8100847115273211
233.0.6.0	56.48006171231819	0.83328630428529
240.0.9.0	56.680618787912024	0.856319142121004
248.0.2.0	56.88105877236766	0.8791844524598431
255.0.5.0	57.08138173404633	0.9018834537996041
262.0.8.0	57.28158774126941	0.924417355775442
270.0.09999999999997.0	57.481676862318366	0.9467873592243251
277.0.4.0	57.68164916543479	0.96899465624903
284.0.7.0	57.88150471882042	0.9910404302816731
292.0.	58.081243590637214	1.012925856146767
299.0.3.0	58.280865849007306	1.034652100123837
306.0.59999999999997.0	58.480371562013076	1.056220320009567
313.0.9.0	58.67976079769713	1.077631665179496
321.0.2.0	58.87903362406238	1.098887276649278
328.0.5.0	59.078190109072004	1.119988287135477
335.0.8.0	59.27723032064953	1.140935821115935
343.0.09999999999997.0	59.47615432667883	1.161730994889697
350.0.4.0	59.67496219500413	1.182374916636492
357.0.7.0	59.87365399343001	1.202868686475798
365.0.	60.07222978972154	1.2232133965254581
372.0.3.0	60.27068965160419	1.243410130959885
379.0.59999999999997.0	60.46903364676385	1.263459966067838
386.0.9.0	60.667261842846976	1.283363970309773
394.0.2.0	60.86537430746048	1.303123204374788
401.0.5.0	61.06337110817178	1.322738721237142
408.0.8.0	61.2612523125089	1.342211566212369
416.0.09999999999997.0	61.45901798796039	1.361542777012988
423.0.4.0	61.65666820197545	1.380733383803797
430.0.7.0	61.85420302196386	1.399784409256772
438.0.	62.05162251529605	1.418696868605569
445.0.3.0	62.24892674930313	1.437471769699623
452.0.59999999999997.0	62.44611579127691	1.456110113057855
459.0.9.0	62.643189708469876	1.474612891921995
467.0.2.0	62.84014856809529	1.4929810923095062
474.0.5.0	63.036992437327136	1.511215693066134
481.0.8.0	63.23372138330021	1.529317665918069
489.0.09999999999997.0	63.4303354731101	1.547287975523727
496.0.4.0	63.62683477381323	1.5651275795251611
503.0.7.0	63.823219352426854	1.58283742859909
511.0.	64.01948927592913	1.60041846650756
518.0.3.0	64.21564461125907	1.6178716301482452
525.0.6.0	64.41168542531665	1.635197849604364
532.0.9.0	64.60761178496274	1.652398048194252
540.0.1999999999999.0	64.80342375701925	1.669473142520562
547.0.5.0	64.99912140826898	1.686424042519112
554.0.8.0	65.19470480545581	1.703251651507376
562.0.1.0	65.39017401528464	1.719956866232617
569.0.4.0	65.58552910442145	1.7365405769196811
576.0.6999999999999.0	65.78077013949321	1.7530036673184362
584.0.	65.97589718708808	1.769347014750866
591.0.3.0	66.17091031375531	1.785571490157822
598.0.6.0	66.36580958600527	1.80167795814544
605.0.9.0	66.56059507030957	1.8176672770312081
613.0.1999999999999.0	66.75526683310093	1.833540298889715
620.0.5.0	66.94982494077335	1.849297869598051
627.0.8.0	67.14426945968205	1.86494082888089
635.0.1.0	67.33860045614345	1.880470010355233
642.0.4.0	67.5328179964354	1.8958862415748352
649.0.6999999999999.0	67.72692214679687	1.911190344074309
657.0.	67.92091297342827	1.926383133412896
664.0.3.0	68.11479054249138	1.941465419217935
671.0.6.0	68.30855492010926	1.9564380052280081
678.0.9.0	68.50220617236643	1.971301689335765
686.0.1999999999999.0	68.69574436530881	1.986057263630451
693.0.5.0	68.88916956494377	2.000705514440111
700.0.8.0	69.08248183724014	2.015247222373497
708.0.1.0	69.27568124812824	2.029683162361667
715.0.4.0	69.46876786349988	2.04401410369928
722.0.6999999999999.0	69.66174174920839	2.05824081008559
730.0.	69.85460297106867	2.072364039665146
