time	BPG	P3G
0.0.	1.49199	1.8922700000000001
0.0.051.0	1.436994218306019	1.94726578169398
0.0.102.0	1.3840256186882312	2.000234381311768
0.0.153.0	1.333009478250504	2.051250521749496
0.0.204.0	1.283873827993361	2.100386172006638
0.0.255.0	1.236549351749298	2.147710648250702
0.0.306.0	1.190969288392967	2.193290711607031
0.0.357.0	1.147069337660228	2.23719066233977
0.0.408.0	1.104787569439095	2.279472430560905
0.0.45899999999999996.0	1.064064336404293	2.320195663595706
0.0.51.0	1.024842189872164	2.359417810127833
0.0.5609999999999999.0	0.9870657987572191	2.397194201242778
0.0.612.0	0.950681871516002	2.433578128483997
0.0.6629999999999999.0	0.915639080968165	2.4686209190318342
0.0.714.0	0.881887991888687	2.502372008111309
0.0.7649999999999999.0	0.849380991269093	2.534879008730904
0.0.816.0	0.818072221149292	2.566187778850706
0.0.867.0	0.7879175139252831	2.5963424860747173
0.0.9179999999999999.0	0.7588743300414601	2.625385669958539
0.0.969.0	0.730901697979626	2.653358302020372
1.0.02.0	0.7039601564600491	2.680299843539948
1.0.071.0	0.678011698773027	2.706248301226972
1.0.1219999999999999.0	0.6530197191624361	2.731240280837564
1.0.1729999999999998.0	0.628948961185611	2.7553110388143898
1.0.224.0	0.605765467976721	2.778494532023281
1.0.275.0	0.5834365343434641	2.800823465656536
1.0.3259999999999998.0	0.561930660629526	2.822329339370473
1.0.377.0	0.541217508277681	2.843042491722317
1.0.428.0	0.5212678570308841	2.862992142969116
1.0.4789999999999999.0	0.502053563710949	2.882206436289051
1.0.5299999999999998.0	0.48354752251668204	2.900712477483319
1.0.581.0	0.46572362678544604	2.918536373214555
1.0.632.0	0.44855673216422404	2.935703267835777
1.0.6829999999999998.0	0.43202262113822204	2.952237378861777
1.0.734.0	0.41609796886697104	2.9681620311330272
1.0.785.0	0.400760310279737	2.98349968972026
1.0.8359999999999999.0	0.38598800838381003	2.9982719916161873
1.0.8869999999999998.0	0.37176022374098205	3.012499776259017
1.0.938.0	0.358056885069132	3.026203114930869
1.0.9889999999999999.0	0.34485866092746403	3.039401339072538
2.0.04.0	0.332146932445445	3.052113067554557
2.0.0909999999999997.0	0.31990376705697404	3.064356232943028
2.0.142.0	0.30811189320272103	3.076148106797281
2.0.193.0	0.296754675964969	3.087505324035034
2.0.2439999999999998.0	0.28581609360055604	3.098443906399446
2.0.295.0	0.27528071493884504	3.108979285061156
2.0.3459999999999996.0	0.26513367761280704	3.119126322387194
2.0.397.0	0.255360667092529	3.12889933290747
2.0.448.0	0.245947896491561	3.138312103508437
2.0.4989999999999997.0	0.23688208711761002	3.147377912882385
2.0.55.0	0.22815044974015602	3.15610955025984
2.0.601.0	0.219740666548551	3.164519333451447
2.0.6519999999999997.0	0.21164087377515603	3.172619126224843
2.0.703.0	0.20383964495900403	3.180420355040997
2.0.754.0	0.196325974826373	3.187934025173629
2.0.8049999999999997.0	0.189089263765532	3.195170736234471
2.0.856.0	0.18211930287376302	3.20214069712624
2.0.907.0	0.175406259555554	3.20885374044445
2.0.9579999999999997.0	0.16894066365165503	3.215319336348349
3.0.009.0	0.16271339407943	3.221546605920575
3.0.0599999999999996.0	0.15671566596565	3.227544334034356
3.0.1109999999999998.0	0.15093901825358	3.233320981746426
3.0.162.0	0.145375301766884	3.238884698233121
3.0.2129999999999996.0	0.14001666771349502	3.24424333228651
3.0.264.0	0.134855556613242	3.249404443386761
3.0.315.0	0.12988468763361802	3.254375312366384
3.0.3659999999999997.0	0.125097048318631	3.259162951681371
3.0.417.0	0.12048588469625901	3.263774115303741
3.0.468.0	0.11604469175055901	3.268215308249439
3.0.5189999999999997.0	0.11176720424496701	3.27249279575503
3.0.57.0	0.107647387883866	3.27661261211613
3.0.6209999999999996.0	0.103679430799946	3.280580569200048
3.0.6719999999999997.0	0.09985773535534101	3.284402264644652
3.0.723.0	0.09617691024498201	3.288083089755009
3.0.7739999999999996.0	0.092631762891032	3.291628237108957
3.0.8249999999999997.0	0.08921729211765901	3.2950427078823292
3.0.876.0	0.085928681095826	3.298331318904159
3.0.9269999999999996.0	0.082761290548144	3.301498709451839
3.0.9779999999999998.0	0.079710652204191	3.30454934779579
4.0.029.0	0.076772462497083	3.307487537502899
4.0.08.0	0.073942576492381	3.310317423507604
4.0.130999999999999.0	0.07121700204079501	3.313042997959191
4.0.1819999999999995.0	0.068591894146415	3.315668105853572
4.0.233.0	0.066063549542537	3.318196450457452
4.0.284.0	0.063628401467425	3.320631598532566
4.0.335.0	0.061283014632646	3.322976985367346
4.0.386.0	0.059024080376871006	3.325235919623123
4.0.436999999999999.0	0.056848411998313	3.327411588001683
4.0.4879999999999995.0	0.054752940259216	3.329507059740781
4.0.539.0	0.052734709056046006	3.331525290943954
4.0.59.0	0.050790871249288	3.333469128750714
4.0.641.0	0.048918684646957006	3.335341315353046
4.0.691999999999999.0	0.047115508136159	3.337144491863845
4.0.742999999999999.0	0.045378797957246	3.338881202042759
4.0.794.0	0.043706104115306	3.3405538958847
4.0.845.0	0.042095066923935005	3.342164933076073
4.0.896.0	0.040543413676398	3.343716586323611
4.0.947.0	0.0390489554395	3.34521104456051
4.0.997999999999999.0	0.037609583965638	3.346650416034373
5.0.0489999999999995.0	0.036223268718669	3.348036731281343
5.0.1.0	0.03488805400942	3.349371945990593
