time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	VIIa_TF_Xa_TFPI	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
0.0.	2.4	1.024	0.0	0.0	0.0	170.0	-9.860761315262648e-32	0.0	0.0
0.0.15.0	1.9240178291675671	0.318132392191361	0.204336917642051	0.14383590659261	0.356631835267396	152.6839025607971	16.491942444135994	0.11828738725845402	0.001062948306579
0.0.3.0	1.454956414816231	0.18662947839617602	0.111985469273706	0.09173875155925301	0.629214946934185	143.05227734801082	25.798954845972727	0.31139728441290104	0.004431353836677
0.0.44999999999999996.0	1.08712539007202	0.100479822414545	0.057962238898030004	0.051486656640894	0.805972137534236	137.91526792356626	30.662408570967088	0.49880332788144605	0.008099144512293
0.0.6.0	0.81463757224234	0.050449100380575006	0.028482003789708003	0.026376404026965002	0.9078233324850201	135.3200850625382	33.039694101887555	0.6666699359549051	0.010869159317729
0.0.75.0	0.6142639332991601	0.024029386012763002	0.013410998052411001	0.01268544403636	0.961277506755543	134.07104418779312	34.11712330341736	0.81186189480237	0.012596665142921001
0.0.8999999999999999.0	0.46610378653417106	0.011218392230528	0.006221020369112	0.005953890139283001	0.9870480551058861	133.4888844363478	34.565044439677976	0.9332895162047481	0.013558642155188
1.0.05.0	0.35583534033631303	0.0054585469592370005	0.0030144329740790002	0.002910068932082	0.9985454665980891	133.215167217387	34.734743621043144	1.031547708529081	0.014071484536510002
1.0.2.0	0.27339163130905303	0.003021875957481	0.001663332510343	0.0016195653867820002	1.003337380362025	133.07539426579893	34.79471446761299	1.108913142545548	0.014357845783367
1.0.3499999999999999.0	0.211586082046425	0.002032034557731	0.001115438532314	0.00109493088944	1.005215521233162	132.99100597951383	34.81836973311088	1.168656321933055	0.014542074787351
1.0.5.0	0.165185187781885	0.0016353719650610001	0.0008958705379990001	0.000884682170405	1.005900113657042	132.92890263313052	34.83450200194301	1.214230736891573	0.014683961669492
1.0.65.0	0.13032299567515002	0.001472797534401	0.000805677408445	0.000798574710303	1.006113563294717	132.8757964350247	34.85292230853173	1.248754053977993	0.014809387052133001
1.0.7999999999999998.0	0.10411986573939701	0.0014014871529080002	0.000765902703256	0.00076089221089	1.006142979036979	132.82648931731643	34.87610375350889	1.274808416327652	0.014928738895964001
1.0.95.0	0.08442116576529801	0.001366532912215	0.0007462271477260001	0.0007425150159460001	1.0060987621324191	132.77894184887447	34.9039905747272	1.294434109310584	0.015045962791692001
2.0.1.0	0.069610848939612	0.0013470328686140001	0.0007351120099080001	0.000732353269694	1.006023006594708	132.73232011393378	34.93582326972628	1.309203649208599	0.015162495257073002
2.0.25.0	0.05847522191501701	0.001334863455856	0.0007280696590350001	0.0007260942047560001	1.005932132609093	132.68625200195802	34.97076905609323	1.320313805404624	0.015278840071259
2.0.4.0	0.050102095309119	0.001326669383603	0.000723242660695	0.0007219546864300001	1.005832967217057	132.640549314648	35.008107583313986	1.328669771421604	0.015395166052212
2.0.55.0	0.043805608334435	0.0013209107282330002	0.00071977630914	0.0007191153522510001	1.005728672410807	132.5951034042115	35.047263312461475	1.334954194055183	0.015511525199566
2.0.6999999999999997.0	0.039069975101425	0.0013167798254980002	0.000717220613389	0.0007171458467220001	1.005620923585467	132.54984451510524	35.08779109353599	1.339681171184179	0.01562793012892
2.0.85.0	0.035507296446092004	0.001313795191675	0.0007153066093990001	0.000715789312393	1.005510727925749	132.50472466212014	35.12935153840403	1.343237594667369	0.015744380960781002
