time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
0.0.	0.0	358.754	0.0	0.0	3.58	3.7	0.0
0.0.3.0	0.000135656877135	358.5290472664922	0.014954105990328	0.046949661014846	3.5710512593742	3.542682074873562	0.15731792512643603
0.0.6.0	0.00027181199175	358.32673599018227	0.015029442039629002	0.095757985146263	3.569610635398058	3.384476464280308	0.31552353571969005
0.0.8999999999999999.0	0.00041349826938	358.1308814068032	0.015107409291603001	0.14649663983281702	3.568064484316454	3.234303457952395	0.465696542047604
1.0.2.0	0.000560315503647	357.9410989124937	0.01518865634056	0.19902150334763202	3.566588959868664	3.09224331611726	0.6077566838827381
1.0.5.0	0.000711755764773	357.7575743318783	0.015272906815662	0.253150577835694	3.565188929007358	2.958315677548554	0.7416843224514441
1.0.7999999999999998.0	0.000867207605499	357.5804853182876	0.015359800497548001	0.308665439894646	3.5638646147541593	2.832479299604441	0.8675207003955571
2.0.1.0	0.0010259666423850001	357.40998336126154	0.015448919823521002	0.36531511628650104	3.562615605794358	2.714631843564809	0.985368156435188
2.0.4.0	0.0011872514118120001	357.24618983067387	0.015539799702794002	0.42282174592700406	3.561440958661555	2.604611966522239	1.095388033477755
2.0.6999999999999997.0	0.001350223306019	357.0891930534548	0.015631939395941	0.48088770046754004	3.5603392244507	2.5022036516160533	1.1977963483839411
3.0.	0.001514009387604	356.9390462596654	0.015724816152446003	0.539203698159266	3.5593084909392543	2.407142460029038	1.292857539970957
3.0.3.0	0.001677726508415	356.79576648929606	0.015817899683292003	0.597457355563565	3.5583464391382	2.3191232341333192	1.380876765866676
3.0.5999999999999996.0	0.0018405051106360002	356.6593344931857	0.015910666491992	0.6553416021601941	3.557450410083601	2.237808692439346	1.462191307560649
3.0.9.0	0.002001511224355	356.5296955960761	0.016002613164778003	0.712562433569017	3.556617477206021	2.16283834092201	1.537161659077984
4.0.2.0	0.002159965470013	356.40676143182907	0.01609326789443	0.7688455852176991	3.55584451975473	2.093837174504615	1.6061628254953781
4.0.5.0	0.00231515826268	356.29041241623156	0.016182199744471	0.8239418471862411	3.555128293348784	2.030423739627593	1.6695762603724
4.0.8.0	0.0024664608289100003	356.18050079467884	0.016269025409485	0.8776308880734761	3.554465494612928	1.972217251718095	1.727782748281897
5.0.1.0	0.0026133320265370004	356.0768540906783	0.016353413456874	0.9297235900300611	3.553852817856478	1.918843588565124	1.7811564114348681
5.0.3999999999999995.0	0.0027553212627300003	355.9792787846305	0.016435086220665	0.980063004412779	3.553287002717774	1.869940095386461	1.830059904613531
5.0.7.0	0.002892068016979	355.88756406736394	0.016513819647143	1.028524111336684	3.552764872520771	1.8251592295009091	1.874840770499084
6.0.	0.0030232985932290004	355.80148553552914	0.016589441464633002	1.07501260686551	3.552283363720645	1.78417113803255	1.9158288619674422
6.0.3.0	0.0031488207618560003	355.72080872244123	0.016661828073181003	1.119462953353776	3.551839547241613	1.7466653018790201	1.953334698120973
6.0.6.0	0.003268516926905	355.64529238516093	0.016730900535760002	1.161835918501845	3.551430642752033	1.712351397209312	1.9876486027906801
6.0.8999999999999995.0	0.0033823363876900004	355.5746914942108	0.016796620013432	1.202115804414796	3.551054027015455	1.6809595272804092	2.019040472719584
7.0.199999999999999.0	0.003490287175198	355.50875989486667	0.016858982933973	1.240307535983919	3.5507072374417232	1.652239967699967	2.047760032300026
7.0.5.0	0.0035924278474450005	355.4472526276966	0.016918016125734	1.276433743448859	3.550387971877875	1.625962552046718	2.074037447953276
7.0.8.0	0.0036888595344200005	355.3899279107716	0.016973772092325	1.310531940703195	3.5500940855553322	1.601915805594234	2.098084194405759
8.0.1.0	0.0037797184389660003	355.3365487969268	0.017026324553004003	1.3426518710249131	3.549823585971227	1.579905915312788	2.120094084687206
8.0.4.0	0.0038651689282450004	355.2868845270742	0.017075764330492002	1.372853066564925	3.549574626343642	1.559755605960793	2.1402443940392
8.0.7.0	0.003945397292171001	355.2407116053461	0.017122195632812	1.401202647424989	3.54934549815249	1.541302975809153	2.15869702419084
9.0.	0.004020606199934	355.1978146244074	0.017165732748536	1.427773370288274	3.549134623165144	1.5244003317313362	2.175599668268657
9.0.299999999999999.0	0.004091009852134	355.1579868700654	0.017206497154512	1.452641924825081	3.54894054525023	1.508913052062143	2.19108694793785
9.0.6.0	0.004156829802241	355.1210307338678	0.017244615020852002	1.4758874678433511	3.548761922204277	1.494718496597537	2.205281503402456
9.0.9.0	0.004218291405336001	355.0867579610259	0.017280215088432003	1.497590379728246	3.548597517752545	1.4817049760951662	2.218295023904828
10.0.2.0	0.004275620842624	355.0549897591086	0.017313426888431002	1.517831224498591	3.548446193835479	1.469770788322867	2.230229211677127
10.0.5.0	0.004329042665497	355.02555679071554	0.017344379270605	1.5366898932581239	3.5483069032538053	1.4588233237798631	2.241176676220131
10.0.799999999999999.0	0.004378777801670001	354.9982990709631	0.017373199206195	1.554244910482226	3.5481786827160393	1.448778241399616	2.251221758600378
11.0.1.0	0.004425041967163	354.97306578823157	0.017400010832095	1.570572883089401	3.5480606463105673	1.4395587125901699	2.260441287409825
11.0.4.0	0.004468044430703	354.9497150643025	0.017424934704567	1.5857480733143121	3.547951979408592	1.431094730673416	2.268905269326579
11.0.7.0	0.004507987080976	354.9281136678419	0.01744808723308	1.5998420778072742	3.547851932993062	1.42332248198363	2.276677518016364
12.0.	0.004545063751549	354.9081366931723	0.017469580267451	1.612923596972152	3.547759818400978	1.4161837744466421	2.283816225553353
12.0.299999999999999.0	0.00457945976285	354.8896672144618	0.017489520814179	1.625058280204593	3.547675002461395	1.40962551928191	2.290374480718086
12.0.6.0	0.0046113516451710005	354.8725959238215	0.017508010860606	1.636308634324955	3.547596903008295	1.403599261472231	2.296400738527765
12.0.9.0	0.004640907011046001	354.8568207603703	0.017525147288098	1.646733984061943	3.547524984745842	1.398060754770892	2.301939245229103
13.0.2.0	0.0046682845494280005	354.842246536061	0.017541021857917	1.656390474900816	3.5474587554428982	1.392969577219823	2.307030422780173
13.0.5.0	0.004693634117892	354.8287845629717	0.017555721255658	1.6653311099459032	3.547397762433717	1.3882887834029192	2.3117112165970752
13.0.799999999999999.0	0.004717096912476001	354.81635228582195	0.017569327182174	1.673605813653531	3.547341589402348	1.383984589933034	2.31601541006696
14.0.1.0	0.0047388056978380005	354.8048729226737	0.0175819164807	1.6812615163678362	3.547289853429179	1.3800260909532232	2.319973909046772
14.0.399999999999999.0	0.004758885083076	354.7942751160922	0.017593561291494	1.6883422545428899	3.547242202279152	1.376385000711657	2.323614999288338
14.0.7.0	0.004777451830964	354.78449259646885	0.017604329226716002	1.69488928236761	3.547198311912404	1.373035420537951	2.326964579462044
15.0.	0.004794615190382	354.77546385873154	0.017614283559495	1.700941191234235	3.547157884199371	1.3699536278020399	2.330046372197955
15.0.299999999999999.0	0.004810477243514	354.7671318532646	0.017623483422156	1.706534034116776	3.547120644823652	1.367117884672732	2.332882115327261
15.0.6.0	0.004825133260923001	354.7594436915395	0.017631984009543	1.7117014524629912	3.547086341357174	1.3645082647104791	2.335491735289515
15.0.899999999999999.0	0.004838672058916	354.75235036668704	0.017639836784081	1.7164748036619661	3.547054741493404	1.362106495527616	2.337893504472376
16.0.2.0	0.004851176354727	354.74580648902725	0.017647089679944	1.7208832875386841	3.547025631425473	1.359895815929857	2.340104184070135
16.0.5.0	0.004862723115978	354.7397700364034	0.017653787304193	1.724954070655814	3.5469988143571483	1.357860846115926	2.342139153884064
16.0.8.0	0.0048733839016870005	354.7342021190307	0.017659971133276	1.7287124074791	3.546974109135588	1.355987469659167	2.344012530340822
17.0.099999999999998.0	0.0048832251927360005	354.72906675846764	0.017665679703617	1.732181757693523	3.5469513489957283	1.354262726126843	2.3457372738731452
17.0.4.0	0.004892308710276	354.72433068024134	0.017670948795385	1.735383899149031	3.546930380407005	1.35267471331104	2.347325286688948
17.0.7.0	0.004900691720988001	354.71996311959833	0.017675811608793	1.7383390360728201	3.5469110620138933	1.3512124981507911	2.348787501849197
18.0.	0.004908427328505	354.7159356398204	0.017680298932490002	1.7410659023148	3.546893263662478	1.3498660355194931	2.350133964480496
18.0.3.0	0.0049155647505890005	354.71222196251347	0.017684439303799003	1.7435818594982941	3.546876865505928	1.348626094136024	2.351373905863965
18.0.599999999999998.0	0.004922149581927	354.70879780927237	0.017688259160697002	1.745902990032978	3.546861757182328	1.347484188933225	2.352515811066765
18.0.9.0	0.004928224042575	354.7056407541147	0.017691782985543	1.7480441850147561	3.546847837058918	1.346432519284577	2.353567480715412
19.0.2.0	0.004933827212248	354.70273008608893	0.017695033440669	1.750019227090535	3.546835011537256	1.345463912549872	2.354536087450117
19.0.5.0	0.004938995250795	354.70004668146515	0.017698031495991	1.7518408684070161	3.546823194414309	1.3445717724541542	2.355428227545835
19.0.8.0	0.004943761605242	354.69757288493764	0.01770079654889	1.753520903793758	3.546812306294884	1.343750031862061	2.356249968137928
20.0.099999999999998.0	0.004948157203897001	354.695292399283	0.017703346536614	1.755070239353656	3.546802274051199	1.342993109552384	2.357006890447604
