name	year	n_species	n_reactions	long_id	short_id	sbml_path	sedml_path	regrouped_path	start_time	end_time	n_timepoints	sedml_task	ref_trajectory_path	amici_path	amici_import	id	copasi_path	accepted	amici_min_error	amici_path_final	copasi_min_error	copasi_path_final
pritchard	2002	25	19	('pritchard', '2002', 25, 19)	pritchard2002	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Pritchard2002/sbml_models/Pritchard2002.sbml		regrouped/pritchard2002/Pritchard2002.sbml	0	1.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_pritchard2002.tsv	amici/models/pritchard2002/Pritchard2002	OK	{pritchard2002}_{Pritchard2002.sbml}	copasi/models/pritchard2002/Pritchard2002.cps	True	2.147015872206804e-06	amici/models_final/pritchard2002/Pritchard2002	2.161641493225546e-06	copasi/models_final/pritchard2002/Pritchard2002.cps
proctor	2010	136	316	('proctor', '2010', 136, 316)	proctor2010	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Proctor2010a/sbml_models/Proctor2010a.sbml		regrouped/proctor2010/Proctor2010a.sbml	0	15000000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_proctor2010a.tsv	amici/models/proctor2010/Proctor2010a	OK	{proctor2010}_{Proctor2010a.sbml}	copasi/models/proctor2010/Proctor2010a.cps	True	4.8943550075721225e-06	amici/models_final/proctor2010/Proctor2010a	4.894357104192505e-06	copasi/models_final/proctor2010/Proctor2010a.cps
proctor	2013	75	132	('proctor', '2013', 75, 132)	proctor2013	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Proctor2013a/sbml_models/Proctor2013a.sbml		regrouped/proctor2013/Proctor2013a.sbml	0	15000000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_proctor2013a.tsv	amici/models/proctor2013/Proctor2013a	OK	{proctor2013}_{Proctor2013a.sbml}	copasi/models/proctor2013/Proctor2013a.cps	False	4.339167503824675e-06		inf	
qi	2013	108	119	('qi', '2013', 108, 119)	qi2013	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Qi2013a/sbml_models/Qi2013a.sbml		regrouped/qi2013/Qi2013a.sbml	0	15000000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_qi2013a.tsv		Species assignment rules are currently not supported!	{qi2013}_{Qi2013a.sbml}		False	inf		inf	
sasagawa	2005	99	150	('sasagawa', '2005', 99, 150)	sasagawa2005	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Sasagawa2005/sbml_models/Sasagawa2005.sbml		regrouped/sasagawa2005/Sasagawa2005.sbml	0	6000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_sasagawa2005.tsv	amici/models/sasagawa2005/Sasagawa2005	OK	{sasagawa2005}_{Sasagawa2005.sbml}	copasi/models/sasagawa2005/Sasagawa2005.cps	True	4.248561330203125e-07	amici/models_final/sasagawa2005/Sasagawa2005	4.23556795505544e-07	copasi/models_final/sasagawa2005/Sasagawa2005.cps
sengupta	2015	240	175	('sengupta', '2015', 240, 175)	sengupta2015	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Sengupta2015/sbml_models/Sengupta2015.sbml		regrouped/sengupta2015/Sengupta2015.sbml	0	0.08	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_sengupta2015.tsv	amici/models/sengupta2015/Sengupta2015	OK	{sengupta2015}_{Sengupta2015.sbml}	copasi/models/sengupta2015/Sengupta2015.cps	True	4.380589949955162e-06	amici/models_final/sengupta2015/Sengupta2015	4.380926866028248e-06	copasi/models_final/sengupta2015/Sengupta2015.cps
singh	2006	68	72	('singh', '2006', 68, 72)	singh2006	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Singh2006/sbml_models/Singh2006.sbml		regrouped/singh2006/Singh2006.sbml	0	700000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_singh2006.tsv	amici/models/singh2006/Singh2006	OK	{singh2006}_{Singh2006.sbml}	copasi/models/singh2006/Singh2006.cps	True	4.8852620519539405e-06	amici/models_final/singh2006/Singh2006	4.883060141941424e-06	copasi/models_final/singh2006/Singh2006.cps
sivakumar	2011	50	29	('sivakumar', '2011', 50, 29)	sivakumar2011	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Sivakumar2011c/sbml_models/Sivakumar2011c.sbml		regrouped/sivakumar2011/Sivakumar2011c.sbml	0	2000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_sivakumar2011c.tsv	amici/models/sivakumar2011/Sivakumar2011c	OK	{sivakumar2011}_{Sivakumar2011c.sbml}	copasi/models/sivakumar2011/Sivakumar2011c.cps	True	2.1147861297722938e-06	amici/models_final/sivakumar2011/Sivakumar2011c	2.1296318407256847e-06	copasi/models_final/sivakumar2011/Sivakumar2011c.cps
ueda	2001	13	32	('ueda', '2001', 13, 32)	ueda2001	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Ueda2001/sbml_models/Ueda2001.sbml		regrouped/ueda2001/Ueda2001.sbml	0	72.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_ueda2001.tsv	amici/models/ueda2001/Ueda2001	OK	{ueda2001}_{Ueda2001.sbml}	copasi/models/ueda2001/Ueda2001.cps	True	2.2487123192416217e-06	amici/models_final/ueda2001/Ueda2001	2.348895982383365e-06	copasi/models_final/ueda2001/Ueda2001.cps
ung	2008	194	205	('ung', '2008', 194, 205)	ung2008	/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/SolverStudyWork/Models/sedml/Ung2008/sbml_models/Ung2008.sbml		regrouped/ung2008/Ung2008.sbml	0	2000.0	51		/home/paulstapor/Dokumente/Projekte/ODE-solver-study/solverstudy/Cache/trajectories_reference_biomodels/trajectories_copasi_strictest_ung2008.tsv	amici/models/ung2008/Ung2008	OK	{ung2008}_{Ung2008.sbml}	copasi/models/ung2008/Ung2008.cps	True	3.13173401941026e-06	amici/models_final/ung2008/Ung2008	3.1464793531234824e-06	copasi/models_final/ung2008/Ung2008.cps
