copasi_path	atol:1e-3_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-12_rtol:1e-10_linSol:1_nonlinSol:2_solAlg:3	atol:1e-10_rtol:1e-12_linSol:1_nonlinSol:2_solAlg:3	atol:1e-16_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-14_rtol:1e-14_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-16_linSol:1_nonlinSol:2_solAlg:3
copasi/models/becker2010/becker2010_fig2b_user__model0_becker1.cps	0.0005260781997299134	0.0005161885798581372	2.02059570820293e-06	2.215893900357943e-06	3.552815050045068e-08	1.5819786208300203e-09	1.5671876135101096e-09	2.3819517010729094e-08	1.5671876135101096e-09	1.5597922149462003e-09
copasi/models/becker2010/becker2010_figs4_user__model0_becker2.cps	0.0006624311518050389	1.4928068010563493e-05	1.1947196444719175e-06	1.23025560003007e-07	1.1973787911991626e-06	1.8737825320588657e-10	8.284569665027024e-11	5.325396413102084e-10	1.8682881259130148e-10	1.5588672862220545e-08
copasi/models/beuke2017/beuke2017_fig6__model0_beuke1.cps	0.002345472113276399	0.001059845025314674	3.929429507854111e-06	9.953503503440143e-06	1.1869334201091153e-06	inf	2.0333072242059362e-08	2.5164374236553478e-08	2.0386915702479458e-08	1.7858158618329582e-08
copasi/models/beuke2017/beuke2017_fig6__model10_beuke11.cps	0.004625493679751106	0.0014625683982785417	2.8859514332356084e-06	2.332361316607751e-06	6.459450715964388e-07	inf	7.359049302329151e-09	2.251158275293728e-08	7.342450220549958e-09	8.255399718405546e-09
copasi/models/beuke2017/beuke2017_fig6__model11_beuke12.cps	0.0027137860733543566	0.0015856328720289107	4.411699698032623e-06	4.828961081129927e-06	1.3676682391361632e-06	9.934472686833157e-09	1.0049302786590549e-08	2.6731648007096102e-08	1.019037944159129e-08	2.283827460518758e-08
copasi/models/beuke2017/beuke2017_fig6__model12_beuke13.cps	0.002850992925055645	0.0012102703379624354	4.397327009281546e-06	3.28024594533972e-06	1.1120924312411917e-06	inf	1.1526728678415356e-08	2.9572312692324654e-08	1.1651296717363553e-08	1.2860629344016498e-08
copasi/models/beuke2017/beuke2017_fig6__model13_beuke14.cps	0.002778432070421554	0.0015348181805029274	8.208523056899183e-06	3.4254469017897316e-06	6.113640829503388e-07	inf	1.1984711763279315e-08	3.2289289438949965e-08	1.2153358515469614e-08	1.1436681818401062e-08
copasi/models/beuke2017/beuke2017_fig6__model14_beuke15.cps	0.004099591045560284	0.0015060253697334765	3.086669606400718e-06	2.777479929290362e-06	7.510050215097853e-07	2.330412702301079e-08	2.6056067322549174e-08	6.411211426432622e-08	2.6159828913355695e-08	2.4325790012474156e-08
copasi/models/beuke2017/beuke2017_fig6__model15_beuke16.cps	0.002974073737983129	0.0010855558631734806	6.209903195009779e-06	3.3412691523378704e-06	6.938965753985917e-07	2.2983158230731668e-08	2.482472988475432e-08	4.4954187188622005e-08	2.5060399429594695e-08	2.631355341434212e-08
copasi/models/beuke2017/beuke2017_fig6__model16_beuke17.cps	0.006342529696941407	0.002139854863745861	5.552802723515896e-06	2.8727743814620446e-06	5.31123120626509e-07	1.375318677159431e-08	1.39435761047022e-08	5.4715357338461384e-08	1.4063409390834814e-08	1.0566888420006146e-08
copasi/models/beuke2017/beuke2017_fig6__model17_beuke18.cps	0.0015941158371003926	0.001620151409035513	4.595291308204191e-06	2.993219950497243e-06	4.853087836761745e-07	1.1722248548983307e-08	inf	3.2771875894526535e-08	1.2077439189332198e-08	1.105447220040516e-08
