time	A	I1	I2	S
0.0.	500.0	10000.0	2000.0	2500.0
1.0.	954.2590313581946	8186.481393062589	4332.657888202811	2455.540371436336
2.0.	1136.575622421934	6762.502146164368	5941.466336368404	2704.150037060356
3.0.	1209.0008845473226	5744.994557410464	7025.992780389433	3050.5088384841397
4.0.	1237.6408497449947	5050.244948343677	7748.881820131555	3423.2722757858724
5.0.	1249.5224270556682	4595.191744909849	8229.94198825345	3787.7636027598896
6.0.	1256.0023015155457	4314.145631404274	8554.38723192408	4123.807124904241
7.0.	1262.0296623880936	4157.677888606	8781.65587805213	4419.330211273143
8.0.	1269.7673909406608	4088.6580662006972	8952.356793257108	4668.182377068301
9.0.	1280.028522090598	4078.842263743804	9093.358699522929	4869.02822534619
10.0.	1292.8861229625804	4106.54970912579	9221.496451692898	5024.376457583151
11.0.	1307.978102460767	4155.23810109394	9346.338379794553	5139.506542217219
12.0.	1324.6994208244378	4212.640999818871	9472.326941486499	5221.324187756083
13.0.	1342.3454971077858	4270.16510324164	9600.477003681468	5277.2781287996795
14.0.	1360.2223069641616	4322.344975625293	9729.723385950168	5314.475341157401
15.0.	1377.7238668007676	4366.26460276103	9857.95802332875	5339.078972598906
16.0.	1394.3768835213193	4400.943902968274	9982.780556623438	5356.001730913671
17.0.	1409.855948659633	4426.736405631884	10101.990884448664	5368.848939065897
18.0.	1423.9761096381178	4444.793266999451	10213.864126450842	5380.0353174741695
19.0.	1436.671135550393	4456.6327568507195	10317.257541045446	5390.9967998226
20.0.	1447.9652554402255	4463.829827249927	10411.60089833734	5402.433322796977
21.0.	1457.9443525279312	4467.8190724847755	10496.816882311925	5414.53948418572
22.0.	1466.73042374517	4469.791310573874	10573.20884337544	5427.199569982156
23.0.	1474.461173264807	4470.6591451577015	10641.342540799102	5440.138215051807
24.0.	1481.2751801607246	4471.0678211999875	10701.93857038523	5453.027382225602
25.0.	1487.3021936757211	4471.431736305656	10755.784127961604	5465.555390193016
26.0.	1492.6576658222175	4471.98200852174	10803.666950952853	5477.465740046252
27.0.	1497.4404945749895	4472.815271564735	10846.330534991072	5488.573668082282
28.0.	1501.7329996242947	4473.9377945607785	10884.447634936158	5498.767544441414
