time	VENUS
0.0.	1.0
1.0.2.0	0.930149453190045
2.0.4.0	0.862474329980883
3.0.5999999999999996.0	0.7970907613453211
4.0.8.0	0.7341185174374241
6.0.	0.673679465624143
7.0.199999999999999.0	0.615895487458341
8.0.4.0	0.5608857869392211
9.0.6.0	0.5087635521183
10.0.799999999999999.0	0.45963198338792904
12.0.	0.41357977713048205
13.0.2.0	0.37067625112517605
14.0.399999999999999.0	0.330966409357116
15.0.6.0	0.29446635076396604
16.0.8.0	0.261159502703121
18.0.	0.23099417559693403
19.0.2.0	0.20388286593802002
20.0.4.0	0.179703573170088
21.0.599999999999998.0	0.158303160034846
22.0.8.0	0.1395025196887
24.0.	0.12310307492275702
25.0.2.0	0.10889397957098601
26.0.4.0	0.09665935104160701
27.0.599999999999998.0	0.08618493466152301
28.0.799999999999997.0	0.077263755087074
30.0.	0.069700502180946
31.0.2.0	0.06331458444623901
32.0.4.0	0.057941931294472004
33.0.6.0	0.053435722236525006
34.0.8.0	0.049666267426871004
36.0.	0.046520270002299004
37.0.199999999999996.0	0.043899679891781
38.0.4.0	0.041720313692804004
39.0.6.0	0.039910375889077004
40.0.8.0	0.038408979211263
42.0.	0.037164729813490005
43.0.199999999999996.0	0.036134417338088004
44.0.4.0	0.035281830752334
45.0.6.0	0.034576707246892005
46.0.8.0	0.033993812410811
48.0.	0.033512144267889
49.0.199999999999996.0	0.033114250629756
50.0.4.0	0.032785647825626
51.0.6.0	0.032514328618733004
52.0.8.0	0.032290347582569004
54.0.	0.032105473080589
55.0.199999999999996.0	0.03195289606302
56.0.4.0	0.031826987027548
57.0.599999999999994.0	0.031723093602431
58.0.8.0	0.031637372251811
60.0.	0.031566648548423004
61.0.199999999999996.0	0.031508301298973
62.0.4.0	0.031460166541894
63.0.599999999999994.0	0.031420458071778005
64.0.8.0	0.031387701687908005
66.0.	0.031360680825884
67.0.2.0	0.031338391621356
68.0.39999999999999.0	0.031320005782931
69.0.6.0	0.031304839926267
70.0.8.0	0.031292330251132004
72.0.	0.031282011634742
73.0.2.0	0.031273500374048004
74.0.39999999999999.0	0.031266479942073
75.0.6.0	0.031260689233215004
76.0.8.0	0.031255912863505
78.0.	0.03125197316718
79.0.2.0	0.031248723593342003
80.0.39999999999999.0	0.031246043258055002
81.0.6.0	0.03124383244991
82.0.8.0	0.031242008922300002
84.0.	0.031240504834813002
85.0.2.0	0.031239264230135004
86.0.39999999999999.0	0.031238240952767
87.0.6.0	0.03123739693221
88.0.8.0	0.031236700766811003
90.0.	0.031236126555636002
91.0.2.0	0.031235652934932003
92.0.39999999999999.0	0.031235262283357
93.0.6.0	0.031234940066419
94.0.8.0	0.031234674295745002
96.0.	0.031234455083064
97.0.2.0	0.031234274272324003
98.0.39999999999999.0	0.031234125136244004
99.0.6.0	0.031234002126029003
100.0.8.0	0.031233900664922
102.0.	0.031233816977925002
103.0.2.0	0.031233747951345002
104.0.39999999999999.0	0.031233691016952003
105.0.6.0	0.031233644056419003
106.0.8.0	0.031233605322509003
108.0.	0.03123357337407
109.0.2.0	0.031233547022413002
110.0.39999999999999.0	0.031233525287084004
111.0.6.0	0.031233507359387003
112.0.8.0	0.031233492572295
114.0.	0.031233480375631003
115.0.19999999999999.0	0.031233470315600004
116.0.39999999999999.0	0.031233462017903002
117.0.6.0	0.031233455173811004
118.0.8.0	0.031233449528679003
120.0.	0.031233444872472003
