time	ACA	ADP	AMP	ATP	BPG	EtOH	F6P	FBP	GAP	Glc	NAD	NADH	PEP	Pyr
0.0.	0.0738334	0.10836699999999999	0.00261149	4.49064	0.299109	0.339813	0.65939	0.00770135	0.00190919	0.011281699999999999	3.62057	0.6161179999999999	0.00211259	0.00422702
3.0.3000000000000003.0	0.052911326697646005	0.126366682909544	0.0035616720118980005	4.471684802864545	0.26715095265535305	0.451691416408381	0.674723247862249	0.013239027602009	0.00316441986657	0.011282411252527	3.673365427404714	0.563333484181266	0.001996006511698	0.004428784292668
6.0.6000000000000005.0	0.058143193722567	0.152031147425597	0.005190134546479001	4.444386561167207	0.278497091611876	0.551129040549452	0.650989643094521	0.027887298346706002	0.006461035056583001	0.011283480489755	3.655367731591511	0.581342055631565	0.002238152335821	0.005606814256082
9.0.9.0	0.06711375744075	0.14784300156378102	0.004929118686759	4.448830425751465	0.33650824444291205	0.676881039373286	0.6066684784218851	0.032253843940265	0.007676537849839001	0.011283479375774001	3.58681878547594	0.6499018415537821	0.002684736331033	0.006727944181988001
13.0.200000000000001.0	0.058606932301513	0.11171450264431201	0.002788754990161	4.487094008681993	0.346317020817123	0.8124990979867661	0.6213275377767781	0.012597743093592	0.0032251579514780003	0.011281961905101001	3.587306532139377	0.649424898984587	0.0024802309669540003	0.005143234406686
16.0.5.0	0.04957685587536	0.10697298336852701	0.0025447392712020004	4.492074281385447	0.305534732587719	0.9180623260372581	0.6551770352813401	0.007535178410603	0.0018772373004040002	0.011281671859932	3.638331426253953	0.5984107733695061	0.0021483153723260004	0.004263101710847
19.0.8.0	0.049663337266815	0.12296038091833801	0.0033698946759880004	4.4752564834765	0.26991711287166104	1.006664133878477	0.674364663396121	0.011906070667145	0.0028589619111010003	0.011282277265825001	3.6739294580202992	0.562823474625177	0.001996103003542	0.0043489002212
23.0.1.0	0.056635971675691	0.148607379756676	0.004953347788662001	4.448020803850966	0.273007123213159	1.099127425406442	0.657489565182323	0.025296152811174002	0.005882044425313	0.011283329874735001	3.662676470442052	0.574087159864844	0.0021733798607300003	0.005362444195180001
26.0.400000000000002.0	0.066956088982747	0.15244186332846002	0.005241921496879001	4.443892536119327	0.32837408807457	1.217808106056312	0.6102019562470581	0.034175033371840004	0.008041348800140001	0.011283645193271	3.5951230946908312	0.6416511980333871	0.0026509361413430002	0.006751657925804001
29.0.700000000000003.0	0.06094588588004501	0.11534199075824401	0.002977255498556	4.48325188140238	0.349731829261325	1.353737530260102	0.616594457764511	0.014728807224490001	0.003754512917295	0.011282129597273	3.58125355358415	0.655531366429404	0.0025354860967940003	0.005389585851841
33.0.	0.0506926047026	0.105989932152264	0.0024985669198310002	4.493077452411196	0.31210484694372803	1.461780312307737	0.6506508945733781	0.007542606832475001	0.00189148825473	0.011281642927303001	3.6305537138766093	0.606241798414032	0.0021877418801760002	0.004317906565452
