time	A20	A20_mRNA	BAR	BAR_Casp8	Casp3	Casp6	Casp8	FADD	FLIP	FLIP_mRNA	IKK	IKKa	IkBa	IkBa_N	IkBa_NFkB	IkBa_NFkB_N	IkBa_mRNA	NFkB	NFkB_N	PARP	PIkBa	RIP	TNFR	TNFRC1	TNFRC2	TNFRC2_FLIP	TNFRC2_FLIP_FLIP	TNFRC2_FLIP_pCasp8	TNFRC2_FLIP_pCasp8_RIP_TRAF2	TNFRC2_pCasp8	TNFRC2_pCasp8_pCasp8	TNFRCint1	TNFRCint2	TNFRCint3	TNFR_E	TNF_E	TNF_TNFR_E	TNF_TNFR_TRADD	TRADD	TRAF2	XIAP	XIAP_Casp3	XIAP_mRNA	cPARP	pCasp3	pCasp6	pCasp8
0.0.	0.104434	5.566570000000001e-05	0.28789000000000003	0.0	0.0	0.0	0.0	0.30944000000000005	0.0320472	0.000139056	0.64	0.0	0.00101518	0.0013839	0.015103199999999999	9.00189e-05	5.315170000000001e-05	0.000115365	0.0006914310000000001	1.66667	0.0	0.20256000000000002	0.00028000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.26880000000000004	0.0	0.0	0.29344000000000003	0.33056	7.83371	0.0	0.00021964600000000002	0.0	0.8	0.064	3.2
540.0.	0.10453610793721801	0.000113858338401	0.287887171549003	2.816769676097491e-06	6.288274167718524e-10	3.319552455301947e-11	2.266924636757024e-07	0.309438504142081	0.03208849993597	0.00019206190883400002	0.5518012603150361	0.088198739684963	0.000633270008929	0.00026141691989300004	0.0027245252510030003	0.00030489411506800005	0.000100106342904	0.002552608615342	0.010417986135323002	1.666669968648585	0.0028622478216900004	0.202327098474461	0.00028000000000000003	0.00017388085369400002	3.312515464057443e-07	3.2609311269864273e-09	3.050294423760354e-09	1.958009795647313e-08	1.1765871298215581e-09	2.789150262639898e-07	6.079488067974322e-08	3.676106649837422e-05	5.635449377991186e-06	5.334655878782243e-08	0.001350036352219	0.26508204031035004	0.002461130668024	0.000105491417061	0.29226217739571003	0.33035156194116505	7.83401916810247	2.510695926681906e-07	0.00027302225830400003	1.735662031376181e-08	0.7999997368092321	0.064000001241452	3.199994097925256
1080.0.	0.10588428007740101	0.000336795970826	0.287756001563007	0.00013281880014700002	1.5766166131185532e-08	1.8443080528391732e-09	5.158027162527429e-06	0.309412291152294	0.032642155189306	0.00041172762435200003	0.506435416437103	0.13356458356289702	0.002074227395233	0.000415261198301	0.0005830980312230001	0.000499513143723	0.00028351426172900003	0.000606077086561	0.014311325113142	1.6666690033140972	0.000644544720665	0.202049141258957	0.00028000000000000003	0.00028197443753100003	6.2343274100311995e-06	6.273091824303981e-08	1.334150865232516e-07	3.89701517468596e-07	5.2932725252448816e-08	5.477098265334675e-06	1.207286643691576e-06	0.00013369227738	4.4207147007905576e-05	4.33107388776915e-07	0.00045911036376000003	0.264064282994312	0.0019009331043260001	8.691932360794113e-05	0.29085577862356304	0.33015648090881	7.838281857172075	1.2825944143634512e-05	0.000497796751054	9.687399798288228e-07	0.7999870394920411	0.06400000066433201	3.199740369971844
1620.0.	0.10877458970946001	0.0005056170614240001	0.286923706252868	0.0009524580251530001	8.318334407275693e-08	1.5663445462580762e-08	2.4658143990153903e-05	0.309325537802811	0.03381662970359	0.000609790014176	0.5158584244600021	0.12414157553999701	0.003350247341489	0.000768404973397	0.0012610555484030002	0.000891934148389	0.00042864793287100006	0.0010274618377340001	0.012819561137045	1.6666616897303381	0.0013102500913550002	0.20193279364340902	0.00028000000000000003	0.00025609143083700004	2.5816049554392485e-05	2.695576359700375e-07	9.716158177616595e-07	1.690209156433407e-06	3.805852242453834e-07	2.2928430986346012e-05	5.0695433234874675e-06	0.000198137328151	0.00010364454181800001	1.0262064385578039e-06	0.00022429125944400003	0.263687859716753	0.0012018500399280001	5.70435828151475e-05	0.28999187498176404	0.33013231473325105	7.8479194841907045	0.000100036731788	0.000707574017747	8.268416140992782e-06	0.7998986229107911	0.06399998805198201	3.198188043071365
2160.0.	0.112590111298503	0.000611220633558	0.28453071285777803	0.0032903403568470004	2.424410566354507e-07	6.437894346634774e-08	6.513921747784453e-05	0.30917702697204	0.035269959254359	0.0007666915472370001	0.542875712738885	0.09712428726111401	0.004105403975728001	0.001045086231184	0.002110514181813	0.0011107688480550002	0.0005252657787840001	0.001277303906465	0.01150142506912	1.666635779180791	0.001792364858735	0.201929258921827	0.00028000000000000003	0.000189976339494	5.9175838275113775e-05	6.454957928256738e-07	3.510177005695879e-06	4.056630450981256e-06	1.339122872061078e-06	5.2694665160230844e-05	1.16549189939598e-05	0.00020828254478300003	0.00015135215100600002	1.5051931629547721e-06	0.00015524398838700002	0.263473155452672	0.0007483915711410001	3.63065831732736e-05	0.289552135007887	0.330201985998169	7.86108245162308	0.00037772821168700004	0.0008811854373180001	3.4165101482949894e-05	0.799615454882011	0.063999940563064	3.193834133276038
2700.0.	0.11684714775813301	0.000669052282035	0.279930244013673	0.007741394011204001	5.207401204521897e-07	1.80938239606896e-07	0.000127135337335	0.308995294272353	0.036704096350071005	0.0008872250528540001	0.569888619304182	0.070111380695817	0.004598773405743	0.001308234345274	0.0032663004153250003	0.0012347168431310002	0.000583714036274	0.001381885969469	0.010117108146427	1.666573372577411	0.0020400233133960003	0.20197123958996102	0.00028000000000000003	0.00013051862415700002	9.950890239888639e-05	1.1324505356361988e-06	8.709294767853102e-06	7.107937786816931e-06	3.224388883354189e-06	8.857561176062623e-05	1.955977690054132e-05	0.00018426473088300002	0.00017236508591400002	1.717432109911684e-06	0.000131807071518	0.26330280083504504	0.000493700194675	2.4079916566138482e-05	0.289361383111069	0.33029551647425603	7.87571319654305	0.0009767101533	0.001021926307646	9.655788391394223e-05	0.7990005459915751	0.063999825353609	3.185639339722037
3240.0.	0.121177456437681	0.000687232456614	0.272942622190399	0.01442345340669	9.333431187155792e-07	4.039315998774727e-07	0.00020794589155200002	0.308813639076217	0.037927485466179	0.00097205332149	0.590453266739839	0.049546733260159	0.004902702672629	0.00160022741024	0.0047596112598120004	0.001285916182861	0.000609196925037	0.001398455193221	0.008556028140533	1.66645311076165	0.002123302475803	0.20201705130300202	0.00028000000000000003	8.90304714181316e-05	0.00013896194551200002	1.640197873046735e-06	1.7083492675645142e-05	1.0259117975126121e-05	6.14624902560219e-06	0.000123520103402	2.718859017554797e-05	0.000148485299681	0.00016918767042500003	1.687019375257069e-06	0.00012259912075800002	0.263146219677578	0.00035785726647900005	1.7293842351731202e-05	0.289303834990198	0.330378407396329	7.889735798476047	0.0020107406298430002	0.001129121707356	0.00021680592185000002	0.797931133231855	0.06399960400744101	3.173441806493937
3780.0.	0.125286709035405	0.000672160673946	0.263808679998271	0.023036958120270002	1.4881926811606752e-06	7.743332230825521e-07	0.000304221835024	0.308655403916471	0.038849096432953006	0.001021827955653	0.6039847852394561	0.036015214760542	0.005045224342002001	0.001945887421782	0.006437561722274001	0.0012725449399	0.000605992373102	0.0013663947727400002	0.0069235087750190005	1.666251822995732	0.002099906845658	0.202047387739267	0.00028000000000000003	6.33213957834919e-05	0.000172127209492	2.090992952419258e-06	2.8546870036529472e-05	1.3014441798384371e-05	1.0017388927279111e-05	0.000152767093881	3.3474279342905976e-05	0.000114250680203	0.00015119591912400002	1.5079090438114382e-06	0.000118553783846	0.262994612703978	0.00028692700241	1.3634946452863971e-05	0.289314212350585	0.330440010684731	7.9010923056600415	0.003564978736689	0.0012021698915470002	0.00041807995293200004	0.796310912940673	0.063999235800691	3.157821295909653
4320.0.	0.128953512840584	0.000632271053215	0.253010640809601	0.033053240145368	2.1898036227886787e-06	1.333755937913036e-06	0.00041320868952400005	0.30853124583950703	0.039452265407365	0.0010404176388280001	0.6121277725498661	0.027872227450132	0.005043663383879	0.002328727032931	0.008000695827458	0.001208688649919	0.000580382384258	0.001318146149477	0.005472479046364	1.665945426937873	0.002024737337243	0.202055625194505	0.00028000000000000003	4.8415538180410775e-05	0.000196688795604	2.440126490781857e-06	4.252049761524058e-05	1.5099423806830542e-05	1.4617587802556172e-05	0.00017434847063	3.7994948493648094e-05	8.683315020090403e-05	0.000127403762703	1.270539946500223e-06	0.00011665889356700001	0.26284507072906804	0.000250224358419	1.1695505843920271e-05	0.28935774472624803	0.33048098390978103	7.907834826073714	0.005697625548286	0.001243821479017	0.0007244623188090001	0.794069163863881	0.06399867944745301	3.139747909341803
4860.0.	0.13204716910404302	0.0005787537294950001	0.24109716850447102	0.043893240724128	3.041651512714474e-06	2.123756471037833e-06	0.0005330521419570001	0.308442239053828	0.039768826656419	0.0010357966809620002	0.616766753849013	0.023233246150985	0.004918917124034	0.0026659752797590004	0.009172370358052	0.001122191755872	0.0005412387651990001	0.001273291821899	0.004432155228894	1.665509302347342	0.0019358484710060003	0.202040765956485	0.00028000000000000003	4.0105166006949286e-05	0.00021265025535300002	2.6757007257502468e-06	5.8171350030102074e-05	1.645375185543998e-05	1.9676242258537184e-05	0.00018833780996300003	4.0796540290832724e-05	6.694552591974821e-05	0.000103849040921	1.035421431387904e-06	0.000115751409975	0.262696475617859	0.00023130060201200002	1.0679660242769281e-05	0.289416375950209	0.330505814729803	7.908247372433764	0.008446244916454	0.0012611861297790001	0.00116057326008	0.791155055364354	0.063997893792472	3.120262623478136
