time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	1200.0	0.0	0.0	0.0	1000.0	1.631326116999631e-55	0.0	300.0	0.0	10.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	-4.235164736271502e-22	0.0	0.0	0.0	0.0	0.0	1200.0	0.0	0.0
40.0.	614.8841593646622	2.96488852812462	0.131378078747731	1.656988360608222	15.692747595887258	0.30947230200245	430.99846163781353	57.542391591422145	3.688836010676666	6.311163989323312	0.869538299154576	2.6998240558991	3.001802791745382	0.32488575326878905	0.185567117631378	550.8318772327887	0.315729270655545	0.05902297841250401	77.31279041955094	18.441116240481048	31.356272875833653	1.840977475766911	0.009878078169371	0.566382101877952	455.04056308963123	22.1820094549687	197.14473032454933
80.0.	513.2242343809487	2.965683872531121	0.19935965418435603	7.541837830393801	18.811427936558147	0.370522270644615	399.8337388721118	11.96268162228325	1.075966629009441	8.924033370990534	1.693450891620315	9.95619791281039	3.798137979845399	6.983005410463935	0.545376911078411	565.914090768749	1.5233671025306341	0.074833961497852	80.31704553708188	12.593164527423875	99.48988472682434	4.390271385415568	0.08724784305491501	9.365888573463874	358.7901856080923	33.62528186723891	238.85009480824007
120.0.	427.07104184362606	3.32616269497984	0.25964781731581904	17.0571758717214	21.67165772563236	0.478355466102019	384.9965784938841	10.739718469614775	0.9681879230626481	9.03181207693732	2.184585249216732	19.39252963761784	4.210697412675784	24.817226868114247	0.8502508542120931	550.1287547203335	3.317763702191009	0.09301729911551301	75.74342345464888	14.450512882152035	162.5933845849596	5.919611874591775	0.229323118212082	28.39040613594968	300.16290928100324	39.04761908039137	232.3497285782467
160.0.	352.68769845963004	3.905541168679787	0.34214237942240505	30.468929893793362	24.48472443057904	0.6345220192655141	370.5281258873852	13.123840752951184	1.157822878549656	8.842177121450307	2.6290207990179413	30.545955166077327	4.511723420334494	53.41654228860713	1.1417173341998	519.3254381461692	5.621453337013789	0.11702882318317501	69.37752847561828	17.74324514483225	212.27942898873624	7.022975501434607	0.428696911150558	53.69750237007121	254.56785254427237	43.82113363982709	221.18279440539953
200.0.	291.2473040218667	4.640466256089836	0.44782237364009203	47.507768725013555	27.002128735563804	0.831815389989763	354.32751116457985	15.820509366115553	1.363813282245308	8.636186717754656	3.025057330345585	43.0761732804427	4.709448598739439	90.56615764986931	1.4010755656905811	478.36354276929205	8.295919638862522	0.145206081243788	62.80571653320699	21.018651817601537	247.7218590949653	7.804995053027006	0.672012920827846	82.22305292445976	219.4748840601118	48.271301349028754	210.05284448102304
240.0.	241.88841295289006	5.456894572422714	0.570209833209908	67.07087480338535	28.98938397772368	1.050910223569212	336.79933499575196	18.33212750884134	1.5474424590762772	8.452557540923685	3.346630398194092	56.53451930612524	4.809107835321721	133.22329783869426	1.608370843601621	431.25782731727196	11.138250428621491	0.174471662120356	56.68444388204116	23.84709579370101	270.37195841827	8.337436280967056	0.9422712701908581	112.3704250781124	193.11442077409157	52.26505417678006	200.091439830197
280.0.	202.2336584190581	6.290029464848251	0.7012169006350081	87.81794494149754	30.34932434979422	1.269132492211019	318.7697096003927	20.44925826360843	1.6963958901946512	8.30360410980531	3.5877597015072613	70.60084536348143	4.830537975626431	178.47427719064152	1.7520201111666212	381.56759131429357	13.989214797641317	0.202124229869303	51.33576238773847	26.054600907616997	282.53937768720203	8.668355227155537	1.223545325031307	143.5411747254491	173.50719621331032	55.75686774029936	191.75390059613787
320.0.	169.83015626392915	7.100320497542561	0.8345077768087	108.69390966837227	31.099959234779188	1.469016631606095	300.951342423535	22.094946421806327	1.808682077392895	8.191317922607075	3.756391669707539	85.18143331510349	4.7958367103902475	224.01728296829324	1.829302274070376	331.93918679934023	16.77172875690946	0.22663471221508102	46.82061511655004	27.628793034227343	286.4525662243272	8.82662748602313	1.5032987774332032	175.6015792065804	158.89808168643862	58.78013460690264	185.09654441315396
360.0.	142.75960462476647	7.871224937285149	0.9664022279802701	129.08166737433262	31.318611787991795	1.640835311260624	283.7646846243535	23.278166943321402	1.8876152508996422	8.112384749100332	3.864874223989977	100.37200452252192	4.722521548424599	268.19011016176387	1.84408399535065	284.16000674494245	19.47233217439459	0.24749634926857803	43.05261828840841	28.64015741551347	283.8765107644026	8.831092278802181	1.772380479330222	208.56621095063787	147.9203156772492	61.401256669087125	179.9615272692075
400.0.	119.69793783373382	8.59975722119525	1.095344556367143	148.71984897779473	31.101583936782927	1.7810364509424872	267.3632209947077	24.050332717444245	1.938368440210167	8.061631559789815	3.925295720739527	116.3806265458507	4.622682654830093	309.8153101994276	1.80450387764611	239.41449556269347	22.110064250106973	0.264767051791424	39.892041812344765	29.18514851018674	276.1004322175907	8.697861493378454	2.02414803278845	242.44531078273678	139.55938724188755	63.69618540842485	176.10932464662676
440.0.	99.79549990939395	9.287819594287287	1.221015142791672	167.56006542128466	30.545250786130392	1.889765810146897	251.73133376277488	24.4777327845918	1.9662526558483822	8.033747344151603	3.9482979782445513	133.4536647427379	4.504418258624457	348.0442905739405	1.7213504527610741	198.50794319295505	24.71252539730394	0.278702198917678	37.196215292461716	29.35984087444711	264.06831543817964	8.44485724512499	2.253655149826574	277.16408803781223	133.06256429116124	65.74250280595615	173.2843577581198
480.0.	82.53764209469674	9.936431934392216	1.343562611121078	185.6443018783764	29.740395096171195	1.9689997956708871	236.78018403503515	24.629296320173292	1.9761795177047632	8.023820482295223	3.943290520486701	151.8075176205122	4.373528328892051	382.2642739953514	1.606929044991341	161.99491615439538	27.300766458816767	0.289558656545887	34.840099383726795	29.252756651531158	248.53743752788253	8.09420681736882	2.457226512848463	312.5073678524582	127.85641670341955	67.61741749733733	171.23749688164503
520.0.	67.6250259875076	10.542653088433632	1.463072761602668	203.02186302703478	28.771764979313158	2.021534415456989	222.41739830565234	24.573087588634998	1.972672096044383	8.027327903955609	3.9189569396161783	171.5614723300363	4.234804786489946	412.0721859932126	1.474015575678967	130.2212377036412	29.880498777608246	0.297530839113734	32.72261714566209	28.945591511509072	230.22125467775334	7.67270602330414	2.6324306059214972	348.08114343297245	123.48805723866805	69.39700231554323	169.72961678704857
