time	a	b	c
0.0.	0.01	0.01	0.01
61.0.5.0	0.004169563598207001	6.744056239313217	5.9176301757709075e-05
123.0.	8.503495928669054	16.056616846476494	0.49717704034129806
184.0.5.0	10.127692695855496	15.396515698058463	1.335356189188326
246.0.	6.790964208808607	8.716701271612717	4.862021748026063
307.0.5.0	0.11568096316481101	0.559585045439416	0.0016563925831710002
369.0.	0.004001495294747	7.011932839103377	5.6790690766848456e-05
430.0.5.0	8.552092757008978	16.095793479263246	0.5090897227278061
492.0.	10.090580836490673	15.335962039207365	1.297285294084432
553.0.5.0	7.538905997545714	8.654287769275818	7.12673008863884
615.0.	0.10638234607607801	0.5805447946420891	0.0015220436948920001
676.0.5.0	0.0038417060685890002	7.288333706536447	5.452264780347625e-05
738.0.	8.599534949756501	16.133145108798285	0.5211472755275111
799.0.5.0	10.04769721519672	15.276331441072635	1.265126484070514
861.0.	8.564614030655566	8.541061579847572	8.906214249837278
922.0.5.0	0.097976209676761	0.6029868361996891	0.001400776959769
984.0.	0.0036897784584680004	7.573394306413477	5.2366272137968566e-05
1045.0.5.0	8.64587232243341	16.168695218126167	0.5333550200878521
1107.0.	10.00140501815673	15.217894751126416	1.245601335752396
1168.0.5.0	9.741852953041596	8.363656783656298	10.048461187773308
1230.0.	0.09036705327373001	0.6269332053211251	0.0012911600209630002
1291.0.5.0	0.0035457199395280002	7.867244953007099	5.032207148778866e-05
1353.0.	8.691151277794658	16.20246532707967	0.545718289333183
1414.0.5.0	9.95528223309346	15.160768952299842	1.248641746877671
1476.0.	10.93116796765039	8.115627034557473	10.493415708782265
1537.0.5.0	0.08346995484742101	0.6524116269771221	0.0011919255318600002
1599.0.	0.003414916485673	8.170010397726436	4.8472169693319685e-05
1660.0.5.0	8.735415068520687	16.234475109314015	0.5582424289165441
1722.0.	9.914630793588094	15.104834353342305	1.288199275228985
1783.0.5.0	11.999462748644257	7.797810135200235	10.266597352630106
1845.0.	0.077209454178764	0.6794552024225341	0.0011019523442200002
1906.0.5.0	0.00338269828288	8.481808046342188	4.8115378652131516e-05
1968.0.	8.778704064077063	16.26474251463662	0.5709328022380501
2029.0.5.0	9.8868883632715	15.049622863159897	1.380636304040908
2091.0.	12.837437874431604	7.417678341878647	9.466995463749091
2152.0.5.0	0.071518537270914	0.7081021389017601	0.0010202487471050001
2214.0.	0.0048494516617490005	8.8027237988524	7.060843748516768e-05
2275.0.5.0	8.821055986747053	16.29328387591576	0.583794794512633
2337.0.	9.881278444852944	14.99419822450032	1.538214819608938
2398.0.5.0	13.371691535491893	6.987867009568343	8.247465754486363
2460.0.	0.066337709576052	0.7383955142353451	0.00094593742421
2521.0.5.0	0.029816946881302004	9.13242013045629	0.000449737545332
2583.0.	8.86250611814203	16.320114000382357	0.596833817934288
2644.0.5.0	9.906990862154132	14.937090797218461	1.759658114776133
2706.0.	13.570236685893981	6.52419606109803	6.7900326266848126
2767.0.5.0	0.061614159895665	0.77038307640446	0.00087824208112
2829.0.	0.206851853797921	9.466732026477029	0.0031016346317910004
2890.0.5.0	8.903087492766188	16.345246254969915	0.610055318246645
2952.0.	9.970236180595277	14.876365664462138	2.025857075078612
3013.0.5.0	13.441543366205982	6.043529515823439	5.279349948567575
3075.0.	0.057301007050748004	0.804117073320165	0.000816475553662
3136.0.5.0	0.566702738696167	9.795143085312318	0.008645543621225
