time	A	EC	Y	Z
0.0.	0.45	1000.0	0.36	0.0
0.0.1.0	0.5688258076902061	999.8070364883783	0.480278260579833	0.072685251042736
0.0.2.0	0.6847527771154011	999.6320296039515	0.650974748908403	0.07699564714093
0.0.30000000000000004.0	0.7980288719241031	999.4609321207573	0.818256663295281	0.08081121594773201
0.0.4.0	0.9083182973357161	999.2936654410003	0.9816696359990641	0.084664923000865
0.0.5.0	1.015240780170087	999.1302853067177	1.141126107795981	0.088588585486505
0.0.6000000000000001.0	1.118372096110269	998.9708744437656	1.296517731721548	0.092607824512968
0.0.7000000000000001.0	1.217227008078735	998.8155420643382	1.447707362666119	0.096750572995954
0.0.8.0	1.311236238802935	998.6644278317331	1.594521812108313	0.10105035615881501
0.0.9.0	1.399714633704325	998.5177092966404	1.736740502795493	0.10555020056474301
1.0.	1.481814451039162	998.3756141642597	1.8740771591043042	0.110308676636581
1.0.1.0	1.556451733123577	998.2384406277702	2.006148799242227	0.11541057298815001
1.0.2000000000000002.0	1.622180031099846	998.106592819791	2.132419293697873	0.12098788651177401
1.0.3.0	1.676949753301083	997.9806480161253	2.252085552562768	0.127266431312517
1.0.4000000000000001.0	1.7175788038230362	997.8615008815285	2.363811463925809	0.13468765454612602
1.0.5.0	1.7383083204543	997.7507380621678	2.4649469337583803	0.144315004074415
1.0.6.0	1.7250620118711382	997.6519883399734	2.548104515417293	0.159907144610534
1.0.7000000000000002.0	1.5944427950372062	997.5815181919818	2.559240269786965	0.21924153823234202
1.0.8.0	0.26779463035203904	997.8769499305209	1.562941836412035	0.920108233067037
1.0.9000000000000001.0	0.146144740574602	998.4367921541718	1.330261182877323	0.592946662950056
2.0.	0.173811600434738	998.6120977445395	1.436366223543322	0.31153603191711904
2.0.1.0	0.237851330744819	998.6371704260016	1.4557058033142432	0.267123770684328
2.0.2.0	0.20360830974920902	998.7442061216022	1.142255578896378	0.47353829950172904
2.0.3000000000000003.0	0.173915557669358	998.9407753295268	1.038241690688404	0.380982979785262
2.0.4000000000000004.0	0.210090039594919	999.020827839568	1.038673545068096	0.300498615364568
2.0.5.0	0.219126373385043	999.0948214857941	0.8875883756866271	0.37759013851993806
2.0.6.0	0.18737275339918702	999.2473193650305	0.7287759204145201	0.383904714555861
2.0.7.0	0.212009885700035	999.3346448565815	0.7278178491824111	0.297537294236776
2.0.8000000000000003.0	0.259168675905705	999.3591917310516	0.743338607027864	0.257469661921629
2.0.9000000000000004.0	0.309438561045677	999.3530287376234	0.782521799570673	0.224449462807073
3.0.	0.40238649993921904	999.2674187465277	0.989831253790122	0.102749999684188
3.0.1.0	0.518993339231838	999.1088078004759	1.161853038703923	0.089339160821891
3.0.2.0	0.632844818779078	998.9499440948472	1.316945624282679	0.093110280871529
3.0.3000000000000003.0	0.742715763499142	998.7951291549795	1.467586263859626	0.09728458116265501
3.0.4000000000000004.0	0.8479256120709461	998.6445655387989	1.613816819276483	0.10161764192648501
3.0.5.0	0.94773665756264	998.4984318604033	1.755414681640999	0.10615345795738701
3.0.6.0	1.041289592484958	998.3569608059852	1.89208399850073	0.110955195515786
3.0.7.0	1.127526577954198	998.2204604915058	2.023426256442275	0.116113252053662
3.0.8000000000000003.0	1.20506566916242	998.0893521170125	2.148878981392746	0.12176890159655901
3.0.9000000000000004.0	1.271966474176387	997.9642433399416	2.267589802135943	0.12816685792398902
4.0.	1.3252125374869062	997.8460895383674	2.378114722982037	0.135795738652185
4.0.1000000000000005.0	1.3592584637671399	997.7366267905861	2.4774969220434198	0.14587628737216501
4.0.2.0	1.359844387883832	997.6400327738057	2.556901989223313	0.163065236973292
4.0.3.0	1.215837621632266	997.5790228735661	2.529838335008905	0.251138791427692
4.0.4.0	0.21240914809602401	997.9567095466997	1.5039093271464972	0.899381126157041
4.0.5.0	0.145630768498399	998.4264235511646	1.4249950209985252	0.508581427840598
4.0.6000000000000005.0	0.18509444885376203	998.5548713109579	1.508665259008136	0.296463430037441
4.0.7.0	0.23183937477399502	998.5943780547336	1.438965857855132	0.3266560874144
4.0.800000000000001.0	0.18024116592900102	998.7633350768194	1.145197772216855	0.45146715096634804
4.0.9.0	0.18497322558033802	998.9094545468777	1.107242659284633	0.34330279384002804
5.0.	0.213213992658485	998.9854933620576	1.042098198213697	0.332408439731097
5.0.1000000000000005.0	0.196030226885113	999.1068774070325	0.8554093439104451	0.39771324905925504
5.0.2.0	0.19522015369655102	999.232158276618	0.7844355583288031	0.343406165055167
5.0.300000000000001.0	0.22099064623521503	999.3036471081776	0.744574351019184	0.311778540805262
5.0.4.0	0.21949296642720803	999.3861194053953	0.6110181441677991	0.36286245043894905
5.0.5.0	0.20561850617048302	999.5001944275012	0.518112585885675	0.341692986614966
5.0.6000000000000005.0	0.241612990835701	999.5494492786164	0.558843710597776	0.25170701078670704
5.0.7.0	0.339959718682736	999.4702945622086	0.792561072226252	0.097144365565989
5.0.800000000000001.0	0.45861851217201505	999.3064554088924	0.9690645927548971	0.08447999835349701
5.0.9.0	0.574778270864426	999.1427481468927	1.1290182371118451	0.088233615996283
6.0.	0.687544473160771	998.9829889655057	1.284746543671195	0.092264490823857
6.0.1000000000000005.0	0.7963320879560041	998.827314243794	1.436278153263996	0.096407602942521
6.0.2.0	0.9005191705610831	998.67585381125	1.5834463628519382	0.10069982589837201
6.0.300000000000001.0	0.99940877599774	998.5287783578688	1.7260357682009122	0.105185873930643
6.0.4.0	1.092182166513134	998.3863093057962	1.8637667471453971	0.10992394705858301
6.0.5.0	1.177829247111392	998.24873736472	1.9962658676410552	0.11499676763911101
6.0.6000000000000005.0	1.255035767374459	998.1164559827056	2.123012277235974	0.12053174005849102
6.0.7.0	1.321976798619264	997.9900248341256	2.243230522683822	0.126744643190807
6.0.800000000000001.0	1.375875391236057	997.8703048059347	2.35564336917436	0.13405182489109302
6.0.9.0	1.411831869581801	997.7588022883974	2.457762186281085	0.14343552532154102
7.0.	1.418369553295069	997.6588682329146	2.542906750824636	0.15822501626078
7.0.1000000000000005.0	1.3366419712760051	997.5841742418432	2.568637026184719	0.207188731972577
7.0.2.0	0.278962554176774	997.8226214777012	1.664098853478007	0.8732796688217951
7.0.300000000000001.0	0.147038933430225	998.3708380031125	1.391306499989628	0.597855496899067
7.0.4.0	0.17206154241659302	998.5529743518448	1.488012691147854	0.31901295700832205
7.0.5.0	0.22949382249754602	998.5901611405862	1.479393441532474	0.290445417881872
7.0.6000000000000005.0	0.19109530050953102	998.7233078392869	1.174126973475596	0.46256518723820605
7.0.7.0	0.17846706665679402	998.8956004385245	1.099651358820041	0.36474820265622804
7.0.800000000000001.0	0.209805487182901	998.9765574633759	1.064409828452333	0.31903270817219603
7.0.9.0	0.20337094435947703	999.0794304256037	0.8871865546391261	0.39338301975723705
8.0.	0.191113837759074	999.2169398572132	0.7828529910916171	0.36020715169545003
8.0.1.0	0.215672455149088	999.29678371499	0.753987303220627	0.30922898178971603
8.0.200000000000001.0	0.22784080725024902	999.3643002994776	0.6523719854031	0.343327715119957
8.0.3.0	0.20455987463070702	999.4808768817414	0.516231034807631	0.362892083451858
8.0.4.0	0.227090006702684	999.5529792664455	0.5309435334411781	0.2760772001144
8.0.5.0	0.3130488669814	999.5067773329257	0.7363509963490731	0.11687167072524701
8.0.6.0	0.43178252494282104	999.3471905859722	0.9289904034263771	0.083819010601173
8.0.700000000000001.0	0.548640395810843	999.1825807436242	1.090159084150796	0.087260172224565
8.0.8.0	0.6622463902257271	999.0218354675202	1.246898361041213	0.091266171438109
8.0.9.0	0.772016229372391	998.8651477873664	1.399473731610589	0.095378481022951
9.0.	0.8773417270235301	998.7126388475023	1.547730963222208	0.099630189275448
9.0.1.0	0.9775485711052351	998.564468699901	1.691467427186446	0.10406387291256701
9.0.200000000000001.0	1.071853503738675	998.4208450348215	1.830421400390924	0.108733564787617
9.0.3.0	1.159301622450129	998.2820392005631	1.96424621478246	0.113714584654377
9.0.4.0	1.238667202306552	998.1484151072768	2.092464281538813	0.11912061118469201
9.0.5.0	1.308277864917355	998.0204830254562	2.214377677560602	0.125139296983484
9.0.600000000000001.0	1.365654211846788	997.8990102290034	2.328870109528589	0.132119661468439
9.0.700000000000001.0	1.406611080518009	997.7852886102447	2.433873546447972	0.14083784330794602
9.0.8.0	1.422197619866869	997.6819817869482	2.524377429958091	0.153640783094239
9.0.9.0	1.378553656487435	997.5977695877032	2.577474222480318	0.18475618981699302
10.0.	0.45499052103702503	997.6873610830545	1.964649317551004	0.707989599395481
