time	D_1	E_1	RS_1	R_1	X_1	theta_1
295.0.2.0	0.141138934470389	1.751949290742589	1.2554325494370961	0.30582062940557503	0.8255367140799671	0.638428533596459
299.0.29999999999995.0	0.169239571947949	1.082311733528263	1.372519869274122	0.482815443249117	2.7419035857799443	0.48225057762246004
303.0.4.0	0.434276800004928	0.13994558810131202	1.5174974836311899	0.651347469403848	5.356080223560637	0.339520135319882
307.0.5.0	0.523779592872274	0.6417426521032871	1.424184440452692	0.49171492770156205	0.41783751862970203	0.46751123650713006
311.0.59999999999997.0	0.275819878454166	1.354838012134449	1.283607059695211	0.26767789566572603	0.37366799465218303	0.6474423788723821
315.0.7.0	0.15282646536920302	1.755334230898766	1.238236828126736	0.267792920989722	0.642678265188877	0.6730481980978911
319.0.79999999999995.0	0.146141244667817	1.507799722919796	1.312987938878197	0.393556157673128	1.37466993067089	0.5554991148761681
323.0.9.0	0.30177075656186003	0.10205506320608301	1.487485214858724	0.628015267560278	12.965827209535998	0.360526678054349
328.0.	0.546424629930025	0.379138160351465	1.477623141637798	0.595918681927402	1.05037551046933	0.39666128154600505
332.0.09999999999997.0	0.37911626994775105	1.079315511748766	1.335214540359956	0.32973110163713204	0.314755060068488	0.586177777093926
336.0.2.0	0.18196318713443002	1.653963399680639	1.241176740385642	0.24821252828432902	0.512700875413387	0.6838921638915161
340.0.29999999999995.0	0.139996169681832	1.709069148560659	1.269755159697916	0.329272263935526	0.944396311756569	0.615699325382962
344.0.4.0	0.19229007209418902	0.7407568168176311	1.406392147305854	0.534411022669073	5.05383928507098	0.44372879431177903
348.0.49999999999994.0	0.48470694849069706	0.19488746470925902	1.5123844948270602	0.6454630352569121	3.259133592944841	0.349873030869571
352.0.59999999999997.0	0.48677327684055405	0.7791755219026241	1.396038941710143	0.43499400375429104	0.335225244912333	0.505779389260696
356.0.7.0	0.238092121143641	1.466058114275453	1.265346512974146	0.25360159269271704	0.41223822051095305	0.6661696186261851
360.0.79999999999995.0	0.14565843292201802	1.76791282450557	1.243838887448668	0.283380393468535	0.71867094793121	0.659572262069779
364.0.9.0	0.15394935213375702	1.347721832922446	1.338615726805123	0.431383707174177	1.774572241577917	0.522966042103562
368.0.99999999999994.0	0.36594131786850403	0.100418601381489	1.509742852481975	0.64594952053021	9.032504381856612	0.341697320522351
373.0.09999999999997.0	0.5467390662813041	0.49368923636974804	1.454380417665782	0.552973377979852	0.644929860930838	0.42703782160674203
377.0.2.0	0.32807189384067004	1.212521717130637	1.309416906164675	0.29513054870919603	0.336961539048225	0.6179423409807
381.0.29999999999995.0	0.165698349397431	1.71300937415564	1.23720146212717	0.254740522213513	0.568613023339205	0.682139826433782
385.0.4.0	0.14131840253389802	1.635919801935062	1.287816046782073	0.35662118273147403	1.102820319450344	0.589467320281965
389.0.49999999999994.0	0.23260721349286803	0.313802415941809	1.44503075358292	0.5860754392659171	11.18141256152788	0.402373723237862
393.0.59999999999997.0	0.522759277039272	0.269253313706944	1.4994098649370962	0.6293822014321451	1.930349259139911	0.36817620529911305
397.0.7.0	0.439218559808191	0.9196142550080031	1.367331410226084	0.38158900733691903	0.30878128138987904	0.544424575116323
401.0.79999999999995.0	0.207968544198563	1.5629962401286601	1.251464135479066	0.247352710593696	0.45595972963542303	0.6781980670444171
405.0.9.0	0.141524806516327	1.755982197894948	1.253617720296896	0.302629370781825	0.810101121453033	0.6414924344963311
409.0.99999999999994.0	0.16672284298214002	1.123361774450272	1.367814553556436	0.47559946533109704	2.557925963903672	0.48775737075490505
