time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
0.0.	0.0	0.0	38.5	0.0	3.89	0.0	38.5	0.0	10.0	0.0	-1.6155871338926322e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0.5.0	2.261711843412338	1.146081402397465	4.259832800392089	4.68034087620448	0.34194664748450304	0.6203271873118641	30.5885865892727	3.6283151714420763	91.818691747184	1.315070899419954	4.809589805894386	0.084249303803097	0.566253187318844	22.289084215691584	2.277223674081685	4.935572244008611	2.763334691133349	0.144546290211398	1.37521725794046
11.0.	13.597639093089072	6.237205778083836	1.108259549464332	2.583722972663611	0.077628895051828	0.39718419549030404	4.796464822384389	19.589241721032398	182.4373116982061	0.9630393700837031	5.053439029109493	0.054069957628462006	0.6857717677334421	22.55433330059497	2.675345184095958	10.48358381916091	8.934901398941893	0.049568759861932	5.129823297779374
16.0.5.0	20.288400660943104	14.208755162540282	0.9685444417093451	2.040692126917685	0.090946529069476	0.43676337445505503	0.17081336475244202	20.152507446286965	159.47984182352363	0.7336268770695651	3.714182895068391	0.05400810676612101	0.672446469869827	16.834198496694658	2.635835519839516	12.83550676519353	11.50855114069813	0.002805533762305	6.665322514500125
22.0.	21.941932008044425	21.828846771707347	1.025863678181542	1.6250235573020841	0.143197256515589	0.549184545509629	0.046703910361777005	19.16230225447473	114.22994293803609	0.523730071685176	2.381663214158352	0.05591620802944	0.63264735275726	11.114872706965418	2.509054637188075	13.316657280973256	12.237231792476615	0.001305527682972	7.05245651500389
27.0.5.0	22.070672254221996	28.20031853495357	1.096581151252031	1.165224613677907	0.260228643344637	0.7197814209889101	0.044652942813562004	19.24119735815144	71.94329463713991	0.328174109503505	1.318508213061605	0.057795147519362	0.5652689167304671	6.391193377551288	2.286925871416619	12.742637159734565	12.199228863082121	0.00125083147785	7.013670004475025
33.0.	21.37836015032629	32.98649624154734	1.087561594423065	0.676735792232641	0.522371003649868	0.9353907603908481	0.048047065906159	20.025373945399195	38.77129547513897	0.165424718001696	0.590941381580498	0.05665584472600901	0.458798635933692	2.992840272214657	1.9167837552995781	11.345481569706402	11.708558735673847	0.0011995864090310001	6.716820666611765
38.0.5.0	19.775184262937167	35.9631108576406	0.9388501734885981	0.28301697395664105	1.071689714801423	1.100480105539132	0.05628288554995801	21.60346568532529	16.94953152580016	0.060954263479384006	0.199763203487025	0.047085553916191	0.31074526707577005	1.054304527947674	1.359999358667479	9.08449635703823	10.713978169178896	0.0011104396466010001	6.125162820299256
44.0.	16.958430783973263	37.313594469889615	0.7487975027437881	0.08526684760666901	1.9467823296250961	1.019660969392694	0.07324898833586001	24.17289055475366	5.914756366779936	0.016842047454731	0.052232069480606005	0.028574309803421002	0.15958237227139202	0.283267062824521	0.735400018907391	6.270605445536156	9.085725691428237	0.0009678503846480001	5.167166915097603
49.0.5.0	13.15745156543564	37.691394243966755	0.69497651118459	0.023810147229064	2.824625373091611	0.6946968724282181	0.10502019003837801	27.460482639849825	1.792743133133318	0.004509716437926001	0.013131442922044	0.012309151215003	0.061854095942007005	0.072177938259568	0.29651450732315704	3.79659508889827	6.984320533013124	0.000789802503639	3.94938683459504
