time	T	Tstar	Tstarstar	Ttot	V
0.0.	1000.0	0.0	0.0	1000.0	0.001
36.0.5.0	999.9945170017568	1.4982073804102722e-05	1.757256421900679e-07	999.9945321595553	2.4200503075098315e-05
73.0.	999.990504963085	2.6639204445391335e-05	3.12461288822849e-07	999.9905319147498	4.303155168033631e-05
109.0.5.0	999.98320245353	4.7366334407006325e-05	5.555782519864853e-07	999.983250375442	7.65130974017269e-05
146.0.	999.9701625341684	8.421958948218934e-05	9.878460727042214e-07	999.9702477416037	0.000136044273711
182.0.5.0	999.9469612348926	0.000149743075727	1.756402866850843e-06	999.9471127343708	0.00024188857353200002
219.0.	999.9057128136304	0.000266234214113	3.1227947627535487e-06	999.905982170639	0.00043006595140800005
255.0.5.0	999.8324050368548	0.000473316533429	5.551816962579809e-06	999.8328839052048	0.000764587993402
292.0.	999.7021759348413	0.000841370745966	9.869105249331823e-06	999.7030271746921	0.001359162511544
328.0.5.0	999.4709937978828	0.001495308010526	1.7540149804585533e-05	999.4725066460428	0.002415623043564
365.0.	999.0611194136791	0.0026565001030240004	3.116263888391209e-05	999.0638070764204	0.004291746861077
401.0.5.0	998.3360570363305	0.004716267379605001	5.5330080747464366e-05	998.3408286337901	0.007620233207609001
438.0.	997.0584788760048	0.008363226845157001	9.813064315933456e-05	997.0669402334925	0.013515250441476001
474.0.5.0	994.8228340603073	0.014799535327570001	0.000173699192792	994.8378072948269	0.023924294128595
511.0.	990.957061090263	0.026094792478319	0.00030641480313800003	990.9834622975435	0.042207435122391
547.0.5.0	984.4063032929467	0.045727007642859	0.0005373774772820001	984.4525676780657	0.07403260441795201
584.0.	973.6670832009856	0.079306332272552	0.0009332401772580001	973.7473227734343	0.12860056823128602
620.0.5.0	956.9425173754508	0.1352895816237	0.001595367720841	957.0794023247946	0.219925782207982
657.0.	932.742624728015	0.22511942627837403	0.0026628542880450003	932.9704070085807	0.367286383326453
693.0.5.0	900.8785197636587	0.36189393485660903	0.004298459800723	901.2447121583152	0.5933249589158011
730.0.	863.140675199985	0.5571070423308551	0.006650427543856001	863.7044326698591	0.9187896101311801
766.0.5.0	822.8193717503178	0.8165585351696371	0.009801358781956001	823.6457316442688	1.355413274567658
803.0.	783.3299320649322	1.137783511211869	0.013732682523864	784.481448258667	1.900887901542665
839.0.5.0	747.097960235451	1.510478546654671	0.018325616078441003	748.6267643981831	2.538899565298539
876.0.	715.2962914996527	1.919286558915004	0.023393496232928003	717.2389715547996	3.243575479163045
912.0.5.0	688.1480151218021	2.347216898337418	0.028724535791322003	690.52395655593	3.9854386229502152
949.0.	665.3423691037021	2.7783784087631673	0.03411739579634	668.1548649082608	4.736393037205527
985.0.5.0	646.3453803669157	3.199573158275168	0.039402745137641006	649.5843562703278	5.472762702410695
1022.0.	630.5781601195755	3.600884827473575	0.044451879308177004	634.2234968263566	6.176519910827149
1058.0.5.0	617.5013467826477	3.975598114236419	0.049176476811697005	621.5261213736952	6.835268371740064
1095.0.	606.6462762835022	4.319765846175123	0.05352354549676001	611.0195656751735	7.441547463656457
1131.0.5.0	597.619902460223	4.631647310562443	0.057468494962309005	602.3090182657467	7.991869667744464
1168.0.	590.098503783275	4.9111493607583405	0.061008098896907004	595.0706612429294	8.485739457897061
1204.0.5.0	583.8176924131471	5.15933488509476	0.06415423519869	589.0411815334396	8.92477906670832
1241.0.	578.562142092716	5.37802167703076	0.06692873913321501	584.007092508879	9.31200886072736
1277.0.5.0	574.1563921316554	5.569472066008022	0.06935939839754901	579.7952235960603	9.651286885633347
1314.0.	570.4571174279369	5.736163029836661	0.071476972037983	576.2647574298107	9.946891374459291
1350.0.5.0	567.3468362515338	5.880622796398936	0.07331306105802701	573.30077210899	10.203222306564532
1387.0.	564.7288723417764	6.005319837694214	0.074898653423316	570.8090908328936	10.42459730603214
1423.0.5.0	562.523351978416	6.112591698530426	0.076263183813013	568.7122068607594	10.615119589460308
1460.0.	560.6640303269118	6.204603206407452	0.07743397435430001	566.9460675076735	10.778599268548417
1496.0.5.0	559.0957719366021	6.283325732162223	0.07843594927122301	565.4575336180357	10.918513033477243
1533.0.	557.7725433718365	6.350531068260746	0.079291540488981	564.2023659805863	11.037990608979326
1569.0.5.0	556.6558058366037	6.407795079830307	0.08002072154217	563.143621637976	11.139819212797363
