time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	300.0	200	20	0.0	1199.99994221	1.009741958682895e-28	0.0	1199.99994221	0.0	0.0	100
40.0.	1.9956656714848582	200	20	298.00433432851503	1120.8974583549527	7.454077188902025	71.64840666614386	1190.7066976568387	5.456557086311018	3.836687466848293	100
80.0.	0.014635891662426001	200	20	299.9853641083372	1006.5178233607047	6.705999713594132	186.77611913569837	1141.1951771998963	7.582729370620794	51.22203563948031	100
120.0.	0.015704219950729	200	20	299.9842957800487	892.6650913982875	5.961142614046183	301.37370819766295	1047.9125316189413	6.9707450209756665	145.11666557008073	100
160.0.	0.017935305556248	200	20	299.9820646944432	779.5906086650187	5.221762498993307	415.1875710459844	911.6959901009989	6.069196575522108	282.23475553347635	100
200.0.	0.020876351972386003	200	20	299.97912364802687	667.5149120315203	4.49001111852048	527.9950190599553	734.0846289980494	4.892188686473573	461.0231245254745	100
240.0.	0.024915894404078	200	20	299.9750841055951	556.7639719384999	3.769534354359667	639.4664359171362	518.2681157985749	3.460411087925543	678.2714153234978	100
280.0.	0.030777660774881	200	20	299.96922233922425	447.8463201487423	3.067845595878419	749.0857764653746	273.019300423668	1.8306643272309562	925.1499774590995	100
320.0.	0.039960681931097	200	20	299.9600393180682	341.6123661161177	2.403319149442684	855.9842569444343	44.107889780228064	0.302945369743541	1155.5891070600271	100
360.0.	0.05606732132065301	200	20	299.9439326786788	239.61863122513054	1.762524713193658	958.6187862716699	0.079586075311846	0.008341014714312001	1199.912015119974	100
400.0.	0.08985960575082601	200	20	299.9101403942488	145.06835397043335	1.169779850316727	1053.7618083892437	3.0527711621056794e-05	0.011621482042633	1199.988290200246	100
440.0.	0.18592208343928301	200	20	299.8140779165601	65.41830130096153	0.7141197507296381	1133.8675211583025	1.1625069103328362e-05	0.023318083877556003	1199.976612501053	100
480.0.	0.6058497740911231	200	20	299.3941502259083	16.18972951432709	0.6597418405195341	1183.1504708551458	0.000111983045188	0.078855594481575	1199.9209746324734	100
520.0.	1.8503041876531992	200	20	298.14969581234607	2.044213977012306	1.239686530506129	1196.7160417024731	0.001222124849706	0.285618961164057	1199.7131011239876	100
560.0.	2.394198569878321	200	20	297.605801430121	0.25205947739309403	1.499222225983513	1198.2486605066163	0.0026940314653270004	0.430490685030878	1199.5667574935057	100
600.0.	2.458486979137051	200	20	297.54151302086257	0.079821091310161	1.530951379054682	1198.3891697396268	0.0029830525171760003	0.452570559789766	1199.5443885976947	100
640.0.	2.464557795881739	200	20	297.5354422041177	0.063866936319021	1.533967173271575	1198.4021081003998	0.0030125415735350004	0.454730936056766	1199.5421987323714	100
680.0.	2.465119100647333	200	20	297.53488089935223	0.06239443469471	1.534246192539897	1198.4033015827567	0.003015289253545	0.45493136941611	1199.5419955513323	100
720.0.	2.465170897959389	200	20	297.5348291020401	0.062258574167932006	1.53427194203981	1198.4034116937835	0.0030155429922470002	0.454949871402451	1199.541976795607	100
760.0.	2.465175676986095	200	20	297.5348243230133	0.06224603932260501	1.534274317803376	1198.4034218528648	0.0030155664047500003	0.454951578433741	1199.541975065163	100
800.0.	2.4651761179716543	200	20	297.53482388202775	0.06224488266908101	1.5342745370276112	1198.403422790294	0.0030155685651560003	0.45495173595803706	1199.5419749054784	100
840.0.	2.465176158678614	200	20	297.5348238413208	0.062244775899501004	1.534274557263993	1198.4034228768267	0.0030155687645810002	0.45495175049896003	1199.5419748907384	100
880.0.	2.465176162436244	200	20	297.5348238375632	0.062244766043681	1.534274559131998	1198.403422884814	0.0030155687829900002	0.45495175184122205	1199.5419748893778	100
920.0.	2.465176162783107	200	20	297.53482383721627	0.062244765133898004	1.534274559304433	1198.403422885552	0.003015568784689	0.45495175196512505	1199.5419748892518	100
960.0.	2.465176162815128	200	20	297.53482383718415	0.06224476504990901	1.534274559320353	1198.40342288562	0.0030155687848460004	0.454951751976561	1199.54197488924	100
1000.0.	2.46517616281806	200	20	297.5348238371811	0.06224476504221801	1.5342745593218101	1198.403422885626	0.00301556878486	0.45495175197761106	1199.5419748892393	100
1040.0.	2.465176162818343	200	20	297.5348238371808	0.062244765041475004	1.534274559321951	1198.4034228856265	0.003015568784862	0.45495175197771204	1199.5419748892393	100
1080.0.	2.465176162818377	200	20	297.5348238371808	0.062244765041388005	1.5342745593219669	1198.4034228856265	0.003015568784862	0.45495175197772403	1199.5419748892393	100
1120.0.	2.46517616281838	200	20	297.5348238371808	0.062244765041377006	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977725	1199.5419748892393	100
1160.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1200.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1240.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1280.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1320.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1360.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1400.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1440.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1480.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1520.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1560.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1600.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1640.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1680.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1720.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1760.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1800.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1840.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1880.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
1920.0.	2.465176162818381	200	20	297.5348238371808	0.06224476504137601	1.534274559321969	1198.4034228856265	0.003015568784862	0.454951751977726	1199.5419748892393	100
