time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
51.0.12.0	8.181803058885931	2.379658829879268	1.9171775429181601	0.217980187094671	0.316008557836964	0.3311349968971	0.130594711449025	0.109698578932682	0.917237892560799	1.89814776861203	4.8790833687008615	2.189781345690609	0.649880178270534	3.22675819362964	1.055021864348962	0.11968888919809902
51.0.839999999999996.0	7.993393778986672	2.365612912035247	2.388633517599515	0.22707524405168902	0.448037581349354	0.33279954012074303	0.15299331579035302	0.17163703909754002	0.919776445935328	1.8239551220556791	5.408858847379534	2.345043754489838	0.6607101629770741	3.53596467567132	1.085556859139703	0.12035537242034101
52.0.559999999999995.0	7.827225037870375	2.328549692167179	2.87505356990465	0.233628448496657	0.610974141948138	0.333020717766055	0.171843619277182	0.251488549905632	0.9219576407926041	1.6865129394858842	5.929253345853644	2.4912139573586423	0.6704090029335	3.832426944898192	1.109466035827476	0.12083661125295601
53.0.28.0	7.6956202156357065	2.269321249827823	3.370776226800159	0.238409784111997	0.813103892363039	0.331580830383142	0.18753363759480002	0.346957470479122	0.9236733338576191	1.495813175622509	6.437550732263408	2.626374890207277	0.679071263372792	4.110103442821404	1.1278435522393	0.12119283939277702
54.0.	7.608997031821669	2.191118396818504	3.870443323436141	0.241950488036688	1.066456726474158	0.32809514814676805	0.200573660026439	0.45132311956443105	0.9248199546349231	1.2685149835091512	6.92977090546801	2.744761391174154	0.6867939951491061	4.354076117502929	1.140109856826978	0.12144819240241801
54.0.72.0	7.573109523925333	2.099373095971536	4.365010934101938	0.24461213761337902	1.385149950947292	0.32194235677361605	0.21141167349681303	0.5527047686469261	0.925307102898097	1.026640199440229	7.398212399145293	2.830161866251689	0.69366906280576	4.526905104149756	1.142622605949669	0.12158995457642001
55.0.44.0	7.586266121801279	2.001227797659381	4.832320013748312	0.246634361226607	1.7807172856151001	0.312225045473496	0.22038493376072202	0.635438854838687	0.9250700522873301	0.794997271577737	7.8235960114379655	2.839765359014467	0.6997766495359641	4.54502343229424	1.125808367588688	0.12154342058036201
56.0.16.0	7.639131308771326	1.9045501865853691	5.2217355767255444	0.24816336144515003	2.252241149318942	0.297908354807694	0.227731795699148	0.6845540915417311	0.924085404634805	0.596352689427268	8.156287081049152	2.691229455613721	0.7051748676573151	4.297192192276071	1.075213455307421	0.12113397967521401
56.0.879999999999995.0	7.718576000430643	1.816611394051844	5.457683880417818	0.24927230085992202	2.773714964213766	0.27841035798267	0.233627113569911	0.69236547909584	0.92238591596809	0.44487633030456003	8.305394496081323	2.332556590008536	0.7098838472508511	3.782206325534575	0.989337499738945	0.120147078480622
57.0.599999999999994.0	7.812895499485132	1.7427347824820112	5.489188553037477	0.24999212009267802	3.292742296553322	0.25463787052638404	0.23822655191580303	0.662885155315706	0.920066939224889	0.34156434914593903	8.188656398293311	1.8350773257796362	0.7138804110844701	3.12734427143293	0.8883404629980761	0.118532737967697
