time	Bar1	Bar1a	Bar1aex	Cdc28	Far1	Far1PP	Far1U	Fus3	Fus3PP	GaGDP	GaGTP	Gabc	Gbc	Sst2	Ste11	Ste12	Ste12a	Ste2	Ste20	Ste2a	Ste5	Ste7	alpha	complexA	complexB	complexC	complexD	complexE	complexF	complexG	complexH	complexI	complexK	complexL	complexM	complexN
0.0.	200.0	0.0	-6.28363963558109e-89	300.0	500.0	0.0	0.0	686.399701641	9.273015376718552e-69	0.0	0.0	1666.6666667	0.0	0.0	158.331766088	200.0	0.0	1666.6666667	1000.0	0.0	158.331766088	36.3997016405	100.0	105.94329812	77.8753625676	235.724935792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.3.0	147.67505402543446	52.300301637264944	0.024644337301220003	299.99928996660196	82.64823949865809	0.000731524041536	417.35028725302243	627.0074699812932	0.552325412348881	0.00037220675888300004	47.16094660482659	1619.5053478884126	15.417139402996211	0.102091563430158	148.22659100970046	142.67162619890908	57.32837380109068	1601.032235260264	968.3275498766978	51.91646282976187	148.22659100970046	34.74723106253337	99.99711676438127	105.138771091045	68.6181310383119	214.89049018154404	0.07169759440729401	16.48135381954813	2.862023581977658	0.37819878988750105	2.130448032057963	6.3051253015226	3.374362466609525	0.140938131700235	3.1690878423326106e-05	0.0007100333988450001
0.0.6.0	1.8804094988457822	197.61891674740806	0.500673753746911	287.4920497056767	4.801192229891088	1.9675428920296771	479.49471579388506	382.96452721332014	110.20287503543027	0.003555029323366	143.77579271363848	1522.887318957034	31.35786188813269	39.72240198206743	125.76266880224819	1.005132846917988	198.9948671530817	1546.1042525557723	888.9212538398714	90.32902560243119	125.76266880224819	40.60891728283002	99.79273120797237	111.21901715656436	46.3727686760823	151.82542697622856	0.11414090482832501	31.749391651400686	6.084454967824298	0.8165615259826741	5.083295774575826	42.43245063249183	23.35923948935315	1.5533521185025871	1.228598789869722	12.507950294324255
0.0.8999999999999999.0	0.9948631773385841	197.91028198309616	1.094854839565889	282.92716554211955	0.021525796542462002	0.029225700530539002	481.14309475141266	269.4839557046328	227.30693152356903	0.010847279476235	193.09506760404508	1473.5607518164754	25.994134394260414	81.23261229381413	107.77167051747088	0.487784482512411	199.51221551748765	1499.5475992331799	834.6956253452147	118.35837723380094	107.77167051747088	41.965713762918526	99.07879806927689	116.3959936304381	32.20195038509012	110.45387465646226	0.074086540840807	22.27877202335478	4.457092287140747	0.6019630110551321	3.9107394754560083	83.38570007787303	46.332718797637455	4.337388982271227	1.733319293631941	17.072834457881964
1.0.2.0	0.989070078504069	197.3232228340712	1.68770708742549	282.89084640688037	0.000341510014325	0.006388340568438001	481.1496295181878	215.50129887716128	287.1571244804062	0.033156139243562005	194.53510906316168	1472.0984014975918	11.544914198784696	112.00289382094654	100.6012682802435	0.386214110052777	199.61378588994737	1459.6525103651568	818.7406789839073	138.32089686777923	100.6012682802435	45.55354222359529	97.84578555173947	121.65087463234651	26.698600689094707	96.45899312189748	0.029542949417302	9.616558469777315	1.9763517158742432	0.267945390827799	1.78640811073705	103.28278462472879	57.61060568073027	6.718667023419922	1.734487038108146	17.109153593121025
1.0.5.0	0.985999304533514	196.7352063314072	2.278794364060014	282.88752457201264	0.000297393906874	0.006514901941334	481.1501422037809	207.00701614073319	298.5446232116563	0.136658354279242	182.20922272351623	1484.3207856222018	3.123062133868959	134.80066366106402	101.07482145581726	0.371482579711221	199.628517420289	1425.1149602950418	822.5158963055101	151.9916548796833	101.07482145581726	47.961742117972676	96.11467817073232	123.46534575098667	26.57842508893123	97.96758392165135	0.008145177051883001	2.9045997568575483	0.610463832564898	0.083023393484192	0.565627010882791	106.56008009136241	59.54189495513523	7.218414654205933	1.730570072381735	17.112475427988485
1.0.7999999999999998.0	0.983102336084763	196.14877774132216	2.868119922593703	282.88325475462887	0.00030191621237200003	0.0065746180273080004	481.1506512221543	216.15256786653444	289.690172305696	0.44728854061383905	171.0383894262595	1495.180988733122	1.001919353515473	151.68959201657643	103.99933612755518	0.382806956045658	199.6171930439544	1394.9358371173507	831.2446839059478	160.73664690076464	103.99933612755518	48.76579587043591	93.91401307036878	123.06896525326447	28.302505510483677	104.17366700405509	0.00271552106995	0.8574398896660471	0.175319310889082	0.023755209490105	0.15868191069971102	103.16519225386064	57.6807901742009	6.694137345248951	1.725726998232696	17.116745245372595
2.0.1.0	0.9802562638120701	195.564054997445	3.4556887387437	282.8787818240356	0.000304530795217	0.006579454871045	481.15116599925676	228.45159032923974	276.8490136746081	0.5232667584749471	162.69996284843177	1503.4434370930876	0.8799289790487571	164.20040709063895	106.89312192721867	0.400526003184045	199.5994739968161	1368.3457962965542	839.3798919982961	165.61175654116366	106.89312192721867	48.847489400642566	91.27903690058632	122.14468396174927	30.190316488425342	110.33962532228433	0.002460787040356	0.632358427913692	0.12108879095614102	0.016250926884532002	0.101778962742298	98.57432590480379	55.12171638888582	6.052588599521325	1.720731839110162	17.12121817596582
2.0.4.0	0.9774217672664011	194.98107223927923	4.041505993455257	282.87433276279097	0.00030672594016500004	0.006575645314614	481.15168474778767	239.65842141802233	265.06193909640047	0.45350209011979103	156.05737001648	1510.155794593395	1.026396148586558	173.46767312009084	109.3177258535389	0.41830047598353703	199.5816995240166	1344.7480820089706	846.2342699964303	167.4379903027662	109.3177258535389	48.776140669549406	88.25077401069515	121.30397128488796	31.84555646897745	115.60959254730639	0.002980310694069	0.760384361808462	0.144534250095458	0.019374950138165002	0.12014966375380201	94.40441625334735	52.79095115604018	5.525919368389747	1.715765643746258	17.12566723721053
2.0.6999999999999997.0	0.974590303299631	194.39983278091867	4.6255769157826485	282.86992351730225	0.00030892352931000003	0.006574135271824001	481.1522071838926	249.36371624745684	254.8921634258337	0.44286044787466905	150.168989329738	1516.0548169223819	1.049558545772755	180.33206084464925	111.36669351626496	0.434954398680217	199.56504560132	1323.6751972583813	852.151694729295	166.85849139809017	111.36669351626496	48.712199410230554	84.87497450994563	120.62432148437608	33.27881559051047	120.15752704212572	0.0031526865249450003	0.837096716628925	0.160729409920102	0.021578348442824	0.135063065777525	90.80584748796566	50.779264378094204	5.108725863879564	1.710833274606372	17.13007648269929
3.0.	0.9717635575395741	193.82032971587478	5.207906726586592	282.8655257290186	0.000311263361183	0.006576084699401001	481.1527334515759	258.1016119186479	245.79437907052142	0.49580808381064906	144.54089625056156	1521.6299623656212	0.9265835873802281	185.41636706131214	113.20785169031258	0.45101751606817203	199.54898248393195	1304.7562194146042	857.59865176495	164.38159989575016	113.20785169031258	48.68457418516968	81.20097912313499	120.06293076573347	34.586208270976236	124.32500172634188	0.002867582558639	0.7892426814980621	0.15293365115083102	0.020559661957647003	0.129822198342597	87.57436030678763	48.97403044788616	4.760399287431146	1.705904929379544	17.134474270983134
3.0.3.0	0.96894570411166	193.24255367484923	5.78850062103994	282.8611160156493	0.00031380241726	0.006579987773288	481.15326384484047	266.4192337207962	237.17844283183405	0.6201341227964331	138.93274563091086	1527.1137869462862	0.7257562389638891	189.18192823862944	114.95531139149406	0.46736273472538903	199.53263726527473	1287.6922718408528	862.8761437286665	160.41326188399773	114.95531139149406	48.68000265453028	77.28053959241623	119.56897163007518	35.84428036713886	128.3495518443032	0.0023088627912270002	0.655707451803555	0.12802799448045601	0.017230755260799	0.10959327566480201	84.5034706904435	47.25951494080934	4.450311162874464	1.7009583806154271	17.138883984352578
