time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	0.0718881703463	0.17200000000000001	9.99995987352	0.0	1.00002047766	0.0	0.0	0.0	0.16	4.55143591758	0.0	0.246	8.19196275198	2.34	10.0	0.0	0.0	1.0	2.65492801346	0.0	3.10622230584	8.92966391891	0.0	4.13791713892	4.828
15.0.	1.038583352143024	0.9983781529412101	9.530442740499568	0.46951713302039605	0.9993470652010821	0.00020463670210500002	3.617916383429739	0.065799445015078	0.09420055498492101	4.534438829376402	0.016997088203594	2.495115194672219	7.808665711632527	2.541850471789246	9.844142622993884	0.575242644270713	0.028485126136913	1.546734083380227	0.37318592945995405	0.020726604584935002	0.314275586775045	0.013271542353638002	0.0006734124589190001	7.291709822512088	4.001621847058808
30.0.	1.130014032249195	1.045031538949227	9.524997450656215	0.474962422863748	0.9993176426561021	0.00023767528259200003	6.84808201227578	0.07122238326294801	0.08877761673705101	4.533368738186094	0.018067179393898	2.851245693880935	7.477600478608936	2.751176139720196	9.795231662376475	0.7692382720585661	0.074563302298934	1.694650511101494	0.398949762651481	0.022975873950802	0.36719014267113304	0.013902353374344001	0.000702835003899	7.758252265976276	3.9549684610507922
45.0.	1.185145491245518	1.102433693613082	9.540745784320768	0.45921408919918705	0.9992468030461161	0.00027749928463100004	9.688944680186902	0.078528421690848	0.08147157830915101	4.532033202813541	0.019402714766454002	3.333640314143246	7.140393341980654	2.9843588840733473	9.752611069324518	0.9713267786450961	0.121822717092067	1.849477137676464	0.43141086412710006	0.025698244794218002	0.446392942073	0.014624691956108	0.000773674613885	7.781244416200169	3.897566306386938
60.0.	1.207044339399476	1.169639810751761	9.558219968722465	0.44173990479749103	0.999167647816195	0.00031881169645200003	12.194832038465632	0.08542235654940901	0.07457764345058901	4.530774455226818	0.020661462353177	3.8294600167920123	6.799657620459618	3.241125793133925	9.7108498887668	1.181114047917558	0.16934275237749602	2.011741617061497	0.46240964147413005	0.028609150984054	0.5403479417379661	0.015290346828172001	0.0008528298438070001	7.7628644454318145	3.830360189248257
75.0.	1.203595411779618	1.242412576325799	9.573622227427002	0.42633764609295005	0.999090008997025	0.00035963461747800005	14.38437523765567	0.091233042469645	0.068766957530354	4.529701763810675	0.021734153769320003	4.284938189796955	6.458557336675362	3.518372611980589	9.670459184737197	1.39758776403078	0.21686488846579102	2.180690495255515	0.489159333226422	0.031617112903571006	0.642922785636596	0.015865028237563	0.0009304686629770001	7.802085530701435	3.757587423674221
90.0.	1.187195623893689	1.313307719185133	9.586234420102828	0.413725453417121	0.999018254359851	0.00039917930635700004	16.279874180837627	0.09579424938048	0.06420575061951901	4.528837316291629	0.022598601288365	4.6749345621225995	6.119316997215821	3.812367804825271	9.633017085970943	1.619639676141942	0.26429509686703	2.355309701904063	0.5109521130326501	0.034614533654435	0.7470554937597751	0.016342955349026002	0.001002223300151	7.907038273075413	3.686692280814887
105.0.	1.167222151712062	1.37694264964416	9.596255400965608	0.40370447255433906	0.9989535929138251	0.00043727262567900004	17.912425228702904	0.099221648592895	0.060778351407104005	4.528163882346015	0.023272035233980002	4.993452984830574	5.7830928469207485	4.119633879337627	9.599716961596489	1.846256522170053	0.31161049172847605	2.534608902852404	0.5280839677492081	0.037481874943179005	0.8461999970920561	0.016732960438845	0.0010668847461770001	8.057801655245699	3.623057350355862
120.0.	1.1484764359644761	1.431106218900531	9.6041527740954	0.39580709942455405	0.998895419197757	0.000474019506733	19.316587840270138	0.101743589176745	0.058256410823254	4.527649026747957	0.023786890832038003	5.245931180267232	5.450268383092826	4.437266100552816	9.571056714276727	2.076587758425187	0.35883421989580505	2.7177143864948903	0.541278429402788	0.040121290377990004	0.935989683500532	0.017048852188605003	0.001125058462245	8.230212816628386	3.568893781099492
135.0.	1.132589854347763	1.475836182891873	9.61042457662656	0.38953529689339705	0.9988424046656411	0.000509605218531	20.52520543370161	0.10359000826629401	0.056409991733705006	4.527258947544169	0.024176970035826	5.442547204124271	5.120806020245229	4.762960555325876	9.54697132495324	2.309943685523557	0.406014031439177	2.903888657144169	0.5513345632759611	0.042476850975146	1.014545233758512	0.017304359132959	0.00117807299436	8.405077050730426	3.524163817108149
150.0.	1.119658755594535	1.512231947693182	9.615498456806666	0.38446141671328704	0.99879318511344	0.000544208191731	21.56693896825271	0.10494709446056501	0.055052905539434004	4.526964647774249	0.024471269805747	5.594015948183678	4.794493306976331	5.094926136565141	9.527068374928316	2.545770501939866	0.45320327193694904	3.09252452022229	0.558957891591504	0.044532750050869006	1.081812809066286	0.01751130875199	0.0012272925465620001	8.570238959885122	3.48776805230684
