time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.549744708901	3.27670859523	0.00010159427541600001	6.17379726766	6.17379726766	0.8997452088969999	0.100254791103	5.0	14.9939163147	0.00608368529528	0.00122834645669	5.5275590551200005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.9378153683079999	0.0621846316922	0.212862203023	0.856366765672	0.00034760877027	0.0173759686791	1.09948932323	0.299996673614	3.32638563283e-06	-1.262177448353619e-29	0.0428182278884	0.00436687922979	0.0721089862491	0.218324983423
900.0.	0.34880155916307204	3.288801495993829	0.00011091046109900001	7.9829340958148665	6.739954361121292	0.8859879509341461	0.11401204906585401	3.623941696753702	14.993330565378606	0.006669434616667001	0.001106812189403	4.980704178298985e-05	1.1938308373503941e-09	2.9681676479695963e-05	2.94387982342771e-08	1.667706533129055e-07	0.017531456654586	0.008823913596871001	0.9304314474898391	0.06956855251035901	0.23887168048940402	0.6987642465372591	0.0006338651085070001	0.031688638476247005	0.697603285948712	0.29998667408330404	1.3325916328027501e-05	1.905023787508783e-05	0.034937952073458005	0.008001381441841001	0.196856908203406	0.400009536570521
1800.0.	0.024615008124606003	3.713679459413376	0.00029065153747700003	32.87818434741405	17.662895838904443	0.8537781501127081	0.146221849887292	2.626590682052997	14.991764552392086	0.008235447603186001	0.000745433228321	3.354558035497808e-05	2.276897336676811e-09	0.000117940730527	5.6824730822243305e-08	3.273171394423032e-07	0.033808383125099005	0.017128899088449	0.9138197093941051	0.086180290606094	0.375946876996053	0.367143400904055	0.0036262525516810003	0.18131032543188302	0.049230012512042	0.299977592258856	2.2407740776682302e-05	5.394674504376339e-05	0.018356961583707	0.012028176036036	0.200319791689704	0.601351734959061
2700.0.	0.023773170616994	7.22193873208038	0.001135324112351	102.87541373928396	68.99323331530147	0.8215671255808701	0.17843287441913003	1.903722296845357	14.99015220656666	0.009847793428618001	0.00024704637462900003	1.111854486069428e-05	2.520759777107876e-09	0.00023966171367200003	8.17537241155243e-08	4.7589740550225144e-07	0.048624428885217	0.024811777171554	0.898041429806244	0.101958570193955	0.6194971842365811	0.169489315650368	0.007591464448424	0.379569424693916	0.047546227440549	0.299975533341449	2.4466658183567912e-05	0.00018021137840000003	0.008474324107452	0.009860630451264	0.11898393113560601	0.492998829416028
3600.0.	0.10187476583978601	15.632493022914863	0.0018249288633310002	112.99720543900757	110.8994014863648	0.8310150883843951	0.16898491161560603	1.379795720805887	14.990501583353096	0.009498416642187	1.218051465172658e-05	5.490238509564984e-07	5.689205291591794e-10	0.000297024129498	1.039377054872689e-07	6.106355806817942e-07	0.061808442737445006	0.031775632664513005	0.9047604510669701	0.095239548933229	0.7531425138753971	0.33380690295180704	0.004775500918760001	0.23876883855503	0.20374915372728203	0.29999189938248405	8.100617148036033e-06	0.0008249244339630001	0.016690159071752	0.006241086812824001	0.110195466730162	0.312033039811187
4500.0.	0.26285120504704	22.61550168243872	0.00125152841605	48.03899911947392	76.0538509506896	0.8548289297396291	0.14517107026037102	1.000059848174807	14.991834042143111	0.008165957852173	4.357787290935879e-06	1.9696703106262369e-07	4.6014955583932837e-10	0.000298934735978	1.231942719873495e-07	7.300272217094532e-07	0.07325213576740301	0.0379430870451	0.91758301553755	0.08241698446265	0.651495734919145	0.550902134478731	0.0012554274902010002	0.062769112648815	0.525702115530243	0.299992815704062	7.184295570698002e-06	0.0018649312910700001	0.027544934301177004	0.005379730571884	0.12168691796587401	0.268959043222796
5400.0.	0.41697861694486205	23.65270793997044	0.000578524139593	20.208402896331638	35.1561714238926	0.8673328030902121	0.132667196909788	0.724831715919654	14.992477657273167	0.007522342722121001	2.689179989667992e-06	1.218782365983023e-07	4.5331321700489096e-10	0.000299342264051	1.3948042391776848e-07	8.331893964805328e-07	0.082930112063594	0.043269205144674	0.9235915145989191	0.076408485401281	0.535206147688653	0.618356606937232	0.000704793642745	0.035237099660993004	0.833956974203044	0.29999287309939904	7.126900233715645e-06	0.0029772004015300004	0.030917657863797004	0.005844879773687001	0.139419794910208	0.29221400673115905
6300.0.	0.547350596700656	21.59604810124932	0.00028540121072600003	11.725484679768117	17.34349514719589	0.873713828601936	0.126286171398064	0.5253495752877451	14.992771019505536	0.00722898048975	1.937071395847665e-06	8.803306687529201e-08	4.512967242485232e-10	0.000299525952796	1.529012816329636e-07	9.200266826559179e-07	0.09090501860819	0.047749960120916	0.9263273667341541	0.073672633266045	0.45890361364834203	0.6476615470250411	0.0005161095559500001	0.025802348488970003	1.094700958984355	0.299992890017706	7.109981925713633e-06	0.004114778426943	0.032382903718194	0.0063843087321530005	0.148488731555105	0.319184238114114
7200.0.	0.6498819601066731	18.798423726887318	0.00017702414205500002	8.649037342972512	10.75757108327614	0.876958405838643	0.12304159416135602	0.38076724598632206	14.992904197191121	0.007095802804171001	1.5173354239664268e-06	6.914489189397067e-08	4.5045807267579915e-10	0.00029962846545900004	1.636903728165448e-07	9.912518337880924e-07	0.09731579788620201	0.05142312623338301	0.927569148705606	0.072430851294595	0.413677165114672	0.661308790823336	0.00042724919501600003	0.021358958605504002	1.299763708540258	0.29999289705362403	7.102946007999467e-06	0.005243275529252	0.033065265255460004	0.006781639412420001	0.15321622735523902	0.339050154399544
8100.0.	0.7236553239550501	16.113801760316363	0.000134458850342	7.280704283812442	8.17093474169919	0.8786068326120321	0.12139316738796702	0.275975659640446	14.992964646704865	0.007035353290423	1.254495741631233e-06	5.73171090738623e-08	4.5004034326261896e-10	0.000299692659077	1.7216899200059748e-07	1.04825291215441e-06	0.102353513256714	0.054361243785897004	0.9281328543011891	0.07186714569901101	0.388036103638892	0.6678255607118251	0.00038062017221100004	0.019027286089402	1.447310457612829	0.29999290055775	7.0994418818508335e-06	0.0063359561015140006	0.033391103423119003	0.007035417275043001	0.15583034067072601	0.35173873070879
