time	atp	fbp	phos
0.0.	1.0	2.0	9.4
0.0.3.0	0.8141815369109661	2.4820029581531142	8.702896051586839
0.0.6.0	0.878559048635498	2.902895163746517	7.9487822222936515
0.0.8999999999999999.0	0.92798435107367	3.273828036799667	7.369324059852102
1.0.2.0	0.9588977444217751	3.613408094093142	6.91714034748693
1.0.5.0	0.9786341711920221	3.9330338349964262	6.552564017811044
1.0.7999999999999998.0	0.9915928948790851	4.239589193485025	6.2507471246908
2.0.1.0	1.000211160671241	4.537448295543886	5.995627628807291
2.0.4.0	1.005898913985342	4.829539306858257	5.776258434172786
2.0.6999999999999997.0	1.009507785212094	5.117920310360106	5.584824361299049
3.0.	1.011565093370205	5.404110969310014	5.415518015210077
3.0.3.0	1.012396439220328	5.689296529926885	5.263861412270661
3.0.5999999999999996.0	1.012192310723494	5.974462464115929	5.126271347720113
3.0.9.0	1.011044262634117	6.260491097198145	4.999763522648697
4.0.2.0	1.008962906170629	6.5482386151522345	4.881736792900252
4.0.5.0	1.005883485958022	6.838604617041958	4.769801941540735
4.0.8.0	1.001661255062239	7.132603758472933	4.661630809693043
5.0.1.0	0.9960563967449091	7.431448760380252	4.554806540986269
5.0.3999999999999995.0	0.9887058727366411	7.736655856846396	4.446656146226708
5.0.7.0	0.9790764180269461	8.050188106396698	4.334042878323865
6.0.	0.9663876962044021	8.374660320305233	4.2130868406101865
6.0.3.0	0.9494850163126171	8.713644729092486	4.078764679930501
6.0.6.0	0.9266219846325391	9.072145184919162	3.9243066312740202
6.0.8999999999999995.0	0.895073803587726	9.457362412254344	3.740249196747987
7.0.199999999999999.0	0.85041630944357	9.879977958931475	3.512894233505474
7.0.5.0	0.7851242597848691	10.356371713223222	3.221761885544683
7.0.8.0	0.685861700870502	10.912349892429532	2.835622551543251
8.0.1.0	0.5298219810717021	11.587200626956161	2.309197391751953
8.0.4.0	0.301206398455968	12.412895391826426	1.608915287193069
8.0.7.0	0.11775625916783301	13.246873165066958	0.912661460670218
9.0.	0.06158947774285801	13.864964473260592	0.5687313698850911
9.0.299999999999999.0	0.048700114213537	14.347484432564901	0.47080654991979204
9.0.6.0	0.045910521074939	14.78985735641816	0.44775852121318205
9.0.9.0	0.045319709040952005	15.22299289809527	0.44208847888011704
10.0.2.0	0.045196960162328007	15.654152693103674	0.44020024202280905
10.0.5.0	0.045173011895461	16.084906606412243	0.439148383469171
10.0.799999999999999.0	0.045169799660128004	16.51558667970256	0.43830678404288004
11.0.1.0	0.045170901080249	16.946262486586367	0.437541307346798
11.0.4.0	0.045172873186334006	17.376948400030063	0.43682148159176004
11.0.7.0	0.045174995155144004	17.80764722623931	0.436138757880949
12.0.	0.04517711543325	18.238359347983106	0.435489367953704
12.0.299999999999999.0	0.045179201481615	18.66908463590769	0.43487072396946
12.0.6.0	0.045181245866198004	19.09982284885157	0.434280648631847
12.0.9.0	0.045183246677198	19.530573719147725	0.433717197005667
13.0.2.0	0.045185203410603	19.961336972127853	0.43317860348429305
13.0.5.0	0.045187116064951	20.392112331648445	0.43266325672294803
13.0.799999999999999.0	0.04518898491189	20.82289952243052	0.43216968212476503
14.0.1.0	0.045190810413470006	21.253698271495608	0.431696527410782
14.0.399999999999999.0	0.045192593176035	21.684508309212752	0.43124255013773405
14.0.7.0	0.045194333916914006	22.11532937009927	0.43080660674784405
15.0.	0.04519603343805	22.546161193434727	0.43038764291114906
15.0.299999999999999.0	0.045197692604603004	22.977003523724964	0.429984684980582
15.0.6.0	0.045199312327477	23.40785611104411	0.429596832411863
15.0.899999999999999.0	0.045200893549052004	23.83871871127686	0.42922325102308906
16.0.2.0	0.04520243723154101	24.26959108627944	0.428863166987328
16.0.5.0	0.045203944347522	24.700473003974263	0.428515861466773
16.0.8.0	0.045205415872255	25.131364238390777	0.42818066580983605
17.0.099999999999998.0	0.045206852777485006	25.56226456966269	0.42785695724341205
17.0.4.0	0.045208256026461	25.9931737839902	0.427544155001698
17.0.7.0	0.045209626569982	26.424091673574072	0.42724171684078005
18.0.	0.045210965343266005	26.855018036527603	0.42694913589482403
18.0.3.0	0.045212273263532006	27.285952676771117	0.426665937835418
18.0.599999999999998.0	0.045213551228140005	27.71689540391309	0.42639167830047003
18.0.9.0	0.045214800113215006	28.147846033121088	0.426125940563268
19.0.2.0	0.045216020772664005	28.578804384985354	0.425868333415912
19.0.5.0	0.045217214037508	29.009770285377204	0.425618489244447
19.0.8.0	0.045218380715488005	29.440743565304103	0.42537606227574204
20.0.099999999999998.0	0.045219521590883	29.871724060762997	0.42514072697846306
20.0.4.0	0.045220637424505	30.302711612593004	0.424912176602587
20.0.7.0	0.045221728953839004	30.73370606632856	0.42469012184362603
21.0.	0.045222796893300006	31.164707272053843	0.42447428961930805
21.0.3.0	0.04522384193457701	31.595715084259087	0.42426442194782105
21.0.599999999999998.0	0.045224864747053006	32.02672936169928	0.42406027491791404
21.0.9.0	0.045225865978283	32.45774996725573	0.423861617742178
22.0.2.0	0.045226846254512	32.88877676780073	0.42366823188579805
22.0.5.0	0.045227806181222005	33.31980963406556	0.42347991026381304
22.0.8.0	0.045228746343711004	33.750848440512065	0.423296456500705
23.0.099999999999998.0	0.045229667307672	34.18189306520787	0.423117684246726
23.0.4.0	0.045230569619794006	34.612943389705286	0.422943416545956
23.0.7.0	0.045231453808357004	35.043999298923985	0.42277348525158304
24.0.	0.045232320383831	35.47506068103741	0.42260773048432904
24.0.3.0	0.045233169839462004	35.906127427362904	0.42244600013036904
24.0.599999999999998.0	0.045234002651864	36.33719943225557	0.42228814937539905
