time	x1	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x2	x20	x21	x22	x23	x24	x25	x3	x4	x5	x6	x7	x8	x9	nnamed: 2
96000	0.143827	5.682389999999997e-308	2.66581e-41	-8.798909999999996e-238	-1.1239399999999996e-239	90.0963	1.5	15.0	0.0	0.2	0.5	32.924	2.94907e-31	1.6852299999999992e-306	0.00205408	0.07	0.8	0	2721.42	1.5e-323	0.263521	0.096778	1791.97	3.72362e-27	-7.12055e-27	
102000	0.14382899999999998	3.1766799999999978e-307	6.686549999999999e-44	-6.216259999999998e-237	-7.940439999999997e-239	90.0963	1.5	15.0	-2e-323	0.2	0.5	32.9248	2.36768e-30	9.552169999999995e-306	0.00205408	0.07	0.8	0	2721.46	7e-323	0.263521	0.0940054	1847.95	3.4590300000000006e-26	-3.55986e-26	
108000	0.143831	-2.6126499999999984e-306	1.74231e-46	-7.288629999999997e-237	-9.310259999999994e-239	90.0963	1.5	15.0	-2.3e-322	0.2	0.5	32.9255	-4.59638e-29	-7.706699999999995e-305	0.00205408	0.07	0.8	0	2721.49	-7.76e-322	0.263521	0.09146660000000001	1902.3	-1.41486e-26	-1.4387299999999998e-27	
114000	0.143833	2.6671499999999982e-306	4.40395e-49	8.703869999999997e-237	1.1117999999999996e-238	90.0963	1.5	15.0	3.46e-322	0.2	0.5	32.9262	8.038289999999999e-29	8.492719999999994e-305	0.00205408	0.07	0.8	0	2721.52	1.23e-321	0.263521	0.0891306	1955.17	-3.4038400000000006e-26	2.6744899999999997e-25	
120000	0.143835	7.55204999999997e-310	1.79645e-51	4.261429999999998e-239	5.443419999999998e-241	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9268	-2.23392e-34	2.316689999999999e-308	0.00205408	0.07	0.8	0	2721.54	0.0	0.263521	0.0869716	2006.67	-8.631399999999999e-28	-1.1793999999999999e-26	
126000	0.143836	6.943019999999995e-308	1.0013399999999998e-53	3.1607899999999977e-237	4.037499999999998e-239	90.0963	1.5	15.0	-5.34e-322	0.2	0.5	32.9274	-3.82416e-29	1.840409999999999e-306	0.00205408	0.07	0.8	0	2721.57	2.77e-322	0.263521	0.08496849999999999	2056.9	-8.507929999999999e-26	3.824880000000001e-26	
132000	0.14383800000000002	1.37611e-311	-6.48218e-54	-8.105609999999997e-240	-1.0353799999999996e-241	90.0963	1.5	15.0	0.0	0.2	0.5	32.9279	-6.69915e-32	3.95264e-310	0.00205408	0.07	0.8	0	2721.59	-0.0	0.263521	0.0831033	2105.95	1.9613799999999998e-28	-8.74807e-27	
138000	0.14383900000000002	2.04165e-310	5.36963e-56	-2.996619999999999e-239	-3.827789999999998e-241	90.0963	1.5	15.0	3e-323	0.2	0.5	32.9284	2.9585599999999995e-29	5.239899999999996e-309	0.00205408	0.07	0.8	0	2721.61	9e-323	0.263521	0.08136089999999999	2153.9	1.1215799999999999e-26	-2.5936500000000004e-26	
144000	0.14384	1.43799e-312	1.67006e-56	-4.0535999999999983e-240	-5.177929999999998e-242	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9289	1.76032e-33	4.54666e-311	0.00205408	0.07	0.8	0	2721.63	-0.0	0.263521	0.0797284	2200.82	1.04649e-27	-3.61866e-28	
150000	0.143841	-8.43921e-311	1.1134200000000002e-58	-2.1960899999999995e-240	-2.8052199999999984e-242	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9293	-7.41063e-31	-1.563569999999997e-309	0.00205408	0.07	0.8	0	2721.65	-5e-323	0.263521	0.0781947	2246.77	-1.0865399999999999e-27	2.5758299999999998e-28	
