time	PX	PY	PZ	X	Y	Z
0.0.	-8.07793566946316e-28	0.0	0.0	0.0	20.0	0.0
10.0.	621.0442614089269	532.6746959034737	141.00454442755665	7.402871633452907	1.994084192921338	0.869004290304886
20.0.	709.0285985084321	305.460106947529	114.61523426907945	9.003489842287411	0.435991748939962	1.1922346191740871
30.0.	762.0108497714176	170.4690648607517	171.1302045479192	6.264684782501649	0.324926199640304	3.514661463142164
40.0.	550.5866178963947	103.82903919228124	403.8687589776231	1.668294185987	0.45363840601249605	9.174562690207559
50.0.	315.27658367008394	89.34808827350666	836.7186860895009	0.41253543248856506	1.113440729571668	14.437819971925038
60.0.	171.52806063880232	153.65417089982932	1010.2061407232677	0.22905772985671802	3.426412462466535	8.275904085854707
70.0.	98.43138919579602	403.70393312701253	711.7081668524596	0.30372005018770504	9.777820280013756	1.839161126095012
80.0.	73.90194237285375	945.2967433544073	396.61419866050596	0.731395206934854	18.31295442583598	0.37906899846984105
90.0.	109.57288934182155	1336.2869311208597	210.0338138554898	2.316927321193207	13.764152223730344	0.17822924091282702
100.0.	288.9114200518258	1038.9220882389309	113.82971374671573	7.326800436886203	3.4507098863553862	0.192539871908462
110.0.	786.6896040165883	591.9009381569031	70.61072550424684	17.806439305576248	0.583461466381474	0.378611701725441
120.0.	1491.535021246214	310.8079834620925	70.77819678481508	22.629080208018976	0.18269849826130802	1.114657090519642
130.0.	1549.9893310244015	162.91453645332453	150.89392988990497	9.720679904953437	0.14173480257137502	3.7220344762947093
140.0.	993.4277944446193	89.58813349509656	443.9643325273795	1.722333314550051	0.194239865198291	11.273138687272992
150.0.	532.6986751536932	59.982970762840075	1132.8076538595335	0.314847524858133	0.44071980367176206	23.685429199983442
160.0.	275.86351348213594	73.24950035031127	1848.2935346175757	0.14113736458539802	1.382605461278523	23.576605312528585
170.0.	144.44160897861192	181.16673387344252	1655.4364424567414	0.13115974244290302	4.657199252292271	7.7166749251653375
180.0.	80.07876303710385	544.310492556472	990.6138415457929	0.19246008304136702	13.685869568532546	1.221749719202162
190.0.	55.49615986133136	1335.2450688705023	521.4179247757489	0.45427158711236504	26.85545790469002	0.24530466150888502
200.0.	72.8785620089354	2054.522819781576	268.7854179186397	1.448837336587782	24.519490588691507	0.128585421351853
210.0.	188.3610662913945	1758.2339873361034	140.5205267345588	4.897912079060421	7.410394919730598	0.12522994358178302
220.0.	570.6191490188867	1032.843472089831	77.76901875478956	14.350415979684444	1.135253870439706	0.183424701412771
230.0.	1397.9644403853706	540.7624584902488	53.5067405197375	28.114475135581657	0.23170009561918803	0.42800785734293706
240.0.	2163.9785059845467	278.1288834108149	69.1254456305196	26.22201426477498	0.124694561907216	1.35917692042544
250.0.	1877.0105301871374	145.00285652401473	177.39313729764626	8.194784438362753	0.12072258910100402	4.615288077752525
260.0.	1109.1100363385665	79.60548895657675	541.8456980076704	1.255712049913042	0.17071372530874102	13.749372075234689
270.0.	581.037603043365	53.054025090849834	1360.1924459364195	0.24425347240932302	0.382465700227809	28.015368122974817
280.0.	298.4575748529831	63.88671595702817	2200.0901024958207	0.124966288762426	1.193251727739725	28.348093006087016
290.0.	155.0801485367196	157.4544109025048	2004.8302651992574	0.117269592402264	4.06702352763994	9.824831311632202
300.0.	84.25480961555074	483.87549243936934	1210.8131683851047	0.15765269466663	12.435782955081065	1.546397342583978
310.0.	53.908760579363474	1260.6696875785021	637.2336166721126	0.332972112956729	26.896066121409014	0.27776093101188404
320.0.	58.79190290503074	2173.511536666388	327.1513331570072	1.009280513907614	30.36687759078752	0.12834638455119002
330.0.	135.40083993858065	2129.1171811232307	169.4214164554004	3.4425958691461	12.199466088448078	0.114887694294154
340.0.	416.00348720037766	1331.9648399118005	91.09235615945988	10.826776252493111	2.029401154606192	0.14597862367423
350.0.	1129.2379301767023	706.8383425651784	55.98223460828954	25.040850585436747	0.33534082514888003	0.287343904381408
360.0.	2093.5941388650185	362.9983494993343	54.69375563445129	31.84316773413053	0.13492339960184702	0.8374299523163801
370.0.	2236.731676677715	187.41996696898974	114.8835404780532	15.21548763618434	0.113594377139794	2.845494111678473
380.0.	1467.893247150159	99.82842652062189	349.4218837865041	2.756918310074415	0.136285019353157	9.184875936798562
390.0.	788.6842642028328	59.20938292761676	986.5341815759155	0.425317282319611	0.24841622702993602	22.715510834157314
400.0.	405.55749975102924	51.89555495839957	1971.268679779216	0.145452630324408	0.689213167855935	32.523910659978014
410.0.	208.86568116236433	97.36597257361684	2315.770112635276	0.11340783361161601	2.319774427405921	18.693440577656816
420.0.	110.35791362678306	289.46630343124997	1614.1511451048193	0.128592430589054	7.65329961594987	3.801464876059745
430.0.	63.545372038283396	845.7214354797633	882.3183583876754	0.216522753138602	20.1542795185398	0.5613556858091401
440.0.	50.42535895878897	1818.409438847442	454.84600262756743	0.566569758670998	32.33233240933824	0.161348001884908
450.0.	83.15525968451502	2356.8797642186482	233.7892252386909	1.876920657503357	22.356676308988547	0.114394935317237
460.0.	238.01730044602698	1765.7078695295247	122.69171079484931	6.296946405709434	5.247775776208427	0.122701860359955
470.0.	714.4951031820891	987.6088779579604	68.9743366340134	17.546017153647984	0.7638398397542281	0.19097535860609802
480.0.	1646.5685522912445	511.1722659665606	50.20624365397029	31.320896883132843	0.184874357105641	0.46736688215748606
490.0.	2354.4000336739227	262.3821578846252	72.04813221939935	25.861306642314798	0.11671563073756401	1.51317572339961
500.0.	1916.3988895315174	136.92165088635366	195.16495335196583	7.179371202690089	0.11836878329903601	5.134495336803114
510.0.	1104.449938702666	75.51287315296794	596.7968108871962	1.061962055119031	0.17078800896495303	15.029766982837806
520.0.	575.0371059987797	51.140319223415545	1466.0618366582032	0.21950257026623202	0.38815679235275	29.619642661047735
530.0.	294.95390207816166	63.665845368010075	2306.9918539632977	0.12066876094926401	1.218889469216901	28.863601669742636
540.0.	153.2014646934217	160.18549631278336	2058.6813110935427	0.11537825139780201	4.159824480974984	9.65603918967596
550.0.	83.20947529174737	494.11176084249564	1232.492101178223	0.154986119954829	12.697822684286622	1.4962120721545311
560.0.	53.144306377448515	1285.500646516178	647.0667657371024	0.325395746278208	27.396072091590995	0.27045718672816704
570.0.	57.608215519325285	2217.470069603186	331.90807617354415	0.9830339978090311	31.092212430550113	0.126752247390986
580.0.	132.0623800619771	2183.8057336928105	171.73651579736105	3.355038424035822	12.682369797129999	0.11357452334860701
590.0.	406.39429633727195	1370.859895151422	92.14264936319482	10.602936398355917	2.120744819579593	0.14271848511808102
600.0.	1111.6274302050927	727.9572467212453	56.161999889690115	24.827717636975073	0.34551661822462004	0.27591017088040803
610.0.	2091.9129767714567	373.729369624238	53.51612606008444	32.39182097569012	0.13575169418989802	0.7951679696915651
620.0.	2282.506630503295	192.77881739900118	109.7442029379283	16.174426162189206	0.1128735168881	2.697889376427924
630.0.	1517.8398372664444	102.41924497560511	332.707037587855	3.004607537490019	0.13328371995180802	8.767097403970185
640.0.	818.4158437032304	60.16690611793585	949.3324583319675	0.456143357805523	0.237025233394681	22.083622094992897
650.0.	420.97590106836003	51.09149095120581	1938.4188852092477	0.148874310606426	0.6461569041100731	32.72697047666763
660.0.	216.6254061858564	92.2613090686415	2346.190829475037	0.113272297801182	2.165756634079287	19.94005328480336
670.0.	114.17358225042415	271.6514113749262	1670.547708827777	0.12612356136240702	7.1902156465813984	4.230045594709843
680.0.	65.16127930864953	801.7880266611674	919.0878939461277	0.20655471507401701	19.311769678204843	0.6190240514846941
690.0.	50.09894278778062	1765.9004247816206	474.2736330327783	0.528324590791013	32.15846798375353	0.167950992816631
700.0.	78.77002982016208	2368.3754241935912	243.61890117899483	1.737616714641352	23.69110149591564	0.11486346914798101
710.0.	221.64925905639717	1824.6192313178092	127.56748828286624	5.857744116841947	5.885263247107028	0.120806036043843
720.0.	670.6673794045862	1030.457019957964	71.1742568581334	16.63130512512081	0.8580698606785511	0.182741843606573
730.0.	1583.1317222435039	534.3100023669957	50.36057014187516	30.811517261263035	0.19573857350385201	0.43536480151004003
