time	ACA	ACA0	ADP	AMP	ATP	DHAP	DHAPCN	DPG	EtOH	EtOH0	F6P	FBP	G6P	GAP	Glc	Glc0	Glyc	Glyc0	HCN	HCN0	NAD	NADH	OAc	OAc0	PEP	Pyr	PyrCN	glycogen	lacto
18.0.630000000000003.0	0.045433316847679005	0.036512064644275005	1.700580642799651	0.520399228962737	1.709020128237619	1.313513003016996	5.242526250666752	0.00013913932501200002	24.276807718435307	22.236046172193117	0.23973337996409302	0.957489316109094	2.003785168607516	0.05121590339743701	0.048763195517191	4.675516982825187	3.258496147105178	1.991774278067894	4.071885634026689	4.088622073317629	0.779165773437349	0.200834226562651	0.009901483326957	0.00884431608208	0.026318862130990002	8.17624888447913	24.390141858919783	344.9965958353545	0.09962423179297501
18.0.900000000000002.0	0.039189565035671	0.036153006496476	1.794841485428099	0.6839154141664711	1.4512431004054371	1.745795852676575	5.286955146406705	0.00011794580096000001	24.469525181763217	22.537324792514514	0.212672797017769	1.7513332090781102	1.797440659550739	0.072831383978327	0.064172873523984	4.418280597000557	3.326384264387121	2.013089942948513	4.061319143121921	4.078728510450439	0.632821745943221	0.34717825405677905	0.009724550945666	0.008979952862033	0.026066110935842	8.14996562485777	24.66781304564286	348.96968093573224	0.10107069522932001
19.0.17.0	0.041222577112575	0.035605197648540005	1.6792175218863932	0.49527158783379205	1.755510890279823	1.7729899462682712	5.343699501036014	0.00014635336812700002	24.830987146760176	22.836407218321362	0.23162942091034402	1.766335346517668	1.9254510792470851	0.07246169276698601	0.045659231951458004	4.163409763237582	3.60879935496006	2.038630034311303	4.050524498437064	4.068550709092568	0.6575327786226121	0.32246722137738804	0.009866216383573	0.009091910606093	0.026889961336809	8.413458808511745	24.95226988092324	353.04460628751656	0.10248930197762801
19.0.44.0	0.045122239889524005	0.036125164679512003	1.705403824905638	0.526711975496379	1.697884199597989	1.241395811458396	5.385450110149219	0.000134032668432	25.13699200291426	23.145931511070323	0.231573474710167	0.8580793430380441	1.932921114185677	0.048399420535013005	0.044082032976113	3.9199738909890782	3.285617214178573	2.063714831416128	4.042878892697518	4.058666062765487	0.788963748900104	0.19103625109989703	0.010304235974154	0.009235740186298	0.025499387807351	7.876603427619096	25.232081563917337	358.1960822778349	0.10390208353637201
19.0.71.0	0.038004413351588	0.035665207575019	1.801233798830506	0.6993297120000871	1.4294364891694111	1.702454685335551	5.426821514208709	0.000112742890752	25.310200474303972	23.438407630055664	0.203451067124253	1.675117807086585	1.716836081053747	0.071514861494685	0.057768059532977006	3.671146345027726	3.3608411171064843	2.084255088316434	4.032584980947045	4.049109476939813	0.626363509953199	0.35363649004680303	0.010084449003068001	0.009368844154834001	0.025197640560180003	7.8537341751143845	25.495631891624697	361.9483853285233	0.105321207140533
19.0.98.0	0.040138066074847004	0.035010685523375	1.681320662771157	0.497876164883972	1.750803172344878	1.71755480795255	5.480728007020821	0.00014126721769400002	25.664282153664246	23.72831693758371	0.22221858146407103	1.664861781665821	1.842938571804457	0.07055410431396801	0.040318216272056	3.425592935483359	3.651077419434012	2.10926757685016	4.02214497052161	4.039263671398829	0.6548614420708141	0.325138557929188	0.010225360526049	0.009476484093208	0.025998381260261	8.115024155288122	25.76620162123421	365.8070056885365	0.106708122563391
20.0.25.0	0.04398235599083301	0.035507802306919	1.7157037830556812	0.5408508456847111	1.673445371259617	1.177154364208537	5.518825366923512	0.000126849837439	25.95032369112889	24.02856969420942	0.21980008050201802	0.7765337488742541	1.832051636970312	0.046115358124313006	0.039402009756275	3.192347387566952	3.307392308580538	2.133681065522856	4.014958061742356	4.029741253702122	0.791536567495638	0.188463432504362	0.0106713873953	0.009618075820277001	0.024464503517572	7.534170497644693	26.0311797310176	370.70996332779174	0.10808681087400601
20.0.520000000000003.0	0.036523423121104	0.034910871170946	1.805442269842451	0.7100326294782521	1.414525100679304	1.6404600931714222	5.557084831466109	0.000107115010284	26.10643738909365	24.30976150349436	0.192485123078197	1.565335568085859	1.6199049442854392	0.06943467180651901	0.050001758167284006	2.954593250679952	3.392982264609103	2.153494417314116	4.005003162015164	4.020548298013717	0.620408946133249	0.35959105386675005	0.010427443550711001	0.009746208012723	0.024101595577401002	7.516916100551106	26.27954012465905	374.2053764154894	0.10946904942686601
20.0.790000000000003.0	0.038662710357382	0.034147802466487	1.687183245431868	0.505110326355484	1.737706428212655	1.628140059062267	5.607067870055277	0.00013375619470500002	26.445816386646598	24.587987537304098	0.20976669899088501	1.504657084588052	1.734990875943196	0.067274586914902	0.034646921119898005	2.721527585017878	3.670225716175543	2.177786888241835	3.995065304482205	4.011088673691429	0.654241484475321	0.32575851552467905	0.010568399219267001	0.00984899489782	0.024775785873393002	7.745643230368469	26.53448672202874	377.8143272703827	0.11081457245838401
21.0.060000000000002.0	0.041580574846100005	0.034487934689550005	1.7292089818702001	0.560609527036221	1.640181491093586	1.128070816537151	5.641338978876259	0.00011786024535100001	26.701862680673276	24.875049932745583	0.20398035881569201	0.72005527493216	1.6964392527310221	0.044718102807131004	0.03429795641081	2.5011149553963623	3.333160453404091	2.201287994471421	3.988206654735781	4.001976531932677	0.781722770827419	0.198277229172579	0.010972792457044	0.009984570246792	0.023154235340404002	7.160774997608765	26.782720875649577	382.3142169599893	0.11214775754726901
21.0.330000000000002.0	0.034671346073016	0.033743732822527	1.806801104820288	0.7135545623242121	1.409644332855505	1.540588618082782	5.676044637650782	0.000100702214729	26.842998654842702	25.141817185848655	0.17918877943749	1.390177018833004	1.501385042218079	0.065702498435822	0.041002340032597	2.278449924591139	3.415746473164987	2.220477912558252	3.978767089559911	3.99318315965579	0.618026706017601	0.361973293982396	0.010748603802526001	0.010104888072465	0.022665291601987003	7.128505362547293	27.014901781011865	385.5269656205066	0.1134775201564
21.0.6.0	0.036444135130281004	0.03286789729851	1.705209120052292	0.528413932168951	1.696376947778764	1.49835885403579	5.720368713065915	0.00012152235712500002	27.150947775560407	25.404474395059008	0.19191268231996703	1.286386859095386	1.583467939409569	0.062467919332280006	0.029093877438561	2.062297500870402	3.6524399131006753	2.243638797574213	3.9695110074856412	3.984191462628539	0.6533445373922621	0.32665546260773604	0.010881073295208	0.010202149139078001	0.023041224081533	7.281940027005655	27.251785954580157	388.81646704011325	0.114766662572072
