time	y	z
0.0.	12.0	5.0
0.0.2.0	10.28460706664251	5.65266592011033
0.0.4.0	8.725283222030889	6.183446470507533
0.0.6000000000000001.0	7.4074258315098405	6.571630272800919
0.0.8.0	6.357819472778365	6.8207586753431695
1.0.	5.5607470923368805	6.950147994501329
1.0.2000000000000002.0	4.978746273471446	6.98549239954179
1.0.4000000000000001.0	4.568590040317353	6.952195987283197
1.0.6.0	4.290254306572179	6.872007728901853
1.0.8.0	4.110471440506627	6.762029947381255
2.0.	4.003195891869436	6.634989826159244
2.0.2.0	3.948712564247989	6.499997523928489
2.0.4000000000000004.0	3.932362502569176	6.3633757243554765
2.0.6.0	3.943329869736884	6.229386086819211
2.0.8000000000000003.0	3.973642826271693	6.100804940105821
3.0.	4.017406697183021	5.979355825590848
3.0.2.0	4.070237451030364	5.866024763251685
3.0.4000000000000004.0	4.128851815420043	5.761286030032885
3.0.6.0	4.190773850169419	5.665262238538956
3.0.8000000000000003.0	4.254125718866895	5.57783722109274
4.0.	4.317478386083759	5.498735426235481
4.0.2.0	4.379744599603034	5.427577710862398
4.0.4.0	4.440101580701104	5.363920547947103
4.0.6000000000000005.0	4.497934549286487	5.307283595765316
4.0.800000000000001.0	4.552794858299946	5.257169098928811
5.0.	4.604368382194974	5.213075551399903
5.0.2.0	4.652451118949253	5.174507321451343
5.0.4.0	4.696929888066524	5.140981426451524
5.0.6000000000000005.0	4.7377666557739335	5.112032286089668
5.0.800000000000001.0	4.774985475343206	5.087215030456758
6.0.	4.8086613522035275	5.066107762431501
6.0.2.0	4.8389105697022945	5.048313049963111
6.0.4.0	4.865882169336596	5.033458837668775
6.0.6000000000000005.0	4.889750388119075	5.021198907839479
6.0.800000000000001.0	4.910707928977963	5.0112129807861
7.0.	4.92895998747026	5.003206517934018
7.0.2.0	4.944718986781582	4.996910274167636
7.0.4.0	4.958199988382648	4.992079635675285
7.0.6000000000000005.0	4.969616751921017	4.98849377375572
7.0.800000000000001.0	4.979178418111771	4.9859546420929615
8.0.	4.987086784982473	4.984285843694199
8.0.200000000000001.0	4.9935341426656175	4.983331393160864
8.0.4.0	4.998701626365258	4.982954399638589
8.0.6.0	5.002758042094539	4.9830356952916315
8.0.8.0	5.005859115887071	4.9834724332608555
9.0.	5.008147114751069	4.984176677706042
9.0.200000000000001.0	5.009750786765895	4.985074006708371
9.0.4.0	5.010785568360673	4.9861021465837485
9.0.600000000000001.0	5.011354008794999	4.987209653634504
9.0.8.0	5.011546364947144	4.9883546566643115
10.0.	5.011441323436898	4.989503670818064
10.0.200000000000001.0	5.011106811597344	4.990630490593962
10.0.4.0	5.010600863607496	4.991715167301501
10.0.600000000000001.0	5.009972512982618	4.992743073877769
10.0.8.0	5.009262687405214	4.993704057876018
11.0.	5.008505086422931	4.994591681634624
11.0.200000000000001.0	5.007727026734976	4.995402547133142
11.0.4.0	5.006950243568265	4.996135701842179
11.0.600000000000001.0	5.006191639971472	4.996792120960281
11.0.8.0	5.005463978719014	4.9973742607807825
12.0.	5.004776513927125	4.9978856775158444
12.0.200000000000001.0	5.004135561464897	4.998330705692045
12.0.4.0	5.00354500882893	4.998714190189615
12.0.600000000000001.0	5.003006766381401	4.9990412660938714
12.0.8.0	5.002521162771203	4.999317180733189
13.0.	5.002087288009876	4.9995471525657
13.0.200000000000001.0	5.001703288100234	4.999736261923326
13.0.4.0	5.001366615355432	4.9998893690060235
13.0.600000000000001.0	5.001074238635051	5.00001105492406
13.0.8.0	5.000822817694713	5.000105581997928
14.0.	5.000608845724306	5.000176869932557
14.0.200000000000001.0	5.000428763961004	5.000228484876615
14.0.4.0	5.000279052026689	5.000263638752326
14.0.600000000000001.0	5.000156297372056	5.000285196591811
14.0.8.0	5.00005724692461	5.000295689940032
15.0.	4.999978843746246	5.000297334679938
15.0.200000000000001.0	4.999918251215989	5.000292051902369
15.0.4.0	4.999872866971674	5.000281490681518
15.0.600000000000001.0	4.9998403285751145	5.000267051827689
15.0.8.0	4.999818512612353	5.00024991187355
16.0.	4.9998055287056555	5.000231046710322
16.0.2.0	4.999799709698622	5.000211254427702
16.0.400000000000002.0	4.999799599080313	5.000191177028194
16.0.6.0	4.999803936538665	5.000171320784521
16.0.8.0	4.999811642377332	5.000152075090349
17.0.	4.9998218013922155	5.000133729721096
17.0.2.0	4.999833646683692	5.000116490475289
17.0.400000000000002.0	4.999846543776411	5.000100493209365
17.0.6.0	4.999859975329301	5.000085816311431
17.0.8.0	4.999873526642768	5.000072491684013
18.0.	4.999886872106627	5.00006051432316
18.0.2.0	4.99989976267972	5.000049850593101
18.0.400000000000002.0	4.999912014449323	5.000040445302315
18.0.6.0	4.999923498283913	5.000032227690052
18.0.8.0	4.999934130565761	5.000025116432201
19.0.	4.9999438649690084	5.000019023772959
19.0.200000000000003.0	4.99995268523335	5.00001385888452
19.0.400000000000002.0	4.99996059887262	5.000009530551392
19.0.6.0	4.9999676317502555	5.000005949269506
19.0.8.0	4.9999738234496505	5.000003028843194
20.0.	4.999979223365728	5.000000687555967
