time	A	I1	I2	S
0.0.	1800.0	5400.0	4500.0	15300.0
1.0.	4676.989516590106	15978.703646916927	4646.792778003454	188.57828296427118
2.0.	5105.957416509691	12674.763103309435	4503.882900725427	233.35037052500334
3.0.	4728.116594992074	10546.115581827187	4178.312967710382	277.43661694063735
4.0.	4217.861272907481	9177.025585635114	3802.467729300966	317.66442824634936
5.0.	3769.968341067231	8299.003428424983	3442.384405955875	351.86218421422114
6.0.	3422.071088718053	7738.101221880811	3126.831744871146	379.1894476545262
7.0.	3165.063265092469	7381.387657503877	2864.458686731377	399.94354893822356
8.0.	2979.6384437058127	7155.5775161131305	2653.7422221035663	415.0959806504677
9.0.	2847.4541581719177	7013.265446783455	2488.6219158275967	425.84306021005597
10.0.	2753.8162255072175	6923.943218345588	2361.572824989065	433.3135728201667
11.0.	2687.704710206317	6868.09146312241	2265.1781462068966	438.43806137049717
12.0.	2641.1065400575703	6833.292351274782	2192.8440481899574	441.92471579977985
13.0.	2608.2869258279065	6811.685837647727	2139.042932824221	444.28633684881606
14.0.	2585.176624400349	6798.318389742407	2099.3134895336266	445.88278591007014
15.0.	2568.9016746108	6790.0798365705605	2070.148830766904	446.9617101810055
16.0.	2557.4373129250084	6785.023804369333	2048.8450856147347	447.6915289030265
17.0.	2549.358750259026	6781.935914433384	2033.3478872680041	448.1860098607195
18.0.	2543.6638242699914	6780.060714539737	2022.1141102296217	448.5217444612017
19.0.	2539.6476324331966	6778.929652867685	2013.9951570026763	448.7502372087665
20.0.	2536.814230526777	6778.253049640421	2008.1423736838096	448.90613448478075
21.0.	2534.8145524189777	6777.852444541199	2003.9325086741283	449.0127730611651
22.0.	2533.4027987214386	6777.6183364484405	2000.910141213536	449.0859024568497
23.0.	2532.4058043663435	6777.483849754176	1998.7438866273867	449.13617656996814
24.0.	2531.7015178254496	6777.408366322052	1997.1934712463974	449.17082084932497
25.0.	2531.203875336229	6777.367379068292	1996.0852089532004	449.19474874851267
26.0.	2530.8521642698583	6777.3462209406125	1995.2938724108485	449.2113106179661
27.0.	2530.6035391143014	6777.336202108348	1994.7293738233186	449.22279714369625
28.0.	2530.427752689449	6777.332239768213	1994.3270290946616	449.2307786365135
29.0.	2530.3034448744315	6777.331410403628	1994.0404716483329	449.23633431784936
30.0.	2530.2155270852263	6777.3320702523715	1993.836513346777	449.2402077062179
31.0.	2530.153338103571	6777.333324439946	1993.6914288981795	449.2429122240947
32.0.	2530.1093432058774	6777.334709102462	1993.5882764816672	449.244803176907
33.0.	2530.078216167076	6777.336002924044	1993.5149699503488	449.24612694887145
34.0.	2530.056191216131	6777.337116801737	1993.4628944830433	449.2470547179136
35.0.	2530.0406054096907	6777.33803030467	1993.4259141578736	449.2477056210873
36.0.	2530.0295753770138	6777.338755886204	1993.3996615315468	449.24816271075446
37.0.	2530.021768920599	6777.339319351423	1993.3810297388031	449.2484839707638
38.0.	2530.016243599701	6777.339749691641	1993.3678097843201	449.24870993874794
39.0.	2530.012332628249	6777.340074199185	1993.3584317742475	449.24886899096896
40.0.	2530.0095642029455	6777.340316467605	1993.3517804601722	449.248981013529
41.0.	2530.0076044572265	6777.340495896568	1993.347063853834	449.2490599571619
42.0.	2530.0062171157933	6777.340627922359	1993.3437197054911	449.2491156180261
43.0.	2530.0052349565776	6777.34072454776	1993.3413489730774	449.2491548808581
44.0.	2530.004539622163	6777.340794948632	1993.339668516955	449.2491825880085
45.0.	2530.004047336261	6777.340846049425	1993.338477479955	449.2492021477144
46.0.	2530.0036987970566	6777.34088302282	1993.3376334032512	449.24921596034574
47.0.	2530.003452025395	6777.340909701645	1993.3370352647867	449.2492257174116
48.0.	2530.0032773035023	6777.34092890725	1993.3366114376413	449.24923261150707
49.0.	2530.003153592922	6777.340942705165	1993.3363111436563	449.24923748385726
50.0.	2530.0030659991917	6777.340952600734	1993.336098389263	449.2492409280857
51.0.	2530.003003977282	6777.340959686872	1993.335947663556	449.2492433632482
52.0.	2530.002960061303	6777.340964754502	1993.3358408870881	449.24924508526595
53.0.	2530.0029289652903	6777.340968374421	1993.3357652481454	449.2492463031704
54.0.	2530.0029069466223	6777.340970957598	1993.3357116685959	449.24924716465534
55.0.	2530.002891355366	6777.340972799321	1993.3356737162933	449.24924777410064
