time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
0.0.	0.0	0.0	0.0	0.0	1269.5683411610692	482.42521726893085	632.1908785906975	159.9933580643025	44.316321578628184	0.109505329345426	0.712465289944962	100.0	0.0	11.105668789614304	6.412297617185694	15.542698664631214	1.956914792968786	0.0	0.0	0.0	0.0	0.0	0.0
14.0.5.0	1.796277589871009	0.705623184618382	0.112366420866693	10.61997201592954	1206.1588912361317	462.00139213373166	595.564268010822	161.81661586639498	33.806888517628344	0.10956197256743601	0.7152459826341331	99.47651169111306	0.023255690160964	5.931512995704147	2.995539742757295	4.066849114105887	0.20007036346786303	0.12051127468976901	0.23728409726172	22.841903787063313	25.746155783526603	0.11767957949840901	1.140324157596306
29.0.	1.5150446647845142	0.8425383658105801	0.138392065366017	12.245005900162635	1140.7357296505525	440.76732508831975	559.7249453847346	171.0159408959958	32.372030453232234	0.122797581262541	0.9849799727547551	98.95571005419058	0.028459261853146	7.008165847229724	4.097232790547577	2.587376138706821	0.182534213450171	0.153384745556041	0.358887259977869	35.84057280095444	62.22813797832041	0.37425977810856204	9.89618179523921
43.0.5.0	1.330793467433571	0.871896231772692	0.144145186871926	12.69981916403986	1105.2036665129222	428.8205311588087	546.0835391260957	176.052385476716	32.400810761098775	0.21546314317443702	2.055365687433982	98.4376221943548	0.029738613829023004	8.489971056959824	4.829764504554128	2.302124697886413	0.168981363644816	0.16102558413617502	0.39807341010726505	38.76335908295481	78.62893335087833	0.501664493392267	22.909803339038625
58.0.	1.231137288150517	0.8586762392082171	0.142477665109775	12.928288786384682	1086.233021063745	422.10201769432274	542.806024896739	177.27529303574997	33.48285698022966	0.39119644539498705	3.419862157010233	97.92224153274967	0.029978960746793	9.478922017715941	5.274702658897555	2.200002004029578	0.16192169645033502	0.160972578364858	0.41135114898547204	38.57572408575882	84.33632424495084	0.5280710512955761	34.72256039147422
72.0.5.0	1.172161398928765	0.8169211474513911	0.13590724231655202	13.115577297577786	1077.472653100243	418.7802029925673	543.9488430995236	177.03644560504534	35.702577550971725	0.575922745264423	4.501988616320399	97.40955542706305	0.029720343634638	10.063954277140272	5.544137859354767	2.126766757264466	0.15825203681938002	0.157566153394677	0.414390554841608	37.077218467619296	85.28654650636572	0.5080272486388281	43.66475162281628
87.0.	1.133546333907391	0.7605549393635671	0.12670744148773502	13.294808996348284	1076.1672093452146	418.0223885965339	547.4210358812836	176.20154892347992	38.871486242713914	0.711356387510749	5.085517115150963	96.8995500473211	0.029208472521258	10.39938492994494	5.7134989289425775	2.05522255086912	0.15633242301796102	0.152331732769835	0.41147244858354703	34.896797834472224	83.53789889070575	0.46593486219719404	49.559454352101135
101.0.5.0	1.106333745441425	0.7024816674057981	0.11706298793137401	13.460307467109098	1079.9574680490448	419.0612797216204	551.9619036917771	175.1156734737566	42.60645514226856	0.7761638791712111	5.186055223887958	96.3922115085643	0.028625932198334002	10.595189834021104	5.826639756779481	1.9858658107869491	0.15536027006636102	0.14645813547393002	0.40491473898108504	32.530616987536966	80.27440041331323	0.416740330098605	52.730929304809294
116.0.	1.086290217020143	0.6504653419745641	0.10834095344869901	13.602534310454207	1086.6829651721255	421.17308263290727	556.6459880766163	174.0030165562605	46.496449861238894	0.7768778393086531	4.941080022175017	95.88752612073294	0.028081832401232003	10.716484552357352	5.9069355059481055	1.923941914250443	0.15492928305762801	0.140829079038403	0.39657903223752505	30.328662296569693	76.42279794306465	0.370324889815953	53.74061109060459
130.0.5.0	1.071154463373063	0.6073183418784941	0.10106793549423601	13.71768755109067	1094.6957936314598	423.7929961227031	560.9258194048138	173.00369773936146	50.21776295323807	0.733703280069084	4.512544367180784	95.3854803565704	0.027620291549031003	10.797700348634109	5.966436844497919	1.8726078857280921	0.154827260243105	0.135916892631121	0.38782272491811903	28.457681544077545	72.60441560855182	0.33132170384694903	53.220501882155006
145.0.	1.059551526594441	0.572931302162888	0.09525633907272801	13.807167755544441	1102.9291519738217	426.5449303827546	564.578736160948	172.1768666584741	53.57568143175071	0.668193550802046	4.027173172568394	94.88606077104279	0.027246783696794	10.855822414564303	6.011594254770475	1.832256395987635	0.154939492823352	0.131862585149976	0.37946810519351504	26.949403780318452	69.14196870468803	0.300570544676377	51.74410881373624
159.0.5.0	1.050557085235368	0.546004853073476	0.09070112457744901	13.874873118933728	1110.780293276125	429.2080384836503	567.5828933112089	171.52590937000434	56.49060708354375	0.596689939589459	3.561663428725299	94.38925394875557	0.026950290353731	10.899167682860975	6.046235063078631	1.801658053873108	0.15520028568253902	0.128618218504422	0.37191734277508803	25.766649472524758	66.15012030822356	0.277076984215132	49.76138847545499
174.0.	1.043509902262816	0.525002643161494	0.08714820065930601	13.925215478013559	1117.9567042445976	431.6685097065023	570.0095708350602	171.02713803584766	58.961319145357336	0.5290068752513081	3.15226201331885	93.89504648519457	0.026715597718118003	10.93211778052227	6.072922970598451	1.779032135072091	0.15556887692165403	0.126058838493172	0.36530438973948104	24.84944230319208	63.62995093334326	0.25932881782738604	47.588845639569115
188.0.5.0	1.037921776134799	0.50854551379973	0.08436597265463601	13.962169132062655	1124.3530135608644	433.87936144688035	571.9581810130661	170.6492268473151	61.02910043646308	0.469755444401441	2.809755094271795	93.40342498710757	0.026528500676523	10.95731866115203	6.093533750828958	1.7626374124425612	0.1560178786129	0.12404587632440701	0.35961635937888703	24.1382898391359	61.53294669397759	0.245902720471696	45.42912511837495
