time	ADP	AMP	ATP	NADH	Pyr
0.0.	0.0	0.0	16.3	1.0	0.0
6.0.	0.041554569008409	0.278340516190144	15.980104914801432	0.978202474230713	0.001974365963132
12.0.	0.105142380983957	0.49668488429490104	15.698172734721126	0.8711323026719241	0.005152882991056
18.0.	0.160583677364691	0.6691098206211981	15.470306502014104	0.673291771230715	0.007940979976737001
24.0.	0.204702213340254	0.806115170364979	15.289182616294758	0.40040875840427703	0.010161689100948001
30.0.	0.239258049403185	0.9155293854467711	15.145212565150038	0.068408611870322	0.011900729449779001
36.0.	0.266378581430395	1.003263539191255	15.030357879378347	-0.30989540563996404	0.01326503639046
42.0.	0.28778616357922304	1.073841037151447	14.938372799269324	-0.72462266153331	0.014341531441341001
48.0.	0.304781926381124	1.130763702826243	14.864454370792629	-1.168171388305157	0.015195892146386001
54.0.	0.318342099925491	1.176768567618838	14.804889332455666	-1.634651263444472	0.015877364701624
60.0.	0.32920535705555004	1.214011688727694	14.75678295421675	-2.119459612646409	0.016423183155974002
66.0.	0.337936941157069	1.244202320476024	14.717860738366898	-2.618972560693159	0.016861819455454
72.0.	0.344973996734311	1.2687025538504821	14.6863234494152	-3.130318615248304	0.017215279742700002
78.0.	0.350657716004221	1.288602426091688	14.66073985790408	-3.651210467894796	0.017500731169275002
84.0.	0.35525646151105605	1.304777269200538	14.639966269288394	-4.179818297657577	0.017731670787434
90.0.	0.35898266923603	1.317931977558247	14.62308535320571	-4.714673124582918	0.017918779177589002
96.0.	0.36200539737963805	1.328635495529103	14.609359107091246	-5.25459227334533	0.018070553608002003
102.0.	0.36445977316708	1.3373478958044	14.598192331028503	-5.798621348614811	0.018193784305559003
108.0.	0.366454192291908	1.344441779655762	14.589104028052311	-6.345988706014208	0.018293917174582
114.0.	0.36807586454961305	1.3502192823256731	14.581704853124698	-6.896069489830618	0.018375333029150002
120.0.	0.36939512507919503	1.354925647648886	14.575679227271904	-7.44835706921397	0.018441564561873
126.0.	0.370468812480715	1.358760104974926	14.570771082544342	-8.00244024570623	0.018495466278934003
132.0.	0.371342933550781	1.361884611730179	14.566772454719027	-8.557984996124897	0.018539348500009
138.0.	0.37205477720157104	1.3644308985496	14.563514324248816	-9.114719801855301	0.018575083627156
144.0.	0.37263459940112303	1.3665061585917622	14.560859242007101	-9.672423829122181	0.018604190826869
150.0.	0.373106971528652	1.368197649973027	14.55869537849831	-10.230917385637312	0.018627903781555002
156.0.	0.37349186295254005	1.369576424286961	14.556931712760484	-10.790054201530861	0.018647225076764
162.0.	0.373805512604917	1.370700350693469	14.5554941367016	-11.349715176739702	0.018662969981488
168.0.	0.37406113227202104	1.3716165710233001	14.554322296704669	-11.909803310204138	0.018675801771068
174.0.	0.37426947515551	1.37236349452055	14.55336703032393	-12.470239583472917	0.01868626028047
180.0.	0.374439296223318	1.3729724195891801	14.552588284187491	-13.030959616403893	0.018694785021312003
186.0.	0.374577725417272	1.373468852983109	14.55195342159961	-13.591910948360871	0.018701733921644002
192.0.	0.37469057052806803	1.373873583346402	14.551435846125521	-14.153050826734008	0.018707398533292
198.0.	0.374782563201601	1.374203555153139	14.551013881645249	-14.714344407330795	0.018712016383276003
204.0.	0.374857558893936	1.374472580361891	14.550669860744161	-15.275763289406596	0.018715781012719
210.0.	0.37491869948836104	1.374691918055675	14.550389382455956	-15.837284322760016	0.018718850140932
216.0.	0.37496854560846404	1.374870746646675	14.550160707744858	-16.398888636135588	0.018721352307937002
222.0.	0.37500918431552605	1.375016548618509	14.549974267065963	-16.96056084572301	0.018723392281109003
228.0.	0.37504231679710304	1.3751354240458111	14.549822259157086	-17.522288410267784	0.018725055457248
234.0.	0.375069329782353	1.375232346102162	14.549698324115488	-18.084061105568082	0.018726411447673
240.0.	0.375091353716197	1.375311369308089	14.549597276975717	-18.64587059621102	0.018727516998567003
246.0.	0.37510931015541304	1.375375799272239	14.54951489057235	-19.207710086525058	0.018728418370244002
252.0.	0.375123950388888	1.375428331053745	14.549447718557369	-19.769574036076012	0.01872915327585
258.0.	0.37513588691050503	1.375471161951719	14.549392951137774	-20.331457927758233	0.018729752461276002
264.0.	0.37514561906979105	1.375506083451841	14.549348297478367	-20.89335807874918	0.018730240992779
270.0.	0.37515355397895706	1.375534556183964	14.54931188983708	-21.455271486399127	0.018730639306489
276.0.	0.375160023554623	1.375557771031324	14.549282205414054	-22.01719570259606	0.018730964063874003
282.0.	0.37516529840953805	1.375576698950865	14.5492580026396	-22.579128731341946	0.018731228849076003
288.0.	0.37516959917701503	1.3755921315907451	14.549238269232243	-23.141068945250154	0.018731444737381
294.0.	0.375173105742837	1.375604714405448	14.549222179851713	-23.70301501746754	0.018731620758638
300.0.	0.37517596477149	1.375614973654539	14.549209061573972	-24.264965866171146	0.018731764275063
306.0.	0.375178295842006	1.375623338414952	14.549198365743038	-24.82692060931656	0.018731881289241
312.0.	0.37518019645036105	1.3756301585279	14.549189645021741	-25.388878527743664	0.018731976695242
318.0.	0.37518174608785904	1.375635719231328	14.549182534680813	-25.950839035096532	0.018732054483342
324.0.	0.375183009566229	1.375640253090072	14.549176737343696	-26.51280165329845	0.018732117906936
330.0.	0.37518403972859204	1.375643949722824	14.549172010548581	-27.074765992556152	0.018732169618623
336.0.	0.375184879659741	1.375646963732805	14.54916815660746	-27.63673173505683	0.018732211781157002
342.0.	0.37518556448821805	1.375649421173872	14.549165014337921	-28.19869862167581	0.018732246157908
348.0.	0.375186122855585	1.375651424822555	14.549162452321879	-28.760666441138934	0.018732274186613003
354.0.	0.375186578114356	1.375653058476513	14.549160363409142	-29.322635021186354	0.018732297039513002
360.0.	0.37518694930470703	1.37565439045923	14.549158660236067	-29.88460422136795	0.018732315672380002
366.0.	0.37518725195080904	1.375655476477494	14.549157271571696	-30.44657392716932	0.018732330864490002
372.0.	0.37518749871011003	1.375656361951235	14.549156139338649	-31.00854404522241	0.018732343251215002
378.0.	0.37518769990271505	1.375657083913099	14.549155216184177	-31.570514499400602	0.018732353350602002
