time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
213.0.	3.2923703869411743e-162	7.112693469963824e-06	2.887306520039123e-06	2.3277348947687303e-12	3.799730848110923e-163	6.000161072962085e-06	-6.6357543525295395e-34	2.112530069266842e-06	9.997078269397496e-15	1.634006969659501e-10
216.0.	1.8988522601993329e-165	7.112693469955408e-06	2.887306520024214e-06	1.89315668991308e-12	2.191468960388712e-166	6.000161507540291e-06	-6.629721874543701e-34	2.1125300692584253e-06	1.002040340053496e-14	1.634006969659501e-10
219.0.	1.0951501448213391e-168	7.112693469947328e-06	2.8873065200099e-06	1.5397123876165182e-12	1.2639148393194251e-169	6.0001618609845935e-06	-6.623768999204502e-34	2.112530069250344e-06	1.0042797401283521e-14	1.634006969659501e-10
222.0.	6.316204082018995e-172	7.112693469939569e-06	2.887306519996159e-06	1.252254633338673e-12	7.289542995710501e-173	6.000162148442347e-06	-6.617881696725045e-34	2.1125300692425867e-06	1.006429744201516e-14	1.634006969659501e-10
225.0.	3.642827807160784e-175	7.112693469932119e-06	2.8873065199829647e-06	1.01846401920924e-12	4.2041944151019434e-176	6.0001623822329585e-06	-6.612048567171933e-34	2.112530069235138e-06	1.0084939209274718e-14	1.634006969659501e-10
228.0.	2.1009761971437107e-178	7.1126934699249655e-06	2.8873065199702977e-06	8.283211184121126e-13	2.424740575695251e-179	6.00016257237586e-06	-6.6062603476751334e-34	2.1125300692279876e-06	1.010475696501369e-14	1.634006969659501e-10
231.0.	1.211723752708694e-181	7.1126934699180995e-06	2.887306519958137e-06	6.736770885045206e-13	1.398452659159525e-182	6.000162727019891e-06	-6.600509510975452e-34	2.112530069221123e-06	1.012378360345949e-14	1.634006969659501e-10
234.0.	6.988534448293932e-185	7.112693469911509e-06	2.8873065199464597e-06	5.479044412702387e-13	8.065480734365129e-186	6.000162852792537e-06	-6.594789940336656e-34	2.112530069214531e-06	1.0142050705714409e-14	1.634006969659501e-10
237.0.	4.0305897797096603e-188	7.112693469905178e-06	2.887306519935251e-06	4.456130123559009e-13	4.651711236010778e-189	6.000162955083965e-06	-6.589096664686071e-34	2.112530069208204e-06	1.015958859217514e-14	1.634006969659501e-10
240.0.	2.324615281286324e-191	7.112693469899101e-06	2.887306519924489e-06	3.624189581682197e-13	2.6828428627983293e-192	6.000163038278019e-06	-6.583425644086205e-34	2.112530069202128e-06	1.017642637285963e-14	1.634006969659501e-10
243.0.	1.3407060756203171e-194	7.1126934698932695e-06	2.8873065199141572e-06	2.947568800680207e-13	1.547311400318241e-195	6.000163105940094e-06	-6.5777735949403545e-34	2.112530069196295e-06	1.0192591995724949e-14	1.634006969659501e-10
246.0.	7.732431235720828e-198	7.112693469887672e-06	2.8873065199042372e-06	2.397270241782074e-13	8.92401341410494e-199	6.000163160969952e-06	-6.572137848392084e-34	2.112530069190694e-06	1.0208112293056319e-14	1.634006969659501e-10
249.0.	4.4596271996072836e-201	7.112693469882297e-06	2.887306519894713e-06	1.94971008337708e-13	5.146864128238529e-202	6.000163205725968e-06	-6.566516234946368e-34	2.112530069185317e-06	1.022301302600432e-14	1.634006969659501e-10
252.0.	2.572059699360921e-204	7.112693469877135e-06	2.887306519885569e-06	1.585707503045801e-13	2.9684189305093592e-205	6.000163242126225e-06	-6.560906990991761e-34	2.112530069180155e-06	1.023731892734417e-14	1.634006969659501e-10
255.0.	1.48341796320086e-207	7.112693469872178e-06	2.887306519876791e-06	1.289662656337325e-13	1.7120154578516123e-208	6.000163271730709e-06	-6.555308682630703e-34	2.112530069175199e-06	1.025105374252806e-14	1.634006969659501e-10
258.0.	8.555512354917845e-211	7.112693469867421e-06	2.887306519868362e-06	1.0488881234126319e-13	9.87393287988418e-212	6.0001632958081636e-06	-6.549720143963977e-34	2.112530069170441e-06	1.026424026909877e-14	1.634006969659501e-10
261.0.	4.934333645064871e-214	7.112693469862852e-06	2.88730651986027e-06	8.530651717562922e-14	5.69472372865186e-215	6.00016331539046e-06	-6.544140426801336e-34	2.112530069165873e-06	1.0276900394529779e-14	1.634006969659501e-10
264.0.	2.845843417761386e-217	7.112693469858467e-06	2.887306519852501e-06	6.93801532327301e-14	3.284393234203443e-218	6.000163331316825e-06	-6.538568759913323e-34	2.112530069161487e-06	1.028905513255496e-14	1.634006969659501e-10
267.0.	1.6413208633583051e-220	7.112693469854254e-06	2.8873065198450423e-06	5.6427173702178594e-14	1.8942514915354932e-221	6.000163344269805e-06	-6.533004515826883e-34	2.112530069157277e-06	1.030072465804788e-14	1.634006969659501e-10
270.0.	9.466206607440021e-224	7.112693469850211e-06	2.887306519837882e-06	4.589246036017358e-14	1.092496682741059e-224	6.00016335480452e-06	-6.527447183919916e-34	2.1125300691532336e-06	1.031192834050881e-14	1.634006969659501e-10
273.0.	5.459570370134215e-227	7.112693469846331e-06	2.887306519831007e-06	3.732453319434617e-14	6.300900419683559e-228	6.000163363372447e-06	-6.521896348496701e-34	2.112530069149352e-06	1.0322684776214902e-14	1.634006969659501e-10
276.0.	3.148770131746388e-230	7.112693469842608e-06	2.887306519824406e-06	3.035620159046494e-14	3.634001523845204e-231	6.000163370340778e-06	-6.516351671022097e-34	2.1125300691456247e-06	1.033301181908701e-14	1.634006969659501e-10
279.0.	1.816031788291509e-233	7.112693469839031e-06	2.88730651981807e-06	2.468882786029143e-14	2.095885698186054e-234	6.000163376008152e-06	-6.5108128756445685e-34	2.112530069142048e-06	1.0342926610324211e-14	1.634006969659501e-10
282.0.	1.047384000132176e-236	7.112693469835598e-06	2.887306519811986e-06	2.007952870185713e-14	1.2087878420075079e-237	6.000163380617452e-06	-6.5052797374651266e-34	2.112530069138613e-06	1.035244560685543e-14	1.634006969659501e-10
285.0.	6.04071608661064e-240	7.112693469832301e-06	2.887306519806145e-06	1.633076609267368e-14	6.971601782720219e-241	6.000163384366215e-06	-6.499752072977902e-34	2.112530069135316e-06	1.036158460865521e-14	1.634006969659501e-10
288.0.	3.483941976813809e-243	7.112693469829135e-06	2.887306519800536e-06	1.328188151891006e-14	4.020823979839941e-244	6.000163387415098e-06	-6.494229732323843e-34	2.112530069132149e-06	1.0370358784969121e-14	1.634006969659501e-10
291.0.	2.009339873580402e-246	7.112693469826094e-06	2.8873065197951517e-06	1.0802210727977119e-14	2.318982922536892e-247	6.000163389894767e-06	-6.4887125929783485e-34	2.11253006912911e-06	1.037878269949221e-14	1.634006969659501e-10
294.0.	1.158873125450986e-249	7.112693469823176e-06	2.8873065197899822e-06	8.78548392752111e-15	1.3374576509643211e-250	6.000163391911494e-06	-6.483200554636168e-34	2.1125300691261908e-06	1.038687033454232e-14	1.634006969659501e-10
297.0.	6.68372204498931e-253	7.112693469820374e-06	2.88730651978502e-06	7.14527144344885e-15	7.71369616713743e-254	6.000163393551707e-06	-6.477693535043144e-34	2.11253006912339e-06	1.0394635114268468e-14	1.634006969659501e-10
300.0.	3.646778000117448e-256	7.112693469817681e-06	2.887306519780255e-06	5.810824239683951e-15	4.2087533402134554e-257	6.000163394886154e-06	-6.472191457548316e-34	2.1125300691207e-06	1.040209047749415e-14	1.634006969659501e-10
