time	T
0.0.	120.0
0.0.3.0	120.54121683425002
0.0.6.0	121.08487462262536
0.0.8999999999999999.0	121.63098438382914
1.0.2.0	122.17955717662389
1.0.5.0	122.73060410962657
1.0.7999999999999998.0	123.28413634155639
2.0.1.0	123.84016508145999
2.0.4.0	124.39870158893834
2.0.6999999999999997.0	124.95975717437481
3.0.	125.52334319916417
3.0.3.0	126.08947107594267
3.0.5999999999999996.0	126.65815226881921
3.0.9.0	127.22939829360732
4.0.2.0	127.80322071805854
4.0.5.0	128.37963116209662
4.0.8.0	128.95864129805267
5.0.1.0	129.54026285090177
5.0.3999999999999995.0	130.1245075985002
5.0.7.0	130.71138737182415
6.0.	131.300914055209
6.0.3.0	131.89309958659027
6.0.6.0	132.48795595774524
6.0.8999999999999995.0	133.08549521453574
7.0.199999999999999.0	133.68572945715204
7.0.5.0	134.28867084035815
7.0.8.0	134.89433157373776
8.0.1.0	135.5027239219413
8.0.4.0	136.11386020493458
8.0.7.0	136.72775279824836
9.0.	137.34441413322853
9.0.299999999999999.0	137.96385669728824
9.0.6.0	138.5860930341605
9.0.9.0	139.21113574415244
10.0.2.0	139.83899748440032
10.0.5.0	140.46969096912585
10.0.799999999999999.0	141.10322896989365
11.0.1.0	141.7396243158698
11.0.4.0	142.3788898940819
11.0.7.0	143.0210386496797
12.0.	143.66608358619737
12.0.299999999999999.0	144.31403776581706
12.0.6.0	144.96491430963306
12.0.9.0	145.6187263979175
13.0.2.0	146.2754872703876
13.0.5.0	146.93521022647343
13.0.799999999999999.0	147.5979086255874
14.0.1.0	148.2635958873947
14.0.399999999999999.0	148.93228549208519
14.0.7.0	149.60399098064622
15.0.	150.27872595513682
15.0.299999999999999.0	150.95650407896332
15.0.6.0	151.63733907715596
15.0.899999999999999.0	152.32124473664658
16.0.2.0	153.0082349065482
16.0.5.0	153.6983234984353
16.0.8.0	154.3915244866254
17.0.099999999999998.0	155.0878519084622
17.0.4.0	155.78731986459982
17.0.7.0	156.48994251928815
18.0.	157.19573410066016
18.0.3.0	157.90470890101938
18.0.599999999999998.0	158.61688127712972
18.0.9.0	159.33226565050614
19.0.2.0	160.05087650770668
19.0.5.0	160.77272840062574
19.0.8.0	161.49783594678885
20.0.099999999999998.0	162.2262138296485
20.0.4.0	162.9578767988818
20.0.7.0	163.69283967068893
21.0.	164.43111732809302
21.0.3.0	165.17272472124193
21.0.599999999999998.0	165.9176768677107
21.0.9.0	166.66598885280578
22.0.2.0	167.41767582987043
22.0.5.0	168.17275302059159
22.0.8.0	168.9312357153082
23.0.099999999999998.0	169.69313927332078
23.0.4.0	170.45847912320232
23.0.7.0	171.22727076311108
24.0.	171.99952976110393
24.0.3.0	172.775271755452
24.0.599999999999998.0	173.5545124549572
24.0.9.0	174.33726763927027
25.0.2.0	175.12355315921047
25.0.5.0	175.9133849370865
25.0.8.0	176.70677896701872
26.0.099999999999998.0	177.50375131526351
26.0.4.0	178.30431812053806
26.0.7.0	179.10849559434746
27.0.	179.9163000213132
27.0.3.0	180.72774775950245
27.0.599999999999998.0	181.54285524075962
27.0.9.0	182.3616389710391
28.0.2.0	183.18411553073935
28.0.5.0	184.01030157503885
28.0.799999999999997.0	184.84021383423325
29.0.099999999999998.0	185.67386911407417
29.0.4.0	186.51128429610938
29.0.7.0	187.35247633802507
30.0.	188.1974622739888
