time	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
420.0.	4.122422236370912e-11	4.9999999999999996e-06	9.711941631665077e-10	4.831050080303549e-08	4.5073348993201514e-23	8.898654980942351e-07	1.1286191960431949e-11	1e-05	1e-05
430.0.	4.122422236066206e-11	4.9999999999999996e-06	9.711941630947188e-10	4.832233448040757e-08	4.507334898939817e-23	8.900936998426787e-07	1.1288953153383117e-11	1e-05	1e-05
440.0.	4.122422235809161e-11	4.9999999999999996e-06	9.711941630341588e-10	4.833231718820084e-08	4.507334898618972e-23	8.902862094554491e-07	1.129128245318818e-11	1e-05	1e-05
450.0.	4.122422235592327e-11	4.9999999999999996e-06	9.711941629830734e-10	4.834073814953057e-08	4.507334898348324e-23	8.904486033882136e-07	1.1293247345278789e-11	1e-05	1e-05
460.0.	4.1224222354094244e-11	4.9999999999999996e-06	9.711941629399812e-10	4.83478414804599e-08	4.507334898120023e-23	8.905855885741179e-07	1.129490479010187e-11	1e-05	1e-05
470.0.	4.122422235255142e-11	4.9999999999999996e-06	9.711941629036324e-10	4.8353833200516085e-08	4.5073348979274504e-23	8.907011375131283e-07	1.129630285890762e-11	1e-05	1e-05
480.0.	4.1224222351250074e-11	4.9999999999999996e-06	9.71194162872973e-10	4.835888716026285e-08	4.507334897765017e-23	8.9079860250846e-07	1.1297482116850519e-11	1e-05	1e-05
490.0.	4.122422235015243e-11	4.9999999999999996e-06	9.711941628471118e-10	4.836315005178615e-08	4.507334897628007e-23	8.908808122394603e-07	1.1298476792103348e-11	1e-05	1e-05
500.0.	4.122422234922661e-11	4.9999999999999996e-06	9.711941628252994e-10	4.8366745642395154e-08	4.5073348975124457e-23	8.909501533701505e-07	1.129931576372125e-11	1e-05	1e-05
510.0.	4.1224222348445705e-11	4.9999999999999996e-06	9.711941628069015e-10	4.836977835091702e-08	4.5073348974149754e-23	8.910086394910102e-07	1.130002339611102e-11	1e-05	1e-05
520.0.	4.122422234778707e-11	4.9999999999999996e-06	9.71194162791384e-10	4.8372336267917116e-08	4.507334897332764e-23	8.910579693448811e-07	1.130062024374957e-11	1e-05	1e-05
530.0.	4.122422234723154e-11	4.9999999999999996e-06	9.71194162778296e-10	4.837449370578175e-08	4.5073348972634237e-23	8.910995759919483e-07	1.130112364620353e-11	1e-05	1e-05
540.0.	4.1224222346763e-11	4.9999999999999996e-06	9.711941627672574e-10	4.83763133514657e-08	4.50733489720494e-23	8.911346683161111e-07	1.130154823043729e-11	1e-05	1e-05
550.0.	4.122422234636784e-11	4.9999999999999996e-06	9.711941627579465e-10	4.837784808354942e-08	4.507334897155614e-23	8.911642660604144e-07	1.13019063347933e-11	1e-05	1e-05
560.0.	4.122422234603451e-11	4.9999999999999996e-06	9.711941627500938e-10	4.837914250575838e-08	4.5073348971140095e-23	8.911892293964251e-07	1.130220836681339e-11	1e-05	1e-05
570.0.	4.122422234575341e-11	4.9999999999999996e-06	9.71194162743471e-10	4.838023424105424e-08	4.5073348970789233e-23	8.912102838776555e-07	1.13024631051936e-11	1e-05	1e-05
580.0.	4.1224222345516303e-11	4.9999999999999996e-06	9.711941627378853e-10	4.838115502358298e-08	4.507334897049331e-23	8.912280414956314e-07	1.1302677954572191e-11	1e-05	1e-05
590.0.	4.122422234531662e-11	4.9999999999999996e-06	9.711941627331807e-10	4.8381930563151675e-08	4.507334897024404e-23	8.912429980645183e-07	1.1302858913907549e-11	1e-05	1e-05
600.0.	4.122422234514923e-11	4.9999999999999996e-06	9.711941627292365e-10	4.838258065180938e-08	4.507334897003509e-23	8.912555352750472e-07	1.1303010601347069e-11	1e-05	1e-05
610.0.	4.122422234500785e-11	4.9999999999999996e-06	9.711941627259058e-10	4.838312972650713e-08	4.5073348969858636e-23	8.912661243987809e-07	1.130313871884923e-11	1e-05	1e-05
620.0.	4.1224222344888435e-11	4.9999999999999996e-06	9.711941627230924e-10	4.838359348241353e-08	4.507334896970958e-23	8.912750681203228e-07	1.130324692862211e-11	1e-05	1e-05
630.0.	4.122422234478758e-11	4.9999999999999996e-06	9.71194162720716e-10	4.838398517628811e-08	4.507334896958369e-23	8.912826220995233e-07	1.1303338323911369e-11	1e-05	1e-05
640.0.	4.122422234470239e-11	4.9999999999999996e-06	9.711941627187094e-10	4.838431600524942e-08	4.507334896947736e-23	8.912890022759135e-07	1.1303415517379468e-11	1e-05	1e-05
650.0.	4.122422234463044e-11	4.9999999999999996e-06	9.71194162717014e-10	4.838459542671485e-08	4.5073348969387545e-23	8.91294391038688e-07	1.1303480715758389e-11	1e-05	1e-05
660.0.	4.122422234456968e-11	4.9999999999999996e-06	9.711941627155822e-10	4.838483142866567e-08	4.5073348969311696e-23	8.912989424387003e-07	1.130353578291149e-11	1e-05	1e-05
670.0.	4.122422234451835e-11	4.9999999999999996e-06	9.71194162714373e-10	4.8385030757931026e-08	4.507334896924765e-23	8.91302786590913e-07	1.13035822930998e-11	1e-05	1e-05
680.0.	4.1224222344475e-11	4.9999999999999996e-06	9.711941627133517e-10	4.8385199113017125e-08	4.507334896919353e-23	8.913060333931172e-07	1.1303621575975511e-11	1e-05	1e-05
690.0.	4.1224222344438384e-11	4.9999999999999996e-06	9.711941627124892e-10	4.838534130698178e-08	4.5073348969147826e-23	8.913087756669714e-07	1.130365475458608e-11	1e-05	1e-05
700.0.	4.122422234440747e-11	4.9999999999999996e-06	9.711941627117606e-10	4.838546140500906e-08	4.507334896910922e-23	8.913110918111542e-07	1.1303682777475018e-11	1e-05	1e-05
710.0.	4.122422234438135e-11	4.9999999999999996e-06	9.711941627111452e-10	4.838556284060936e-08	4.507334896907662e-23	8.913130480423046e-07	1.130370644579518e-11	1e-05	1e-05
720.0.	4.1224222344359285e-11	4.9999999999999996e-06	9.711941627106253e-10	4.8385648513768695e-08	4.5073348969049085e-23	8.913147002878524e-07	1.1303726436210369e-11	1e-05	1e-05
730.0.	4.1224222344340654e-11	4.9999999999999996e-06	9.711941627101865e-10	4.8385720873847586e-08	4.507334896902582e-23	8.913160957847475e-07	1.130374332023835e-11	1e-05	1e-05
740.0.	4.122422234432492e-11	4.9999999999999996e-06	9.711941627098155e-10	4.838578198960134e-08	4.5073348969006185e-23	8.913172744298208e-07	1.130375758058899e-11	1e-05	1e-05
750.0.	4.1224222344311625e-11	4.9999999999999996e-06	9.711941627095026e-10	4.8385833608320524e-08	4.507334896898959e-23	8.913182699203227e-07	1.130376962496363e-11	1e-05	1e-05
760.0.	4.12242223443004e-11	4.9999999999999996e-06	9.711941627092381e-10	4.83858772057814e-08	4.5073348968975587e-23	8.913191107172487e-07	1.1303779797710269e-11	1e-05	1e-05
770.0.	4.122422234429092e-11	4.9999999999999996e-06	9.711941627090148e-10	4.8385914028436815e-08	4.5073348968963755e-23	8.913198208589886e-07	1.1303788389668078e-11	1e-05	1e-05
780.0.	4.122422234428292e-11	4.9999999999999996e-06	9.711941627088262e-10	4.838594512905031e-08	4.507334896895376e-23	8.913204206485559e-07	1.130379564648201e-11	1e-05	1e-05
790.0.	4.122422234427616e-11	4.9999999999999996e-06	9.711941627086668e-10	4.83859713967934e-08	4.507334896894532e-23	8.913209272340207e-07	1.1303801775625538e-11	1e-05	1e-05
800.0.	4.122422234427044e-11	4.9999999999999996e-06	9.711941627085321e-10	4.83859935826667e-08	4.507334896893819e-23	8.913213550987649e-07	1.1303806952332248e-11	1e-05	1e-05
810.0.	4.12242223442656e-11	4.9999999999999996e-06	9.711941627084184e-10	4.8386012320969826e-08	4.507334896893216e-23	8.913217164755449e-07	1.1303811324605459e-11	1e-05	1e-05
820.0.	4.122422234426153e-11	4.9999999999999996e-06	9.711941627083227e-10	4.838602814743653e-08	4.5073348968927074e-23	8.913220216962273e-07	1.130381501744979e-11	1e-05	1e-05
830.0.	4.1224222344258084e-11	4.9999999999999996e-06	9.711941627082416e-10	4.838604151455045e-08	4.507334896892279e-23	8.913222794871648e-07	1.13038181364448e-11	1e-05	1e-05
840.0.	4.122422234425519e-11	4.9999999999999996e-06	9.711941627081727e-10	4.8386052804481894e-08	4.5073348968919145e-23	8.913224972186877e-07	1.130382077076363e-11	1e-05	1e-05
850.0.	4.122422234425274e-11	4.9999999999999996e-06	9.71194162708115e-10	4.838606234001448e-08	4.50733489689161e-23	8.913226811158214e-07	1.1303822995722501e-11	1e-05	1e-05
860.0.	4.122422234425066e-11	4.9999999999999996e-06	9.711941627080662e-10	4.8386070393772445e-08	4.50733489689135e-23	8.913228364362535e-07	1.1303824874933759e-11	1e-05	1e-05
870.0.	4.122422234424891e-11	4.9999999999999996e-06	9.711941627080249e-10	4.838607719601641e-08	4.507334896891132e-23	8.913229676206595e-07	1.130382646212492e-11	1e-05	1e-05
880.0.	4.122422234424742e-11	4.9999999999999996e-06	9.711941627079901e-10	4.8386082941225354e-08	4.507334896890947e-23	8.913230784196599e-07	1.130382780267443e-11	1e-05	1e-05
890.0.	4.122422234424617e-11	4.9999999999999996e-06	9.711941627079606e-10	4.838608779365668e-08	4.50733489689079e-23	8.91323172001036e-07	1.130382893490905e-11	1e-05	1e-05
900.0.	4.122422234424512e-11	4.9999999999999996e-06	9.711941627079355e-10	4.838609189204382e-08	4.5073348968906585e-23	8.913232510403213e-07	1.1303829891199921e-11	1e-05	1e-05
910.0.	4.122422234424423e-11	4.9999999999999996e-06	9.711941627079147e-10	4.83860953535617e-08	4.507334896890547e-23	8.913233177972895e-07	1.130383069888789e-11	1e-05	1e-05
920.0.	4.122422234424347e-11	4.9999999999999996e-06	9.71194162707897e-10	4.838609827717662e-08	4.5073348968904534e-23	8.9132337418055e-07	1.130383138106509e-11	1e-05	1e-05
930.0.	4.122422234424283e-11	4.9999999999999996e-06	9.71194162707882e-10	4.8386100746476e-08	4.507334896890375e-23	8.913234218021267e-07	1.130383195723527e-11	1e-05	1e-05
940.0.	4.122422234424231e-11	4.9999999999999996e-06	9.711941627078694e-10	4.8386102832058384e-08	4.5073348968903076e-23	8.913234620235438e-07	1.130383244387144e-11	1e-05	1e-05
950.0.	4.122422234424186e-11	4.9999999999999996e-06	9.711941627078586e-10	4.838610459355149e-08	4.507334896890251e-23	8.9132349599475e-07	1.130383285488673e-11	1e-05	1e-05
960.0.	4.122422234424147e-11	4.9999999999999996e-06	9.711941627078497e-10	4.8386106081316885e-08	4.507334896890203e-23	8.913235246869943e-07	1.130383320203218e-11	1e-05	1e-05
970.0.	4.122422234424114e-11	4.9999999999999996e-06	9.711941627078419e-10	4.8386107337890494e-08	4.507334896890163e-23	8.913235489205963e-07	1.130383349523286e-11	1e-05	1e-05
980.0.	4.122422234424086e-11	4.9999999999999996e-06	9.711941627078357e-10	4.838610839919864e-08	4.507334896890128e-23	8.913235693884134e-07	1.130383374287157e-11	1e-05	1e-05
990.0.	4.122422234424065e-11	4.9999999999999996e-06	9.711941627078303e-10	4.838610929558466e-08	4.507334896890099e-23	8.913235866756312e-07	1.1303833952028419e-11	1e-05	1e-05
1000.0.	4.1224222344240435e-11	4.9999999999999996e-06	9.711941627078255e-10	4.8386110053088984e-08	4.507334896890075e-23	8.913236012844512e-07	1.130383412877953e-11	1e-05	1e-05
