time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	0.0718881703463	0.17200000000000001	9.99995987352	0.0	1.00002047766	0.0	0.0	0.0	0.16	4.55143591758	0.0	0.246	8.19196275198	2.34	50.0	0.0	0.0	1.0	2.65492801346	0.0	3.10622230584	8.92966391891	0.0	4.13791713892	4.828
15.0.	1.090691665088776	1.7030801642785351	9.30795263998421	0.6920072335357971	0.9995093409408791	0.00032298370317500005	3.580809019060581	0.080843787974163	0.079156212025836	4.532056280922507	0.019379636657495	3.335653908009336	7.711656829685769	2.617614109046052	49.01888223584332	0.6156639897195241	0.049777311675844	1.565868890485857	0.431362232741525	0.043721651186874	0.753917460832863	0.017834819648108003	0.000511136719122	28.009348399153996	3.296919835721461
30.0.	1.133748543626326	1.895258049315897	9.313777677481472	0.686182196038534	0.9994683857227801	0.00041731036062600004	6.62813157248716	0.093776280262698	0.066223719737301	4.52914678928256	0.022289128297443003	4.549749121180141	7.249432555591818	2.959957907973884	48.69763964108363	0.8758252461172301	0.127901088176121	1.747904945141697	0.503875225388491	0.06363586627522501	1.302136839313134	0.019394411398239	0.000552091937221	33.90353896046115	3.1047419506841
45.0.	1.117962462515506	2.017522596300896	9.340587090388102	0.6593727831319061	0.9994261458333901	0.000492867273822	9.12723077238241	0.10105450878513701	0.058945491214862006	4.527231248473241	0.024204669106758003	5.47980778511771	6.7892413939518885	3.3491322824019942	48.49020764945379	1.146945085278727	0.205259098811777	1.941665303719387	0.553048635623068	0.08394297492574901	1.878785058515747	0.020242806418022	0.000594331826611	37.22391850609989	2.982477403699101
60.0.	1.099919517748098	2.091679357221163	9.364510437559533	0.6354494359604711	0.9993912357077811	0.000558095736644	11.182832001187057	0.10503723784320401	0.054962762156795006	4.526029571047546	0.025406346532454	6.121810376495694	6.340476415251878	3.764337498864315	48.34195386462361	1.423619648071499	0.27946716850136405	2.144130581950199	0.5845900369446211	0.10184502842807201	2.379131995359695	0.02075331318298	0.00062924195222	39.572290563715484	2.908320642778834
75.0.	1.087364005439523	2.13867492395406	9.382699663667308	0.617260209852692	0.999362569588719	0.0006182842603350001	12.897689967932216	0.107397600433332	0.052602399566667006	4.525244600685516	0.026191316894485003	6.567550155848659	5.902647743875711	4.195042175989617	48.2319221487198	1.70364549438651	0.35070030026306204	2.352922298922569	0.6055255497692621	0.11666998894943902	2.786167299906282	0.021089296198419	0.000657908071281	41.348220766356015	2.861325076045937
90.0.	1.079108446898496	2.170098121099802	9.396222715233096	0.603737158286901	0.9993382834385721	0.0006757945522320001	14.345827666081119	0.108909061198347	0.051090938801652004	4.524706385833769	0.026729531746231	6.885959134799136	5.47385722500224	4.635729648311693	48.14856073388331	1.9859026114660001	0.41957854348162105	2.566300327625475	0.620048720668065	0.128680838574724	3.111623447371066	0.021322839000257002	0.0006821942214280001	42.71816564654235	2.829901878900195
105.0.	1.073564260232081	2.192069061199049	9.40640236662724	0.593557506892757	0.9993169616906651	0.000731718382147	15.579176130926278	0.109936463802972	0.050063536197027005	4.5243222586938945	0.027113658886106003	7.119879542166698	5.052453201362183	5.083228733757749	48.08451426995569	2.269722201689815	0.48665540379860306	2.783042315535483	0.6305054960112071	0.13835842210656701	3.371533312208328	0.021490895371448	0.000703515969335	43.78356449862925	2.807930938800949
120.0.	1.069665168631385	2.207966670191583	9.414221476271873	0.585738397248123	0.9992976734828951	0.000786597365637	16.635289551943597	0.110665926865344	0.049334073134655	4.5240397238429875	0.027396193737014	7.295624577335237	4.637181609650068	5.535561222747727	48.034785849306076	2.554665807090235	0.5523517405543701	3.002288912950507	0.6382492393861461	0.146162783757115	3.579976806844833	0.0216144528949	0.000722804177105	44.61652809139876	2.7920333298084152
135.0.	1.066751550409563	2.219764595231931	9.420349274445249	0.579610599074744	0.9992798260136151	0.0008407123634990001	17.542330999410826	0.11119985377561901	0.04880014622438	4.523827532210934	0.027608385369067002	7.4297560791011055	4.227104990724822	5.991408776153008	47.99585433454482	2.840427361404797	0.616977641761808	3.223423944965698	0.6440969306687131	0.15247696387224002	3.748165619745592	0.021706225214801003	0.0007406516463860001	45.2709036782665	2.780235404768066
