time	T	Tstar	Tstarstar	Ttot	V
0.0.	1000.0	0.0	0.0	1000.0	0.001
36.0.5.0	999.9961097810129	1.085279681054905e-05	1.32389025338812e-07	999.9961207661971	1.3075830965577092e-05
73.0.	999.9953846537584	1.3469214614665131e-05	1.643138160012467e-07	999.995398287285	1.6229073489740813e-05
109.0.5.0	999.9943431419103	1.671648878786125e-05	2.0392802597241617e-07	999.9943600623251	2.014171619507565e-05
146.0.	999.993003189623	2.0746618782376213e-05	2.530924802975102e-07	999.9930241893322	2.4997639146018583e-05
182.0.5.0	999.9913243664439	2.5748313981025934e-05	3.141092927470399e-07	999.9913504288655	3.102419717862909e-05
219.0.	999.9892355310527	3.195578698760644e-05	3.89835690729128e-07	999.9892678766734	3.8503604074426155e-05
255.0.5.0	999.9866413901678	3.9659688191768106e-05	4.83817406671571e-07	999.9866815336715	4.778606803435962e-05
292.0.	999.9834213395525	4.922071369439989e-05	6.0045469038805e-07	999.983471160719	5.9306197219463394e-05
328.0.5.0	999.9794249338198	6.108647566178996e-05	7.452081222167983e-07	999.9794867655021	7.360332780025942e-05
365.0.	999.9744652268539	7.581243311881898e-05	9.248539647451584e-07	999.9745419641397	9.134674498582738e-05
401.0.5.0	999.9683101649118	9.408785549584858e-05	1.1478009169716042e-06	999.9684054005671	0.00011336696882800002
438.0.	999.9606717980267	0.000116768025521	1.424482994055126e-06	999.9607899905343	0.000140694559064
474.0.5.0	999.9511928665116	0.00014491417474	1.767846755141959e-06	999.9513395485324	0.00017460823892
511.0.	999.9394301638036	0.00017984299905700001	2.193955424848024e-06	999.9396122007576	0.00021669456484600002
547.0.5.0	999.9248339196647	0.000223188038017	2.722737781157242e-06	999.9250598304399	0.00026892189540700005
584.0.	999.9067222664748	0.000276975738088	3.378916235678087e-06	999.907002621129	0.00033373205994200004
620.0.5.0	999.8842496338384	0.00034371967870800005	4.193156575660762e-06	999.8845975466736	0.00041415392226000004
657.0.	999.8563676535892	0.00042653724540300006	5.203491682183717e-06	999.8567993943263	0.000513944007364
693.0.5.0	999.8217768396865	0.0005292940164780001	6.457083546210153e-06	999.8223125907866	0.0006377605456540001
730.0.	999.7788669264759	0.0006567823214870001	8.012402482446577e-06	999.7795317211996	0.0007913787296920001
766.0.5.0	999.7256432959211	0.000814941867113	9.941920037775366e-06	999.726468179708	0.000981956717875
803.0.	999.6596363927429	0.001011132046479	1.2335433171634131e-05	999.6606598602224	0.001218364003266
839.0.5.0	999.5777904128031	0.001254467585864	1.530416229039828e-05	999.5790601845513	0.001511586238329
876.0.	999.4763268587207	0.0015562315642590001	1.8985794986456533e-05	999.4779020760801	0.0018752235014060001
912.0.5.0	999.3505778046538	0.0019303825720700001	2.355068097715984e-05	999.3525317379068	0.0023261023202390003
949.0.	999.1947829383054	0.002394175824642	2.9209421436291312e-05	999.1972063235511	0.0028850255009530003
985.0.5.0	999.0018437261126	0.0029689213185370004	3.6222136578589204e-05	999.0048488695671	0.003577687842293
1022.0.	998.7630275050315	0.003680905412128	4.4909736656979374e-05	998.7667533201795	0.0044357899158980005
1058.0.5.0	998.4676141504299	0.0045625051577670005	5.566755912767656e-05	998.4722323231462	0.005498385839186001
1095.0.	998.1024785320556	0.005653526684600001	6.89817612318308e-05	998.1082010405006	0.006813503631884
1131.0.5.0	997.6516037428082	0.007002798923279	8.544886068499704e-05	997.6586919905911	0.008440077156493
1168.0.	997.0955237847436	0.008670050428197	0.00010579877908100001	997.10429963395	0.010450224980092002
1204.0.5.0	996.4107010181084	0.010728087698903	0.00013092163555400001	996.4215600274421	0.012931901057969
1241.0.	995.5688545289946	0.013265274980925001	0.000161898323064	995.5822817022978	0.015991921073239
1277.0.5.0	994.5362722354532	0.016388283652318	0.00020003452325500001	994.5528605536277	0.019759331330079
1314.0.	993.2731637200881	0.020225028437007003	0.000246897210499	993.2936356457343	0.024389027604629
1350.0.5.0	991.733143799963	0.024927631499018003	0.00030435178308200003	991.7583757832435	0.030065441539525003
1387.0.	989.8629788640659	0.030675147941644002	0.00037459666283500004	989.8940286086686	0.037005984389167
1423.0.5.0	987.6027764996757	0.037675643991309	0.00046019047613800004	987.640912334141	0.045463767335422005
1460.0.	984.8868466205653	0.046167045598281005	0.0005640647990740001	984.9335777309607	0.055728906931255005
1496.0.5.0	981.6454948284246	0.056415986744345004	0.000689513100116	981.7026003282674	0.06812749117370201
1533.0.	977.8080030598059	0.06871372051442501	0.0008401443750980001	977.8775569246936	0.083017068286324
1569.0.5.0	973.3069784408841	0.083368076408459	0.001019788805592	973.3913663060964	0.100777401576624
