	median_intern	median_extern	failure	n_species	n_reactions	n_submodels	run_0	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16	run_17	run_18	run_19	run_20	run_21	run_22	run_23	run_24
li2014	0.008472	0.1988673210144043	False	3.0	11.0	1.0	0.008653000000000001	0.008472	0.008505	0.008532	0.007964	0.008754000000000001	0.008439	0.008436	0.008258	0.008428	0.00823	0.008294	0.008849	0.004661	0.008503	0.008435	0.008542000000000001	0.008221	0.008591	0.009032	0.008694	0.022183	0.008464	0.008668	0.007977
liu2011	0.036451	0.2976188659667969	False	42.0	45.0	1.0	0.035675	0.03665	0.035753	0.037802	0.035081	0.038563	0.039609	0.037079	0.038066	0.038871	0.039199	0.034766000000000005	0.034788	0.034794	0.034018	0.033277	0.027988	0.034646	0.038857	0.037046	0.036451	0.036312	0.037888	0.031353	0.036481
lou2009	0.000948	0.20064330101013186	False	6.0	12.0	1.0	0.001034	0.000989	0.001022	0.000957	0.000936	0.000948	0.000939	0.001167	0.000981	0.001218	0.0008900000000000002	0.000925	0.000981	0.000918	0.001064	0.001274	0.00093	0.0008849999999999998	0.000898	0.000898	0.001106	0.0008960000000000002	0.0008900000000000002	0.001128	0.000886
ma2002	0.001206	0.19031977653503415	False	7.0	14.0	1.0	0.001357	0.001206	0.002258	0.001187	0.001531	0.0016120000000000002	0.001167	0.001433	0.001194	0.0019920000000000003	0.00128	0.0004	0.001166	0.001161	0.001204	0.00125	0.001181	0.001294	0.001214	0.001336	0.001194	0.001225	0.0012	0.001164	0.001175
marhl2000	0.0042450000000000005	0.18723201751708984	False	5.0	7.0	1.0	0.004128	0.004322	0.004188	0.004275999999999999	0.004227000000000001	0.003913000000000001	0.004389	0.004265	0.003872	0.003873	0.0042450000000000005	0.003794	0.0042710000000000005	0.003993	0.003786	0.004291	0.003949	0.004265	0.004434	0.004388	0.004264	0.003862	0.004422	0.004723	0.003929
martins2003	0.001631	0.2008647918701172	False	14.0	16.0	1.0	0.001915	0.0008359999999999999	0.001578	0.001584	0.001661	0.001578	0.001625	0.00159	0.0016010000000000002	0.0016760000000000002	0.0016879999999999998	0.001994	0.001693	0.001631	0.001977	0.001911	0.001913	0.002089	0.001765	0.001527	0.001533	0.001525	0.00176	0.001531	0.001522
marwan2003	0.001367	0.19046497344970706	False	12.0	12.0	1.0	0.001428	0.00134	0.001372	0.00137	0.001369	0.001407	0.00127	0.002317	0.001367	0.001392	0.001245	0.00105	0.001341	0.00137	0.001342	0.001374	0.001392	0.001285	0.001254	0.001204	0.001252	0.001029	0.001423	0.001419	0.001268
mcauley2012	0.006251	0.22669577598571775	False	34.0	35.0	1.0	0.006006	0.0069310000000000005	0.007268000000000002	0.007036	0.006742000000000001	0.006422	0.006128	0.005882	0.00627	0.006314999999999999	0.00715	0.0063	0.006893000000000001	0.005677000000000001	0.005887	0.004247	0.005801	0.005697	0.005611	0.006442	0.005912	0.005726	0.005961	0.006251	0.006354
mellor2012	0.0011246	0.19145259857177732	False	10.0	5.0	5.0	0.0011186	0.0011817999999999998	0.0011238	0.0012502000000000001	0.0009592	0.0010527999999999998	0.0011274000000000002	0.0011007999999999999	0.0014918000000000002	0.0009484	0.0011534000000000002	0.0012246	0.0011606	0.0011538	0.0011635999999999999	0.0011098000000000002	0.0008846000000000001	0.0011246	0.0011515999999999998	0.0011296	0.0008504000000000001	0.0011384000000000001	0.0010765999999999998	0.0010522	0.0011164000000000002
miao2008	0.000913	0.18716716766357425	False	4.0	9.0	1.0	0.0008439999999999999	0.000905	0.000901	0.000925	0.000928	0.0008460000000000001	0.0008699999999999999	0.000973	0.0008619999999999999	0.0008410000000000001	0.000956	0.000983	0.000987	0.001041	0.0008289999999999999	0.000957	0.000897	0.000945	0.000849	0.000955	0.001284	0.000913	0.000935	0.000828	0.0005809999999999999
