model_name	median_intern	median_extern	failure	n_species	n_reactions	n_submodels	run_0	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16	run_17	run_18	run_19	run_20	run_21	run_22	run_23	run_24
aguda1999			True	12	27	1	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]"																								
alexander2010	0.0009633333333333334	0.2153933842976888	False	5	12	3	0.0008990000000000001	0.0010176666666666667	0.0008969999999999999	0.0010966666666666666	0.0012186666666666667	0.0010566666666666667	0.0009633333333333334	0.000935	0.0009376666666666666	0.001538	0.0009026666666666667	0.0011403333333333333	0.001103	0.001003	0.0009660000000000002	0.001236	0.000931	0.0008946666666666665	0.0009199999999999999	0.0009486666666666667	0.0009623333333333334	0.0009766666666666665	0.0010593333333333334	0.0007673333333333334	0.0008873333333333334
alsheihk2011			True	5	10	10	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]"																								
bachar2004	0.0008210000000000001	0.20252132415771484	False	4	8	1	0.000837	0.000831	0.000811	0.0008150000000000001	0.000817	0.0008380000000000001	0.0008210000000000001	0.00081	0.0008	0.000877	0.001661	0.000825	0.0008269999999999999	0.0008380000000000001	0.000808	0.000833	0.00082	0.000837	0.000736	0.000819	0.00082	0.000816	0.000805	0.000822	0.0008269999999999999
bachmann2011	0.004668	0.26151132583618164	False	26	36	2	0.003982	0.004732	0.0047255	0.0046275	0.0046905	0.004565	0.004711	0.0047195	0.0046064999999999995	0.00468	0.0045955	0.004617	0.004732	0.0041035	0.0037229999999999997	0.0045125	0.004600999999999999	0.004586000000000001	0.0049075	0.0047645	0.004679	0.0047575000000000004	0.004804	0.0046505	0.004668
bai2003	0.003647	0.21786022186279297	False	6	12	1	0.0036	0.0036829999999999996	0.003647	0.002589	0.0036270000000000004	0.0037619999999999997	0.0037270000000000003	0.0034939999999999997	0.00364	0.0035670000000000003	0.003532	0.003568	0.0036450000000000002	0.0035770000000000003	0.003657	0.003804	0.0038060000000000004	0.0039109999999999995	0.003677	0.0035600000000000002	0.003728	0.003614	0.003785	0.003691	0.003782
balagadde2008	0.0011375	0.21598827838897705	False	7	8	2	0.0010975	0.0011065	0.0011315000000000001	0.001057	0.001131	0.001116	0.0005775	0.001162	0.001139	0.0011480000000000001	0.0011324999999999998	0.00118	0.0011485	0.0012265000000000002	0.0012875	0.0011675000000000001	0.0011725	0.0011365	0.0011114999999999999	0.000592	0.0018904999999999998	0.0011435	0.001273	0.0011375	0.001116
band2012a	0.0004905	0.23813319206237793	False	1	3	2	0.000994	0.0005695	0.0005315000000000001	0.0006095	0.00052	0.0004905	0.00045850000000000003	0.0005835	0.0004865	0.00047500000000000005	0.0005204999999999999	0.0004825	0.000464	0.0003385	0.0004965	0.00046350000000000004	0.000565	0.0008939999999999999	0.000501	0.0005124999999999999	0.000432	0.00042600000000000005	0.0004825	0.00043249999999999994	0.00043999999999999996
becker2010	0.0009465	0.22504448890686035	False	6	8	2	0.000913	0.0009135	0.000928	0.0009025	0.0008944999999999999	0.0009165	0.0010344999999999998	0.0009285000000000001	0.0009355000000000001	0.0009220000000000001	0.000949	0.0009580000000000001	0.0010444999999999999	0.0009735	0.0009714999999999999	0.0009465	0.0009655	0.0008909999999999999	0.000938	0.0009655	0.0009875	0.0012315	0.0009440000000000001	0.0010385	0.0009645000000000001
beuke2017	0.0138837	0.30238196849822996	False	33	57	30	0.014221366666666669	0.0136841	0.013797533333333332	0.013870699999999998	0.014114299999999995	0.014072066666666666	0.013644133333333336	0.015219533333333328	0.01356706666666667	0.0135061	0.013696166666666669	0.01346813333333333	0.013298466666666666	0.013979833333333332	0.013740100000000002	0.014144799999999997	0.013933533333333336	0.014311066666666669	0.0138837	0.0138354	0.013711633333333332	0.014035100000000002	0.014361366666666665	0.014000633333333335	0.014240066666666667
bier2000	0.001286	0.19451093673706055	False	4	6	1	0.001286	0.0012439999999999999	0.0013109999999999999	0.001309	0.001282	0.00131	0.001342	0.001312	0.001288	0.001242	0.0012259999999999999	0.001307	0.001366	0.001256	0.0012779999999999998	0.002344	0.0013449999999999998	0.001389	0.0013130000000000001	0.001257	0.001281	0.000712	0.0012720000000000001	0.00124	0.001243
bindschadler2001	0.0014060000000000001	0.19943499565124512	False	4	11	1	0.001375	0.001411	0.0013859999999999999	0.001372	0.000605	0.001399	0.001425	0.00148	0.001463	0.001443	0.0014199999999999998	0.001368	0.001394	0.0013650000000000001	0.001376	0.000544	0.001425	0.0014060000000000001	0.001441	0.0014449999999999999	0.001371	0.0014449999999999999	0.001088	0.001415	0.001452
borghans1997	0.0098735	0.2123703956604004	False	4	8	2	0.010333499999999999	0.0098735	0.009577	0.0103665	0.010016	0.009986	0.010081000000000001	0.009638500000000001	0.0074845	0.009398	0.0096155	0.0098265	0.009454	0.009517000000000001	0.009710499999999999	0.011768	0.009571	0.0098565	0.015364500000000001	0.01624	0.0111155	0.0097235	0.011501	0.011255999999999999	0.0109125
borghans1997a	0.003293	0.19149184226989746	False	5	7	1	0.004437	0.003355	0.0014140000000000001	0.0033229999999999996	0.003275	0.003293	0.003286	0.003517	0.003288	0.003331	0.003472	0.003386	0.003276	0.0034969999999999997	0.003276	0.003259	0.0032689999999999998	0.0032549999999999996	0.00328	0.0032479999999999996	0.0033200000000000005	0.0033200000000000005	0.002939	0.0033280000000000002	0.003331
brands2002	0.0009019999999999999	0.19098448753356934	False	11	11	1	0.0009689999999999999	0.0008939999999999999	0.000891	0.0009019999999999999	0.000909	0.000889	0.0008880000000000001	0.000918	0.000475	0.000981	0.0009050000000000001	0.0009	0.001328	0.000488	0.000916	0.000907	0.000889	0.0008869999999999999	0.000924	0.0008880000000000001	0.000917	0.00024900000000000004	0.00088	0.0017329999999999997	0.001434
bucher2011	0.003077	0.22401785850524902	False	18	29	1	0.001816	0.003081	0.003026	0.003053	0.003097	0.003154	0.003077	0.0032340000000000003	0.003074	0.003116	0.003201	0.003065	0.0030280000000000003	0.0037770000000000004	0.003896	0.003947	0.002617	0.003072	0.0030440000000000003	0.003116	0.003065	0.003016	0.0030280000000000003	0.003454	0.0030789999999999997
bungay2003	0.045194	0.3753598928451538	False	74	66	2	0.0407105	0.04202	0.050519999999999995	0.049502	0.041261	0.0446975	0.0453235	0.043818499999999996	0.0444325	0.04776949999999999	0.044437500000000005	0.045649499999999996	0.046046500000000004	0.046857	0.049111	0.0424605	0.052395	0.042292	0.04511950000000001	0.045732499999999995	0.044402	0.0437595	0.045799	0.04527	0.045194
bungay2006	0.011784999999999999	0.3240199089050293	False	54	45	1	0.011267000000000001	0.011601	0.011649	0.011983	0.011512	0.022638	0.011437000000000001	0.012633	0.014009	0.010869	0.013163	0.012849000000000001	0.011715999999999999	0.011541	0.011658	0.011784999999999999	0.012077	0.011590000000000001	0.012142	0.012515	0.012454999999999999	0.011197	0.012754999999999999	0.011248000000000001	0.012397
bungay2006a	0.052601999999999996	0.41440510749816895	False	78	69	1	0.053974	0.052736	0.050508	0.051830999999999995	0.047991000000000006	0.055884	0.060144	0.061819000000000006	0.049908	0.048126999999999996	0.043920999999999995	0.046388	0.040976	0.052601999999999996	0.055982000000000004	0.055122000000000004	0.052652	0.054354999999999994	0.049397	0.055288	0.058303999999999995	0.057745000000000005	0.046827	0.051414999999999995	0.050713
butenas2004	0.011333	0.27895665168762207	False	34	33	1	0.011342	0.010990999999999999	0.010776	0.010985	0.011183	0.011384	0.013413	0.011544	0.011264	0.01178	0.010824	0.015006	0.010997	0.011295999999999999	0.010834	0.012039	0.012698000000000001	0.011972	0.011295	0.011476	0.011915	0.011312000000000001	0.0096	0.011333	0.011358
chance1943	0.0007105	0.22572863101959229	False	4	2	2	0.0007080000000000001	0.000675	0.000812	0.0007245	0.000717	0.0007049999999999999	0.0007310000000000001	0.000683	0.0007105	0.0009209999999999999	0.0007955	0.0006724999999999999	0.000994	0.0007045	0.0006645	0.000822	0.000673	0.000657	0.0006765	0.000699	0.000666	0.0007624999999999999	0.0007455	0.0008455	0.0008190000000000001
curto1998	0.004633	0.2794363498687744	False	18	37	1	0.004776	0.004279	0.004697	0.004734	0.004656	0.004218	0.0015019999999999999	0.004573	0.004554	0.004381	0.0042	0.0041	0.0047	0.004765999999999999	0.004052	0.004644	0.0041990000000000005	0.004785	0.004727	0.004793	0.0049770000000000005	0.004606	0.004633	0.003026	0.00469
deback2012	0.001024	0.23244857788085938	False	4	8	1	0.001152	0.0010429999999999999	0.00106	0.0011480000000000001	0.000992	0.001041	0.000975	1.8e-05	0.001016	0.0009429999999999999	0.001263	0.000995	0.001005	0.001024	0.0009199999999999999	0.001029	0.0010949999999999998	0.0010960000000000002	0.0009660000000000001	0.000997	0.001023	0.001056	0.001037	0.0	0.001039
delcontezerail2008	0.0011220000000000002	0.23421525955200195	False	4	10	1	0.000917	0.001176	0.001119	0.001157	0.001048	0.00164	0.001188	0.0013570000000000001	0.00117	0.000985	0.0010890000000000001	0.0007070000000000001	0.001093	0.001112	0.0017640000000000002	0.001152	0.001121	0.001065	0.0011220000000000002	0.001775	0.001149	0.001109	0.001116	0.001196	0.001185
dupont1992	0.0018170000000000003	0.23841404914855957	False	4	7	1	0.001954	0.0017010000000000003	0.001715	0.001819	0.002301	0.001999	0.001838	0.0018170000000000003	1.7e-05	0.001766	0.002141	0.0018	0.0	0.002061	0.0018170000000000003	0.002106	0.0025210000000000002	0.0017510000000000002	0.002031	0.0017739999999999998	0.001418	0.0028640000000000002	0.001761	0.00049	0.001893
elowitz2000	0.003139	0.24351882934570312	False	6	12	1	0.00317	0.0033659999999999996	0.0032600000000000003	0.003179	0.0030789999999999997	0.003143	0.0033020000000000002	0.003097	0.003145	0.003968	0.00303	0.003017	0.003069	0.003009	0.003075	0.002948	0.00201	0.0029809999999999997	0.0032670000000000004	0.00329	0.003196	0.003139	0.00315	0.0030629999999999998	0.0013859999999999999
essunger1994	0.0018559999999999998	0.2429506778717041	False	7	21	1	0.0017989999999999998	0.0018170000000000003	0.0019089999999999999	0.0018559999999999998	0.0018850000000000002	0.001994	0.001998	0.0017879999999999999	0.001771	0.001772	0.0016820000000000001	0.001829	0.00195	0.0018850000000000002	0.002029	0.0017170000000000002	0.001972	0.001842	0.0018579999999999998	0.0017170000000000002	0.0017050000000000001	0.001778	0.0019219999999999999	0.0020210000000000002	0.002315
essunger1994a	0.0022196	0.24484629631042482	False	7	17	5	0.0022316	0.0023728000000000004	0.0026684	0.0022916	0.0020708000000000002	0.0022988	0.0019212	0.0022256	0.0018634	0.0021617999999999997	0.002341	0.0020748000000000003	0.0024602	0.0022196	0.0018160000000000003	0.0022134	0.0018156	0.0023588000000000003	0.0024888	0.0021564	0.0022149999999999995	0.0020268	0.0023544000000000004	0.0023628	0.0022002000000000002
eungdamrong2007	0.05625700000000001	0.3499281406402588	False	46	43	1	0.055642	0.048414	0.048906	0.049442	0.053470000000000004	0.060195000000000005	0.057352	0.059586	0.052226999999999996	0.056802	0.060886	0.05625700000000001	0.057973000000000004	0.061878999999999997	0.055712	0.062051999999999996	0.056823	0.055136000000000004	0.052552	0.052155999999999994	0.056929999999999994	0.060635	0.059616999999999996	0.055326	0.053662
ferreira2003	0.000959	0.2374575138092041	False	6	12	1	0.001019	0.001209	0.001322	0.00093	0.0062439999999999996	0.000878	0.000883	0.000915	0.000959	0.000944	0.001015	0.000933	0.000917	0.001183	0.000926	0.001552	0.0009519999999999999	0.0009660000000000001	0.001167	0.001073	0.0009019999999999999	0.000947	0.001188	0.001204	0.000343
fisher2006	0.002077	0.24785614013671875	False	14	17	1	0.002221	0.002003	0.002006	0.002061	0.002131	0.002121	0.002336	0.002113	0.002188	0.002137	0.002094	0.0022660000000000002	0.002066	3.2e-05	0.001916	0.0019690000000000003	0.002012	0.002023	0.0019920000000000003	0.002077	0.004013	0.002943	0.002226	0.002008	0.00199
fraser2002	0.0017059999999999998	0.23977434635162354	False	6	15	2	0.0016025	0.0016430000000000001	0.0016105	0.0016505	0.0016985	0.0016885	0.0017655000000000001	0.0018595	0.0007855000000000001	0.0017109999999999998	0.001787	0.0017059999999999998	0.0018844999999999999	0.0017515	0.0016735	0.0018475000000000002	0.0014305	0.001689	0.001778	0.001657	0.001718	0.0016915	0.0019234999999999999	0.001752	0.0017339999999999999
