time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	4.526586937354721	6118.247402896107	2216609.6821547635	1561.5538626601103
3.0.2.0	4.012834354563708	9624.512753878376	3710149.408517838	2870.3255700755735
4.0.800000000000001.0	4.024199310720662	11715.929525699488	4593192.447263653	3887.2048278439374
6.0.4.0	4.258117218209637	13309.135479164876	5245669.35487453	4796.18482096562
8.0.	4.594648770537028	14765.525088280809	5831073.431665575	5702.0919992963145
9.0.600000000000001.0	4.9863131175846505	16227.4594104738	6413828.145690909	6663.196862388069
11.0.200000000000001.0	5.413629643950088	17750.339306963728	7019085.145125745	7715.209554635505
12.0.8.0	5.867541631965217	19354.087107841595	7656061.921059643	8882.694622159985
14.0.4.0	6.342460538295933	21043.00693244094	8327061.332314564	10183.807092309493
16.0.	6.8335073975644995	22813.292808776318	9030893.669226428	11631.893481978032
17.0.6.0	7.335439145069117	24655.77035521619	9764133.129098427	13235.609131265375
19.0.200000000000003.0	7.8422895256294325	26556.883068617568	10521568.557452362	14998.320738050144
20.0.8.0	8.347356082915145	28499.146581354107	11296398.57752896	16917.214002195768
22.0.400000000000002.0	8.843392609177881	30461.58979837254	12080402.892189972	18982.408364978615
24.0.	9.322943639823167	32420.409615902234	12864190.97543141	21176.346273857973
25.0.6.0	9.778773514371116	34349.92276296975	13637567.340149708	23473.699277588745
27.0.200000000000003.0	10.204335746497543	36223.80457165304	14390013.549150957	25841.97837850597
28.0.8.0	10.594218506926062	38016.52889651157	15111256.18523052	28242.935487341085
30.0.400000000000002.0	10.94450030154393	39704.864492112014	15791865.466481214	30634.70307894717
32.0.	11.252961901407012	41269.250762373544	16423814.70404788	32974.46782182382
33.0.6.0	11.519125617642278	42694.87946370988	17000930.357703246	35221.35133245664
35.0.2.0	11.744124966427421	43972.350188430486	17519177.152696826	37339.11496288137
36.0.800000000000004.0	11.930437593336366	45097.83675874814	17976749.319116548	39298.33452258084
38.0.400000000000006.0	12.081533936463165	46072.780966074446	18373970.608089585	41077.796368215146
40.0.	12.20149956425878	46903.19929795169	18713034.25294758	42665.01576651961
41.0.6.0	12.294681587274246	47598.73236606968	18997633.10238021	44055.929206768
43.0.2.0	12.365393855799352	48171.57997521127	19232536.976207927	45253.92807204098
44.0.800000000000004.0	12.417697735646184	48635.45076496689	19423169.905097075	46268.46261660096
46.0.400000000000006.0	12.45525981526069	49004.62368157313	19575227.924247712	47113.4524234854
48.0.	12.481277378406453	49293.180268720935	19694362.92724524	47805.705928593896
49.0.6.0	12.498457179209405	49514.430974574476	19785943.521934863	48363.49607826199
51.0.2.0	12.50903193736029	49680.53078922385	19854892.22841669	48805.379045831185
52.0.800000000000004.0	12.51480050963445	49802.2613976274	19905590.622467607	49149.290138135366
54.0.400000000000006.0	12.517180493319053	49888.94792970343	19941839.969808802	49411.91150586057
56.0.	12.517265077970734	49948.47624734314	19966863.7376271	49608.281129841824
57.0.6.0	12.515878709497214	49987.37913057511	19983339.153376576	49751.599914083934
59.0.2.0	12.513628321950963	50010.964593708915	19993446.839168187	49853.19041904783
60.0.800000000000004.0	12.510948494448261	50023.46529716591	19998929.822688207	49922.56354421288
62.0.400000000000006.0	12.50813997697515	50028.193603683874	20001155.478684667	49967.55555786822
64.0.	12.505401711074915	50027.691705671255	20001175.94672851	49994.50524775613
65.0.60000000000001.0	12.502856860504629	50023.870202537015	19999784.19869127	50008.4483113582
67.0.2.0	12.500573556264673	50018.13151956936	19997564.179528907	50013.31267649466
68.0.8.0	12.498581121263053	50011.47673214444	19994934.35285545	50012.1039103043
70.0.4.0	12.49688252325797	50004.595836303546	19992184.605208896	50007.0741713761
72.0.	12.495463745263418	49997.942441888226	19989506.861109458	49999.871370924826
73.0.60000000000001.0	12.494300682812636	49991.79439663838	19987019.99154808	49991.66749161637
75.0.2.0	12.493364091353607	49986.302095570405	19984789.709249027	49983.26654585141
76.0.80000000000001.0	12.492623022867885	49981.52628192148	19982844.173045326	49975.193610806935
78.0.4.0	12.492047113088766	49977.46707397248	19981186.000034366	49967.76690579584
80.0.	12.491608011612835	49974.08580726181	19979801.329151236	49961.15510262033
81.0.60000000000001.0	12.491280187461363	49971.32110008946	19978666.508493267	49955.42207939601
83.0.2.0	12.491041292106166	49969.10035621076	19977752.901434317	49950.56121713317
84.0.80000000000001.0	12.490872219998753	49967.34772803655	19977030.22998235	49946.52115078962
86.0.4.0	12.490756972359076	49965.98938606305	19976468.80205818	49943.2246613364
88.0.	12.49068240242447	49964.95678084041	19976040.904671513	49940.58215912311
89.0.60000000000001.0	12.490637898559852	49964.18844474308	19975721.58834631	49938.5009787763
91.0.2.0	12.490615044666106	49963.63076234979	19975489.0197724	49936.8914925199
92.0.80000000000001.0	12.490607284353757	49963.2380393638	19975324.539179347	49935.67085784851
94.0.4.0	12.490609605626076	49962.97211897952	19975212.52568055	49934.76504924511
96.0.	12.490618255690222	49962.80172936068	19975140.147004362	49934.1096822187
97.0.60000000000001.0	12.490630490434508	49962.70169425969	19975097.0487462	49933.65002004509
99.0.2.0	12.490644359611089	49962.65209865272	19975075.02168639	49933.3404571129
100.0.80000000000001.0	12.490658526466213	49962.637470619324	19975067.67302633	49933.14369519358
102.0.4.0	12.490672119155988	49962.64601777869	19975070.11787807	49933.02976764442
104.0.	12.49068461052952	49962.668939863644	19975078.70037084	49932.97501895787
105.0.60000000000001.0	12.490695722560917	49962.69982713769	19975090.748770125	49932.961110816956
107.0.2.0	12.49070535171967	49962.7341462369	19975104.365587812	49932.97409877362
108.0.80000000000001.0	12.490713511773977	49962.76880973062	19975118.251421727	49933.00360397841
110.0.4.0	12.490720290842054	49962.80182251113	19975131.55989642	49933.042090468036
112.0.	12.490725819883297	49962.83199645457	19975143.780344393	49933.08424903998
113.0.60000000000001.0	12.490730250214016	49962.858724190424	19975154.64457892	49933.12648261909
115.0.2.0	12.490733738014393	49962.88180292286	19975164.05412229	49933.166484377
116.0.80000000000001.0	12.490736434147536	49962.9012998048	19975172.024457432	49933.20289800336
