time	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
0.0.	0	0.0	300.0	3010000.0	3010000.0	0.0	94.0	0.0	120.4	0.0	0.602	0.0	0.0	2167.2	0.0	216.72	0.0	108.36	0.0	240.8	301	0.0	60.2	120.4	-7.854549544476363e-90	60.2	120.4	120.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6020.0
7.0.	0	15.522317061381964	284.47768293861714	3010145.1393465335	3009842.0631551235	0.5888342622903681	0.011532800086114	1.537475372734397e-06	120.39999846252474	0.006624521259730001	0.5953754787402771	0.01797253321292	0.075223138126217	2145.270207889202	5.355178996908965e-09	216.7199999946448	7.235729209409901e-08	108.35999992764282	2.215979646646105e-06	240.7999977840205	301	5.638530879751256e-07	60.2	120.4	6.874712420721126e-08	60.2	120.399999931253	120.33663877833713	3.191034562355798	1.3259781007832211e-05	2.860306746669091e-06	12.734116437525948	0.06334453772215701	93.07183087363936	0.32777387405748204	2.8189926911535333e-05	5851.8806607122715
14.0.	0	31.1771890829608	268.8228109170384	3010475.6346100904	3009501.535438275	0.5888301901245151	0.011543663115031001	0.00020279344007000002	120.39979720656007	0.018114697705597	0.58388530229441	0.057161232125054	0.14958381556962802	2142.025791176712	2.1955753973625337e-06	216.71999780442457	1.8982782850550873e-05	108.35998101721722	0.000272206946355	240.79972779305382	301	3.696619721105675e-05	60.2	120.4	8.704304236829331e-06	60.2	120.39999129569587	120.19110308660531	6.424068166581244	9.406503690950425e-05	5.0513111706213075e-05	22.6207487192923	0.208715369048999	93.07129960489658	0.328268610832392	5.793103171145035e-05	5851.880672935824
21.0.	0	46.60981747940785	253.39018252059145	3010986.1739451922	3008980.801211298	0.5888260609501911	0.011554448090179002	0.0029335329326570002	120.39706646706749	0.029937683093716003	0.5720623169062911	0.100657230264812	0.231864187866367	2138.813598220132	6.150081670159718e-05	216.71993849918334	0.000425606265791	108.35957439373428	0.0036548004951400003	240.7963451995049	301	0.000340145845043	60.2	120.4	0.00012051081840400002	60.2	120.3998794891817	119.96436902736765	9.62454723091903	0.000253515892304	0.00019696824648600002	32.587544636393645	0.434840342648655	93.07075826834466	0.328759869100257	0.00010135351492100001	5851.880684916266
28.0.	0	61.79470508157407	238.2052949184252	3011674.056650685	3008282.582106256	0.588821895991535	0.011565098298584	0.016693215464153	120.38330678453599	0.041286521894496005	0.5607134781055111	0.13594783406740102	0.323207338227444	2135.6500975034983	0.00055105632889	216.71944894367113	0.0033385762192840005	108.35666142378076	0.019295579148358003	240.7807044208516	301	0.0013966119260910002	60.2	120.4	0.000655466416081	60.2	120.39934453358401	119.6564849614312	12.776809666715163	0.00047530973318000004	0.00043508272051600005	42.612192698582845	0.741208034189146	93.07020964348773	0.329245079296806	0.000158282925577	5851.880696589715
35.0.	0	76.7025512845268	223.2974487154724	3012536.27327807	3007409.916911907	0.588817707978961	0.011575588635887	0.058569515061231	120.34143048493891	0.052036169580749005	0.549963830419257	0.16062415104585	0.42494140977306205	2132.5422295433164	0.002685675186156	216.71731432481386	0.014948233558987	108.34505176644106	0.063080998473794	240.7369190015261	301	0.003851740851349	60.2	120.4	0.002201462188014	60.2	120.3977985378121	119.26788369534826	15.874039648143524	0.000753333397205	0.0007539145198410001	52.66387732246526	1.126757315883447	93.06965548683917	0.32972310922970105	0.00022810731656800002	5851.8807079338985
42.0.	0	91.29967457167585	208.70032542832337	3013569.4609245504	3006366.20895801	0.588813503323633	0.011585912656482001	0.15507304818543502	120.24492695181472	0.062197326785834006	0.5398026732141731	0.178418183512975	0.53860314092035	2129.4914617095783	0.009103882785569001	216.7108961172144	0.047869353294838005	108.31213064670521	0.156667837985412	240.64333216201445	301	0.008493517833259	60.2	120.4	0.005597544533368	60.2	120.39440245546675	118.79945828466451	18.914758911982663	0.001086079429411	0.001154365731559	62.700700350807935	1.589807752341351	93.06909675497037	0.330193664300554	0.00031016474927000003	5851.880718948753
49.0.	0	105.54740288321898	194.45259711678028	3014769.8515688735	3005155.280409924	0.5888092884417351	0.011596063471177	0.34275725819825403	120.0572427418019	0.07180431854979201	0.530195681450214	0.19364272637576702	0.6659575835528021	2126.4994503745365	0.024401717317041	216.695598282683	0.12325626698052701	108.23674373301954	0.327096977381789	240.47290302261806	301	0.016255067205855	60.2	120.4	0.011925852019462	60.2	120.38807414798066	118.252653369625	21.897276568022573	0.0014719862184830001	0.001639305314997	72.66715876259104	2.127980271635773	93.06853440603737	0.330656421292559	0.00040382075749500004	5851.880729633433
56.0.	0	119.40147777864489	180.59852222135441	3016133.2131574173	3003781.433608937	0.58880507264307	0.011606025472960002	0.668414792684578	119.73158520731556	0.08088680464113501	0.521113195358871	0.208932304648367	0.809007893315635	2123.5704092781466	0.055600275888273	216.66439972411172	0.27261129064176903	108.08738870935828	0.6063940877139471	240.1936059122859	301	0.028198063188837	60.2	120.4	0.022501076877446003	60.2	120.37749892312272	117.6295692889268	24.817348949051837	0.001908896694341	0.0022112539369150003	82.49187733189139	2.738112497253201	93.06796976818288	0.33111065791743205	0.000508475784007	5851.880739976597
63.0.	0	132.81155659651455	167.1884434034847	3017654.783573242	3002249.5188535666	0.5888008680737971	0.011615774629935	1.188530268497922	119.2114697315022	0.08946514939489801	0.5125348506051081	0.22549310999964503	0.969985136096503	2120.710969354441	0.11250879938440901	216.60749120061553	0.5390846452750311	107.820915354725	1.030821980385592	239.76917801961415	301	0.045484420617957	60.2	120.4	0.038847916902725	60.2	120.36115208309741	116.93307316339913	27.668324416004165	0.002394020850678	0.002872203415425	92.08605465683124	3.416176191716936	93.06740453275081	0.331555268621659	0.00062355592414	5851.880749956856
70.0.	0	145.72095366511056	154.2790463348887	3019329.198808185	3000565.006736286	0.588796689001256	0.011625280654848	1.967766490509443	118.4322335094907	0.097552433712631	0.5044475662873761	0.243859836985188	1.151302593398841	2117.9295193659614	0.207922033948042	216.51207796605195	0.9779743388725991	107.38202566112743	1.639720767798213	239.16027923220156	301	0.069337408665867	60.2	120.4	0.062664182532254	60.2	120.33733581746792	116.16690718473986	30.441800729693522	0.0029239044308170003	0.003623613695962	101.34317934672393	4.157207888467625	93.06684066418526	0.331988863098924	0.0007485030600780001	5851.880759545369
77.0.	0	158.0668380208872	141.93316197911207	3021150.4186351527	2998734.061082741	0.588792551406166	0.011634508272609001	3.076271441080756	117.32372855891936	0.10515670127161901	0.49684329872838806	0.26434014061744004	1.355452530683276	2115.2358251443793	0.35757477542118105	216.36242522457886	1.656066717254484	106.70393328274557	2.473902587390131	238.32609741260964	301	0.10099181604254501	60.2	120.4	0.09576814698975601	60.2	120.3042318530104	115.33578009114025	33.12800357420655	0.003494408292802	0.0044664611334710004	110.14065940960444	4.955267223391046	93.06628034933017	0.33240982327375	0.000882767717673	5851.880768707408
