time	AcCoA	AcP	Acs	HOAc	LacI	OAc	Pta
0.0.	0.001	0.1	0.0	0.0	0.0	0.0	0.0
5.0.	7.977422619567353e-05	1.4389546892540621	0.07003277292587	2.497148126783486e-05	0.003501638646293	1.149420893128506	5.18466402035464
10.0.	0.000158317550798	2.814403147764092	0.443195033409905	9.409117813693191e-05	0.022159751670495	2.26828382467049	3.9802248790587362
15.0.	0.000391465953255	4.38230858191988	1.336028967399976	0.000189387880533	0.066801448369998	3.1872302766816762	2.954892182403295
20.0.	0.0009556018383430001	6.197440955802665	2.893789813742995	0.00029380774972300003	0.144689490687149	3.8396312494337472	2.189949784408916
25.0.	0.0021446198834460003	8.254980685858504	5.120690649006228	0.00039282748162700005	0.25603453245031105	4.206681688124403	1.6225874466504422
30.0.	0.0044120977260090006	10.469585309166744	7.842197942945545	0.00047629587935000005	0.392109897147277	4.331515549085253	1.202127397309143
35.0.	0.008494808025513001	12.693051179458283	10.773182611156479	0.0005394999717150001	0.538659130557824	4.290928675576397	0.8905981880589381
40.0.	0.015783781027655	14.74953165148445	13.638328744162282	0.0005819384795590001	0.681916437208114	4.137963717096184	0.659794552698946
45.0.	0.029419563724159003	16.43279191421853	16.240681255346008	0.0006039604747130001	0.8120340627672991	3.848490590412212	0.48880323583836305
50.0.	0.057965129558341	17.40722635782124	18.453910823815836	0.0006018907271630001	0.9226955411907911	3.256190520920888	0.36212575218637405
55.0.	0.125907517691278	16.83185971148959	20.14629869843014	0.0005599346051130001	1.007314934921506	1.907139448627747	0.26827856016079504
60.0.	0.161501883219228	12.915773233449965	20.9027905793506	0.00045442686335300006	1.04513952896753	0.31566910290556205	0.198753746352753
65.0.	0.12068867061664301	8.668687186904128	20.003022818063826	0.00034444504008300004	1.000151140903193	0.115268229260298	0.14724856661219202
70.0.	0.095706723890065	5.881981503681052	17.709847307266063	0.000258947406931	0.8854923653633041	0.06967099071517101	0.109094147609438
75.0.	0.08020148482386201	4.047320599088418	14.772078769914206	0.000194373116162	0.738603938495712	0.051141483017610005	0.080832225170785
80.0.	0.070203226797085	2.824579096910612	11.827125815439716	0.00014596992546700002	0.591356290771987	0.04169693038978	0.059902041566864
85.0.	0.06369101781860301	2.000699710227995	9.222969396463501	0.00010980604242200001	0.46114846982317603	0.036304658290265	0.044408819118236006
90.0.	0.059422275667823	1.437801662325696	7.073721534168799	8.283483203503412e-05	0.35368607670844004	0.033036619527770004	0.032953047507096
95.0.	0.056574354610797004	1.047394556192671	5.368285211884041	6.274328776630612e-05	0.26841426059420204	0.031016247385129002	0.024505517840310003
100.0.	0.05461228649019	0.77373589478712	4.046194629881837	4.779193390989171e-05	0.202309731494092	0.029846703735471002	0.018317478989505
105.0.	0.053191770060664	0.582158173093818	3.036057931343213	3.6682547103684234e-05	0.15180289656716	0.029458485662896	0.013859016590303001
110.0.	0.052072229425752	0.45178243398454104	2.271629927103826	2.8458688784440583e-05	0.113581496355191	0.030178660296002004	0.010782260397001002
115.0.	0.05104113097605201	0.371926368626946	1.697117167946821	2.2441497542702592e-05	0.084855858397341	0.033125824111298004	0.008909806010901
120.0.	0.049822304777979005	0.341613421114669	1.267931134151576	1.821564891102432e-05	0.063396556707578	0.041492896636462	0.008252963727550001
125.0.	0.047856738956320005	0.37280740070553803	0.9499976958604041	1.573320456279255e-05	0.04749988479302	0.065163031640616	0.009066316439839
130.0.	0.043577927005089	0.501175344843729	0.719807884177397	1.5845998649603362e-05	0.035990394208869	0.13978306547555	0.01191985080177
135.0.	0.034692365435664	0.8029867247974031	0.569268956575679	2.2213714761409624e-05	0.028463447828784003	0.37240489390958403	0.017542588590628003
140.0.	0.026189744852677003	1.3350149647372511	0.520462833603484	4.258887881768746e-05	0.026023141680174004	0.8490730013331691	0.025161295832653002
145.0.	0.025608786341575002	2.003055904421201	0.6260141758195881	8.140996684592757e-05	0.031300708790979	1.426378977973025	0.029712581095018002
150.0.	0.035308767915122004	2.593166880204617	0.910693827221501	0.000132540376474	0.045534691361075005	1.8495966729115612	0.028175044358499
155.0.	0.05552691029177	2.808265311483702	1.28262496203164	0.00018052278453700003	0.06413124810158201	1.8790862291303672	0.023777320450348003
160.0.	0.076545009095075	2.415108950518389	1.519059315125459	0.00020592481879900003	0.075952965756273	1.412715296176939	0.019321246818126
165.0.	0.080208509970214	1.600672685994607	1.46191834977982	0.000197541233097	0.07309591748899101	0.7070534732029741	0.015823683243547
170.0.	0.06386604030237701	0.915046294142076	1.210236459912891	0.000165090556699	0.060511822995644005	0.25949073714667903	0.013672643697743
175.0.	0.05087373974368101	0.6812673489331831	0.9464114162285041	0.000131009868862	0.047320570811425	0.18532751971421302	0.013203543755806001
180.0.	0.043664529870383	0.739589771368071	0.7425467140073001	0.00010654988865100001	0.037127335700364	0.272814370488881	0.014824734262159002
185.0.	0.035563942084570005	1.01020182916853	0.6145805354579611	9.577738022024749e-05	0.030729026772898002	0.5266384223800531	0.018781866387168
190.0.	0.029643787870024002	1.478253383572562	0.588080286000915	0.00010296340320600001	0.029404014300045002	0.9559239933060031	0.023816330680139
195.0.	0.030814655046216003	2.031927387325756	0.699727759283522	0.00012843534610400002	0.034986387964176004	1.424972653638827	0.026296430232915002
200.0.	0.040981988315303	2.467222641323922	0.9465179831599481	0.00016445440833600002	0.047325899157997	1.722815210411012	0.024730698852648003
205.0.	0.058395268916916	2.538711607129152	1.226402064208711	0.00019644431085100002	0.061320103210435004	1.665968364120547	0.021236088694175002
210.0.	0.07301398451608	2.1309242452683588	1.3654631684086431	0.00020872554618900003	0.06827315842043201	1.23215675728525	0.017728519172919
215.0.	0.07317017470190601	1.465698824687721	1.281261121110443	0.00019493172975500002	0.06406305605552201	0.672646247222206	0.015065937650932
220.0.	0.060703295706494007	0.949098348527268	1.0671999726747101	0.00016451662404700002	0.053359998633735	0.32978901813980305	0.013691549750760002
225.0.	0.049431710742372	0.783665536173423	0.8505409479721511	0.000134086772029	0.042527047398607	0.27520832452195504	0.014017604639135001
230.0.	0.041038315835403	0.8976322866933311	0.688412497723042	0.00011363219335	0.034420624886152	0.409764990138053	0.016433363626454003
235.0.	0.033460154212234	1.234234783957242	0.606294607078055	0.000108456462251	0.030314730353902003	0.727732152701784	0.020705743148540002
240.0.	0.030565296389980002	1.725698223826441	0.6370037724606461	0.000121570846786	0.031850188623032	1.166865145222352	0.024577301617547002
245.0.	0.03552710428577	2.21668690390282	0.803022982084411	0.00014981146334000001	0.040151149104220005	1.554370620987131	0.025088891382477004
250.0.	0.048739144833936	2.487624020148729	1.061047426786526	0.00018248571186500002	0.053052371339326006	1.693612187433759	0.022612958736466002
255.0.	0.065128593535467	2.34233094513998	1.275287430107441	0.000204529025093	0.06376437150537201	1.467117044262058	0.019236495128854003
260.0.	0.07323871083425901	1.81325644094425	1.306654293400371	0.00020415778846	0.065332714670018	0.972283343924743	0.016265697322155
265.0.	0.06721132808819101	1.216781943762917	1.157752168914326	0.00018207901268500003	0.057887608445716006	0.511003231558505	0.014308782117565002
270.0.	0.054908884485323	0.8755020153600651	0.9455983611388541	0.000151476079568	0.047279918056942004	0.314240149620073	0.013785858932421001
275.0.	0.04544023609213001	0.850663954849423	0.760979833990666	0.000125942581095	0.038048991699533005	0.35099645774281	0.015114464644689001
280.0.	0.037240456989887004	1.072919628148829	0.641157171471047	0.00011283364890500001	0.032057858573552	0.573301480569773	0.018469088372387
285.0.	0.031738214859377	1.489854051295614	0.6151911042509071	0.000116643264758	0.030759555212545003	0.957753835536378	0.022718534876921003
290.0.	0.032789582352225004	1.987059629099056	0.714310553103591	0.00013753694134200001	0.035715527655179005	1.378912534521525	0.024899012488672
295.0.	0.042035642437826	2.374301492512092	0.9319102301945791	0.000168409017507	0.046595511509729	1.645856831591363	0.02366169386294
300.0.	0.057488363630429	2.43409738541863	1.176058469887882	0.00019602843649600002	0.058802923494394005	1.595468199754566	0.020621881226090003
305.0.	0.070308214150459	2.073016804954024	1.297452245195189	0.000206401314082	0.064872612259759	1.212671300145826	0.017474791816813003
310.0.	0.07081306153538601	1.483843385310566	1.22515470450001	0.000193820478595	0.061257735225000005	0.714129878069747	0.015075705948631002
315.0.	0.06038694078688601	1.012945719292151	1.034646071267152	0.000166115077562	0.05173230356335701	0.390606534056525	0.013894938696783002
320.0.	0.04955878795144401	0.850649908822463	0.8363479013953571	0.00013772360142300002	0.041817395069767005	0.328837029086796	0.014350559131258002
325.0.	0.040962269953820005	0.9636996843471871	0.6875504689591151	0.000118658473159	0.034377523447955	0.46513761445406704	0.016782889337416
330.0.	0.033855977536674	1.296773879212492	0.617605183073842	0.00011457244800700001	0.030880259153692004	0.7808399803825201	0.020808449467848003
335.0.	0.031740023993807	1.768986076815787	0.6587422343539601	0.000127995963819	0.032937111717697004	1.199176309546571	0.024160968986941003
340.0.	0.037298290528309005	2.221312279774381	0.826760941050348	0.000155167092285	0.041338047052517	1.5496035200669112	0.024338620266339
345.0.	0.050428730713993	2.441625182919247	1.070501421994183	0.00018531028886200002	0.053525071099709005	1.64862446542545	0.021897989897420003
350.0.	0.06548307718299601	2.261221154304595	1.257260976913729	0.00020410874909900003	0.062863048845686	1.402449128495604	0.018720905106487003
355.0.	0.071849713212718	1.742593260780016	1.2672780121554141	0.00020135564801700002	0.06336390060777	0.9270186765797641	0.015981165028295
360.0.	0.065372940342517	1.192998463975593	1.116715786792279	0.00017898782671200002	0.05583578933961401	0.5075996513891761	0.014259245480928
365.0.	0.053853697193948	0.8956051952281281	0.9151658122985631	0.000149757749714	0.045758290614928004	0.33905912312568703	0.013978415675920002
370.0.	0.044598698990702006	0.8975257326973201	0.7435327796128021	0.00012614088919600002	0.037176638980640005	0.39356158539776004	0.015538435884055
375.0.	0.036630124184324	1.140329460500328	0.6379438425684021	0.000115245727034	0.03189719212842	0.633882251283692	0.018990592118831
380.0.	0.032002198068115	1.564108331511913	0.628809090268439	0.00012120253500400001	0.031440454513421	1.021393940371266	0.022944822141083003
385.0.	0.034170433492692005	2.042709117520285	0.743645803825115	0.000143226190631	0.037182290191255005	1.418962338791151	0.024555510601884004
390.0.	0.044296566451533	2.382070993879286	0.964900232644827	0.000173361591542	0.04824501163224101	1.639524290564527	0.023010602175162
395.0.	0.059517310647088005	2.378331126657405	1.1908707094824211	0.000198239692334	0.05954353547412101	1.538771322151587	0.019990239764071
400.0.	0.070521134815811	1.9789541014226542	1.2806062457792051	0.000204956798312	0.06403031228896	1.13527097896301	0.017010338910891
405.0.	0.06914279778319801	1.406519918129173	1.187380602135849	0.00018984728613600003	0.059369030106792	0.662560248397272	0.014835298736950001
410.0.	0.058495406676557005	0.987775632480913	0.996179361553386	0.00016198410136100002	0.049808968077669005	0.384171932625307	0.013919689755398002
415.0.	0.048236692383682	0.871966024570978	0.8078571785325861	0.00013514552418	0.040392858926629006	0.353900860254356	0.014678462235487001
420.0.	0.03979583191389	1.019762368288506	0.672713936081897	0.00011844937934200001	0.033635696804094	0.5175273342787621	0.017386173009058002
425.0.	0.033345870642242	1.377328178604223	0.620405207322352	0.00011719774030900001	0.031020260366117002	0.8532403075308531	0.021402488007290003
430.0.	0.032460618716612	1.850431558250183	0.6825101463449851	0.00013304650411700002	0.034125507317249004	1.265512939608083	0.024241597250317003
435.0.	0.039335759632200006	2.269713176239777	0.8660958056520901	0.000161021315858	0.043304790282604005	1.57806962296448	0.023866210687798
440.0.	0.053146860379507006	2.424289016113856	1.105358627060948	0.000189573334147	0.05526793135304701	1.618089914926804	0.021242194456209
445.0.	0.067116549122386	2.176612752882044	1.263238113623534	0.000204725118359	0.06316190568117601	1.323047971087999	0.018142753716999003
450.0.	0.07112763012880001	1.638570573152172	1.240455735227994	0.00019813635886400003	0.062022786761399	0.845622923493749	0.015593827228636002
455.0.	0.063214957380817	1.127845133569012	1.076309430375825	0.00017396013360900002	0.05381547151879101	0.468861403223566	0.014126692036791
460.0.	0.052078627799429004	0.8881950590718831	0.8792476011555	0.00014542658631400002	0.043962380057774	0.34466164755766804	0.014161083577673001
465.0.	0.043139173232368	0.9355909113604921	0.719561157768105	0.000123929008013	0.035978057888405	0.432013772660562	0.016070311099418002
470.0.	0.035547594439878004	1.214280763490207	0.6304358144157021	0.000115978115115	0.031521790720785	0.7023503385527301	0.019731051959331003
475.0.	0.032030329236056004	1.6553899389561	0.6430935361796131	0.00012504902215700002	0.03215467680898	1.10036876826764	0.023393945077883
480.0.	0.035664284354151005	2.118527935012492	0.7800522575870891	0.000149080754503	0.039002612879354005	1.474349415867173	0.024350079350013
485.0.	0.047039201129745	2.402982736353518	1.009457795487044	0.000178932165306	0.050472889774352006	1.63989989072027	0.022410017921544
490.0.	0.06212311192600901	2.320856712816924	1.216474932459129	0.00020089589497600003	0.060823746622956004	1.4753265046845891	0.019348866003742003
495.0.	0.07102151240453601	1.8701642670693541	1.269612878217839	0.000203306037449	0.063480643910891	1.041633513029164	0.016510055710790002
500.0.	0.06735651459964301	1.310885228151618	1.150595085971311	0.00018498516423400002	0.057529754298565	0.5947475076174511	0.014564805501343002
