time	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
480.0.	2188.034129060772	617.1362540764906	48.54187599431796	1568.5538659696044	442.41294882896113	36.357447360188864	2110.2406607574558	595.196450607928	16.916944093218394	71451.08881163201	20152.7661144886	2886.9283774812993	30887.07393602551	8711.728710388976	3187.7559200821274	47384.90097834284	13364.9900549932	1234.9431622917473
486.0.	2167.7139013921756	611.4048781353409	48.10572938379067	1572.5193660244595	443.5314045360782	36.500960458356026	2114.7601158745224	596.4711431187235	16.971523796248057	70114.93771726906	19775.903796554507	2842.6157524484875	30757.206332509704	8675.099220559094	3226.2464664029185	47612.901537313504	13429.297662570667	1252.380163272227
492.0.	2147.0154228868328	605.5668161481823	47.66126467006455	1576.2423340013318	444.5814530877831	36.63996196104364	2118.946401685249	597.651863788341	17.02405048728697	68789.22051488011	19401.98438370565	2798.5529007461623	30625.21157901405	8637.869763552295	3264.5172994547156	47837.78423845126	13492.725870530003	1269.7634381250507
498.0.	2125.9400516438764	599.6224512069012	47.208499713493914	1579.7140837320187	445.56064452202145	36.77432193629431	2122.786481747361	598.734935651343	17.074442115135717	67474.09749180397	19031.053085352487	2754.743614519623	30491.066486196014	8600.033798747849	3302.5657160021383	48059.49870987148	13555.260471163676	1287.0914880032892
504.0.	2104.4896475783235	593.5723079432637	46.74746271352172	1582.9257156273331	446.46646868200406	36.90390308093624	2126.2670699190376	599.7166113154741	17.12261372479274	66169.73095756976	18663.15568126148	2711.191748640259	30354.747421949618	8561.584660647537	3340.3889823081554	48277.99142471932	13616.886366912117	1304.3627957606536
510.0.	2082.6665988885406	587.4170599941112	46.27819278121575	1585.8681291545613	447.2963587355916	37.028560931187315	2129.374647384122	600.5930777637944	17.168477557897877	64876.285169818766	18298.33850066036	2667.901220678502	30216.23036970805	8522.51557532011	3377.984333501507	48493.20584386545	13677.587610610886	1321.5758240627717
516.0.	2060.473848670926	581.1575375080756	45.800740517778664	1588.5320366583956	448.0476950736153	37.148144082824146	2132.095481701485	601.3604617277427	17.21194315847398	63593.926248610966	17936.648398067264	2624.876010744733	30075.49098867167	8482.819677388845	3415.3489730281185	48705.082554809	13737.347444668196	1338.72901361642
522.0.	2037.9149215500788	574.7947346566455	45.315168596552134	1590.907978634939	448.71780961804785	37.262494423079055	2134.4156480387805	602.0148356763225	17.252917485289522	62322.82207826826	17578.13272560446	2582.1201611846145	29932.50467669534	8442.49002776924	3452.480072189656	48913.5594081631	13796.148339560676	1355.8207815133244
528.0.	2014.9939501756076	568.3298171076101	44.82155234568083	1592.986340568608	449.30399057100055	37.37144737647047	2136.321052750484	602.5522244665067	17.291305032164747	61063.142195873435	17222.839301548254	2539.6377761145613	29787.246636548625	8401.519632358064	3489.3747697734	49118.571653071085	13853.972032027681	1372.8495196861315
534.0.	1991.71570141899	561.7641294138854	44.319980328229384	1594.7573714409748	449.8034876353005	37.47483216681213	2137.7974594583666	602.9686126994708	17.327007957543167	59815.057665514585	16870.816374858332	2497.433020782241	29639.69194624683	8359.90146187069	3526.030171778592	49320.052072877916	13910.799563337634	1389.8135934750733
540.0.	1968.0856020855417	555.0992022655631	43.810554916160214	1596.2112040187044	450.21351773687337	37.57247209768012	2138.830517789233	603.2599528263247	17.359926224646248	58578.740937342605	16522.112585423492	2455.510120736225	29489.815634138875	8317.628473020099	3562.443351245357	49517.931122360744	13966.61131799428	1406.711340304785
546.0.	1944.1097639378645	548.3367595477436	43.29339285418121	1597.3378770245351	450.5312712782484	37.66418485363993	2139.405794919476	603.4221740455181	17.389957753522737	57354.36569049281	16176.776919756221	2413.8733607881218	29337.592759426927	8274.693631228018	3598.611348193285	49712.137067802396	14021.38706324484	1423.5410684716098
552.0.	1919.7950078081642	541.478725141365	42.76862580906525	1598.1273592904786	450.75391895115786	37.74978282455055	2139.508810068479	603.4511920319866	17.41699858629203	56142.1066589135	15834.858661866005	2372.527083749726	29182.99849878319	8231.089935055777	3634.5311696776294	49902.59613117292	14075.105989746997	1440.301056042598
558.0.	1895.1488865579236	534.5272293989084	42.236400899631256	1598.5695759859361	450.87861913437746	37.82907345526299	2139.125072072885	603.3429195352684	17.44094306686224	54942.13943914496	15496.40733904171	2331.475688927016	29026.008239718387	8186.810442539599	3670.1997899720814	50089.23263966393	14127.746753745701	1456.9895498682624
564.0.	1870.1797066247625	527.484615221597	41.696881202163716	1598.6544370049419	450.90252590055655	37.90185962301437	2138.2401201607668	603.0932778801656	17.46168403637722	53754.64027910419	15161.472662276541	2290.723630352121	28866.59768134366	8141.848299611185	3705.6141508878827	50271.9691817987	14179.287521104778	1473.604764711956
570.0.	1844.896547878335	520.3534436596318	41.15024622564183	1598.3718675860832	450.8227976527837	37.967940044783916	2136.8395680285735	602.6982093989672	17.479113045609324	52579.78584695495	14830.104461075913	2250.2754147337646	28704.742943151112	8096.196770780084	3740.771162240008	50450.726771314825	14229.706013530926	1490.14488249954
576.0.	1819.3092814900715	513.1364989522086	40.596692350755546	1597.7118412255472	450.63660640793495	38.02710971682062	2134.9091513039907	602.1536908186762	17.493120585465288	51417.75297917977	14502.352612399196	2210.1355991061646	28540.420682416956	8049.8492722481005	3775.6677024719306	50625.42501998648	14278.979557319168	1506.6080516937784
582.0.	1793.4285855060364	505.83679291967036	40.036433226313925	1596.6644149279987	450.34114773941377	38.079160388467464	2132.43477845418	601.4557476200158	17.503596336709624	50268.71840702553	14178.266963501606	2170.308788155905	28373.608220803017	8002.799407618135	3810.30061945136	50795.98232051523	14327.0851349383	1522.9923867986236
588.0.	1767.2659577984978	498.45756861629485	39.46970011630919	1595.219766821403	449.9336513866459	38.12388107229532	2129.4025851710226	600.6004693771304	17.51042943992962	49132.85846056484	13857.89724846257	2130.7996312060486	28204.28368069655	7955.041006349808	3844.6667314500564	50962.31604057409	14373.999439762158	1539.2959679992496
594.0.	1740.8337260605845	491.00230314905576	38.89674219059878	1593.3682361402782	449.41139253259166	38.16105859241276	2125.798992232655	599.5840260777767	17.513508786667813	48010.34874970732	13541.292998212704	2091.6128188365824	28032.42613178237	7906.568165101123	3878.7628283215945	51124.34272903374	14419.69893423699	1555.5168409443563
600.0.	1714.1450545002558	483.4747095653935	38.31782675191961	1591.1003655570341	448.77170374353705	38.19047817263526	2121.6107668035024	598.4026854133439	17.512723332529056	46901.36382160716	13228.503443903315	2052.753079120347	27858.01574828448	7857.375292079529	3912.585672891534	51281.97833533334	14464.159911756351	1571.6530166778548
