time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
0.0.	0.0	199.403	0.0	0.0	49.85	3.7	0.0
0.0.3.0	0.001172135690495	199.2639522381637	0.23361250703374	0.22904353611879202	49.3986351616475	3.03995996640746	0.660040033592541
0.0.6.0	0.0026535297097290004	199.12473198039712	0.232741915722733	0.5256597493249551	49.18099369526569	2.444703278683808	1.255296721316194
0.0.8999999999999999.0	0.0044792794988630005	198.99597086398677	0.23196422374994602	0.8908438112147801	48.97503142289739	1.9690219025448652	1.730978097455136
1.0.2.0	0.006582768912622001	198.88562930164238	0.231273628258076	1.3112398883093581	48.780978343749084	1.608292649090834	2.091707350909168
1.0.5.0	0.008841293261933001	198.79927027542632	0.230657447729599	1.7623794864407811	48.598940470061855	1.343931478708462	2.356068521291539
1.0.7999999999999998.0	0.011125421387325	198.7394915935846	0.23010103701842802	2.218536670276526	48.42881216403922	1.1523959563979531	2.547604043602049
2.0.1.0	0.013335070022336	198.706327884235	0.22959186950999902	2.659884252192122	48.27028043868383	1.012772309100451	2.687227690899552
2.0.4.0	0.015407769716755	198.69807582187556	0.22912080544242802	3.074094161718895	48.12287968825322	0.9093939063302341	2.790606093669769
2.0.6999999999999997.0	0.017311648266245	198.71206810317068	0.228681642890454	3.4549082101697053	47.98605209526047	0.831392522533776	2.8686074774662282
3.0.	0.019035483835398003	198.74523011453334	0.22827024788687603	3.8001449479446743	47.859194629954104	0.7714207528265391	2.928579247173466
3.0.3.0	0.020580666545241003	198.79443011526482	0.22788381442548603	4.110099694081056	47.74169072382089	0.724508774424595	2.975491225575411
3.0.5999999999999996.0	0.0219557313495	198.85668056892234	0.22752035344558502	4.386462616286303	47.6329301743191	0.6872505586287061	3.012749441371299
3.0.9.0	0.023172897956855003	198.9292432135688	0.22717836773733602	4.631638017686067	47.53232111679306	0.657268344646274	3.042731655353731
4.0.2.0	0.024245958044453002	199.00967504886756	0.22685665252814502	4.848331254970978	47.43929690443795	0.63286855561994	3.067131444380066
4.0.5.0	0.025189017867454002	199.09583927314702	0.22655417552332302	5.039304512170806	47.35331977293677	0.6128207189122511	3.087179281087754
4.0.8.0	0.026015772772253	199.18589616831397	0.22627000589252202	5.207236884689378	47.273882482223364	0.5962138454125251	3.10378615458748
5.0.1.0	0.026739109933112	199.27828315498257	0.22600327310849602	5.354648390160111	47.200508686681765	0.5823616288751771	3.117638371124828
5.0.3999999999999995.0	0.027370912672612	199.37168963889317	0.22575314389661402	5.4838629643881465	47.132752509388816	0.5707387423862871	3.129261257613718
5.0.7.0	0.027921987620828002	199.46503003703933	0.225518810096546	5.596995042550115	47.07019762453145	0.5609372433191211	3.139062756680885
