time	Tstar	V	Vin	Vni
0.0.	2910.78	235500.0	235500.0	0.0
0.0.08.0	2897.683880131566	233356.18456737333	183921.8451577943	49434.339409579
0.0.16.0	2862.9725520437473	231258.59275126987	143640.10684382936	87618.48590744044
0.0.24.0	2812.3400924790703	228881.88091194385	112180.6943412815	116701.18657066232
0.0.32.0	2750.195844016229	226056.9940262776	87611.38138510252	138445.612641175
0.0.4.0	2679.947268223213	222717.6851875698	68423.12924944381	154294.55593812594
0.0.48.0	2604.220791261173	218862.98906815215	53437.40210769209	165425.58696045994
0.0.56.0	2525.034225265124	214531.2253198815	41733.78176857333	172797.44355130798
0.0.64.0	2443.9313733419167	209782.28057986565	32593.43590837086	177188.84467149462
0.0.72.0	2362.0871026549407	204685.78890487217	25454.967637585247	179230.82126728672
0.0.8.0	2280.38935555554	199313.47597751534	19879.934697651795	179433.54127986328
0.0.88.0	2199.5031516205586	193734.40935978302	15525.92048867328	178208.48887110947
0.0.96.0	2119.9205267249704	188012.24829706195	12125.502959980944	175886.74533708073
1.0.04.0	2041.9994909422323	182203.84428383867	9469.829640037686	172734.0146438007
1.0.12.0	1965.9944120345983	176358.73190760217	7395.7899896861	168962.94191791577
1.0.2.0	1892.0797041100643	170519.18642904257	5775.997209103279	164743.189219939
1.0.28.0	1820.3682893015978	164720.623600807	4510.964184501515	160209.6594163051
1.0.36.0	1750.9259787790177	158992.188405338	3522.993023920552	155469.19538141697
1.0.44.0	1683.7826682845032	153357.43015992374	2751.402879507548	150606.0272804156
1.0.52.0	1618.9410472646782	147834.9973203096	2148.802950775622	145686.1943695334
1.0.6.0	1556.3833675093495	142439.31039770998	1678.1817579868375	140761.1286397226
1.0.68.0	1496.0766975912845	137181.18869723196	1310.6339098348865	135870.55478739648
1.0.76.0	1437.9769959855028	132068.41829781694	1023.5847442828366	131044.83355353361
1.0.84.0	1382.0322627921812	127106.25644002618	799.4038006086331	126306.85263941705
1.0.92.0	1328.1849730129338	122297.8724437454	624.3219625896911	121673.55048115517
2.0.	1276.373949835997	117644.72829394361	487.5857641345743	117157.14252980855
2.0.08.0	1226.535801638341	113146.90372094366	380.79691510538964	112766.10680583784
2.0.16.0	1178.606019277107	108803.37139919563	297.3964812347545	108505.97491796041
2.0.24.0	1132.5198090519668	104612.22810452829	232.26203664579495	104379.966067882
2.0.32.0	1088.2127201718222	100570.88752079075	181.39304622192157	100389.49447456833
2.0.4.0	1045.6211126369408	96676.2400222576	141.66515412007087	96534.57486813702
2.0.48.0	1004.6825013569153	92924.78427971672	110.63828691266612	92814.14599280356
2.0.56.0	965.3358044455364	89312.73501319664	86.40678511946903	89226.32822807667
2.0.64.0	927.5215174814186	85836.11068616575	67.48235825971882	85768.62832790549
2.0.72.0	891.181830719659	82490.80443133922	52.702674564233604	82438.10175677449
2.0.8000000000000003.0	856.2607024895619	79272.6410320508	41.15997095912825	79231.48106109117
2.0.88.0	822.7038990857463	76177.42236284491	32.14529857097619	76145.27706427338
2.0.96.0	790.4590091746015	73200.96332080573	25.104979331576498	73175.85834147363
3.0.04.0	759.4754389543176	70339.11995424666	19.60659926201282	70319.51335498411
3.0.12.0	729.7043929147013	67587.81121490833	15.312449755242296	67572.49876515252
3.0.2.0	701.0988439568521	64943.035519905396	11.958785629953711	64931.07673427488
3.0.2800000000000002.0	673.6134957854907	62400.88310601803	9.339625992518034	62391.54348002496
3.0.36.0	647.2047398259452	59957.54498718553	7.294102961561008	59950.25088422343
3.0.44.0	621.8306084026358	57609.31918203514	5.696581218185241	57603.62260081643
3.0.52.0	597.4507255144232	55352.61475808008	4.448941528025272	55348.16581655152
3.0.6.0	574.0262562294591	53183.95413933522	3.474554291721889	53180.47958504296
3.0.68.0	551.5198554787509	51099.97404140895	2.713572981365203	51097.26046842702
3.0.7600000000000002.0	529.8956168382898	49097.42532990493	2.119258387396245	49095.30607151697
3.0.84.0	509.1190217424425	47173.1720418547	1.655107912479945	47171.51693394166
3.0.92.0	489.15688945708615	45324.18976387668	1.292613594569449	45322.897150281555
4.0.	469.9773280524458	43547.56352310754	1.009511157711899	43546.554011949294
4.0.08.0	451.5496865470966	41840.48531622511	0.7884125479001091	41839.69690367669
4.0.16.0	433.84450834174305	40200.25137686492	0.615737964793983	40199.63563889963
4.0.24.0	416.8334860206901	38624.25926140667	0.48088179506837603	38623.77837961111
4.0.32.0	400.489417567734	37110.004816628316	0.375561219301388	37109.62925540852
4.0.4.0	384.78616401938245	35655.079079393305	0.29330748406287704	35654.785771908755
4.0.48.0	369.6986085602548	34257.16514777216	0.22906859331036603	34256.93607917836
4.0.5600000000000005.0	355.20261705191615	32914.03505432648	0.17889901653495202	32913.856155309455
4.0.64.0	341.27499997627496	31623.546665311118	0.139717355638577	31623.40694795499
4.0.72.0	327.8934757672278	30383.640623956657	0.109117086525866	30383.531506869647
4.0.8.0	315.0366354988988	29192.337351519727	0.085218751224388	29192.252132768015
