time	ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
0.0.	0.0	10.0	0.0	3.0	0.0	10.0	0.0	0.2	5.0	0.4
1.0.2.0	0.00014156869586300002	9.999858431304135	0.004484999507964001	2.961193394191167	0.033293513678814	9.965997047067725	0.00031865336859700005	0.19968134663140202	4.957794100296572	0.44220589970342605
2.0.4.0	0.00014249654258	9.99985750345741	0.0045211478882940005	2.923101980350891	0.067939806281582	9.927942090176831	0.000318961937651	0.19968103806234802	4.915723878609045	0.48427612139095405
3.0.5999999999999996.0	0.00014343762448200002	9.999856562375507	0.004553609288266001	2.885124402039083	0.100231731532136	9.889997276575674	0.00031926524832900005	0.19968073475167	4.873737325412839	0.526262674587159
4.0.8.0	0.00014439136068100002	9.999855608639312	0.004582945925386	2.8472580458265133	0.130324029640479	9.852160577763655	0.00031958601175900004	0.19968041398824002	4.831834717388263	0.568165282611737
6.0.	0.000145357658072	9.999854642341921	0.004609364212872001	2.8095006411337398	0.15836140655601003	9.81442992754915	0.00031992220253800003	0.19968007779746103	4.7900164527344415	0.60998354726556
7.0.199999999999999.0	0.000146336426981	9.999853663573017	0.004633054323703	2.771850195093502	0.18447892695905002	9.776803521302261	0.000320271885055	0.19967972811494403	4.748283032270299	0.651716967729699
8.0.4.0	0.00014732757960200002	9.999852672420394	0.004654191587803	2.734304975837177	0.20880265458344902	9.73927980063565	0.00032063321066700003	0.199679366789332	4.706635056409418	0.6933649435905811
9.0.6.0	0.00014833102861	9.999851668971385	0.004672937671656	2.6968634973097663	0.23145024973341202	9.701857439390052	0.00032100440862400004	0.199678995591375	4.665073222560436	0.734926777439559
10.0.799999999999999.0	0.000149346685785	9.999850653314212	0.004689441649415	2.659524505469592	0.252531526800406	9.664535330896653	0.00032138377763	0.19967861622236902	4.623598322918962	0.776401677081028
12.0.	0.00015037446063800001	9.99984962553936	0.0047038409770090005	2.622286965756388	0.272148974475577	9.62731257641142	0.000321769678	0.19967823032199902	4.58221124262495	0.8177887573750361
13.0.2.0	0.00015141425902500001	9.999848585740976	0.004716262379234001	2.585150051723933	0.290398241169252	9.590188474627562	0.000322160524363	0.19967783947563603	4.540912958262926	0.8590870417370581
14.0.399999999999999.0	0.00015246598174400002	9.999847534018254	0.004726822658496	2.548113134744558	0.307368587976099	9.553162512181911	0.00032255477883500003	0.199677445221164	4.499704536685368	0.9002954633146141
15.0.6.0	0.000153529523103	9.999846470476896	0.004735629432841001	2.51117577470268	0.32314331136427404	9.516234355080158	0.00032295094462200005	0.199677049055377	4.458587134142171	0.941412865857808
16.0.8.0	0.00015460476944400002	9.999845395230555	0.004742781810093	2.474337711603255	0.337800137617908	9.479403840973346	0.000323347559991	0.199676652440008	4.417561995701504	0.9824380042984721
18.0.	0.000155691597625	9.999844308402373	0.004748371004119001	2.437598858028822	0.35141159092383	9.442670972225518	0.000323743192581	0.19967625680741802	4.376630454949452	1.023369545050523
19.0.2.0	0.00015678987343600002	9.99984321012656	0.004752480898603	2.40095929238578	0.36404533686467605	9.406035909718366	0.00032413643399200004	0.19967586356600703	4.3357939339578095	1.064206066042162
