time	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
0.0.	0.0	5.0	0.0	1.2924697071141052e-26	-5.048709793414476e-29	0.0	0.0	0.0
5.0.	6.717070018895749	0.353675676826437	1.212807709642484	2.227646001827257	0.544429026345686	0.009151101628944001	0.037218046579479004	0.025118590208625002
10.0.	6.292739599330916	0.294308634297688	1.000425190021945	1.826957782078123	0.759667871364039	0.02259034840978	0.10641199864603501	0.085318896812243
15.0.	5.737736761778066	0.258073551666305	0.8675072949932421	1.572638053118768	0.825869903276195	0.038051256491219	0.177915855046567	0.15109707507078302
20.0.	5.3183326298462354	0.23373354471777003	0.7789750904084861	1.404194270124357	0.824520299103874	0.052991930086359	0.24020803602165003	0.20980403383631802
25.0.	5.00691207274053	0.21644623280275901	0.716720427806501	1.286507809622755	0.795331221500424	0.066070886206414	0.28968298392865105	0.25713589394713304
30.0.	4.76947216808693	0.20350655586577301	0.6705443292439811	1.199719494521317	0.7571172615353571	0.076782820961155	0.326368999799082	0.292670812818876
35.0.	4.581652298402596	0.193328163591396	0.634516198251587	1.132344152376095	0.7182851038503281	0.08511898344490901	0.351758024320559	0.31760475719422704
40.0.	4.427125504532747	0.18495196369406303	0.605081533741862	1.077537696047324	0.6821697160822721	0.091313827487495	0.367757932853277	0.333646149341607
45.0.	4.295072592985341	0.17777990799954901	0.5800406223885031	1.03108680586289	0.6497261586874741	0.095688409768583	0.376224316314477	0.34251265273907705
50.0.	4.178270545586483	0.171427367904518	0.557987987429589	0.9903121124278831	0.620866384001548	0.09856803253048001	0.37877936483026303	0.345728868454087
55.0.	4.071819389249121	0.165639793614475	0.537998803043475	0.953458002103559	0.5951067326767331	0.10024548870194801	0.37676634119101804	0.344567715220681
60.0.	3.9723320067187142	0.160244584193298	0.519449169432435	0.9193446123184471	0.571868627873374	0.10096876145887801	0.37126346627953905	0.340055952457818
65.0.	3.8774248507542732	0.155122498461602	0.5019100490880001	0.8871633751306021	0.550607741664772	0.100940547449375	0.36312003561839	0.33300476464342105
70.0.	3.785395694548192	0.15019012085320302	0.48508258605354404	0.8563528494519801	0.530860606423848	0.10032283000251101	0.35299737454873903	0.32404693966959
75.0.	3.695016063121613	0.14538874097978902	0.46875729062296	0.826520667237136	0.512253319900382	0.099243106405521	0.341407099310683	0.313672485409323
80.0.	3.605394360606085	0.14067706880441402	0.45278741967391	0.7973928028850321	0.49449434295999306	0.097800671865511	0.32874394819406405	0.30225957373085005
85.0.	3.515883364692477	0.13602632193691402	0.43707109264618005	0.768779593599185	0.47736190909347903	0.09607228094107301	0.315312683775174	0.29010007783337
90.0.	3.426016282586945	0.131416831094154	0.421538972405655	0.7405523921632801	0.46069081740258705	0.09411696139082501	0.30134952730097003	0.27742001057861104
