time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
0.0.	0.167	0.098	0.6000000000000001	0.272	0.653	3.48	0.218	2.0	2.67	0.808	0.399	2.13	0.008	2.67	0.398	0.111	0.276	0.138
0.0.4.0	0.18863539204576102	0.103259324117852	0.724308135611006	0.360090293571094	0.655964108506305	4.228277904923622	0.230094416844823	1.9834670926208822	2.123320243404349	0.813843775204511	0.32320953482268405	1.747311171309752	0.004121078669233	3.657069181047052	0.400403952017831	0.116851035701984	0.301987074441942	0.155819494726009
0.0.8.0	0.225405620867232	0.11306171309000101	0.75016346169542	0.49829440025477406	0.66066513783404	4.378925612866474	0.258128280743469	1.975401813069221	1.966578117081557	0.8231886905162261	0.299023672761889	1.616781486698355	0.0029577552643790003	3.98864350012652	0.419400013045134	0.12463768300775702	0.31622802122911403	0.16900652429703503
1.0.2000000000000002.0	0.24966922067971503	0.119675108680415	0.7617240675706921	0.5941850437068611	0.665536913208552	4.443607530224856	0.274831703197565	1.968960653292552	1.9241945895626351	0.832936447242384	0.29297898680857404	1.586434787817654	0.0024731676857840004	4.158199156641245	0.44186896429354905	0.129755247215066	0.32184816760758	0.174449372583898
1.0.6.0	0.260284078985079	0.12282460511108201	0.772102543462847	0.63567262364679	0.670461034337773	4.501408982575555	0.280040043597628	1.9631497965436582	1.945429277468965	0.8426765445612621	0.29650572835474204	1.607077552064089	0.002237527034391	4.253858931815442	0.45916113579614204	0.132621160576011	0.328798852574169	0.176296925846736
2.0.	0.261573618545316	0.123737627050539	0.7836124755371	0.637658153118245	0.675537439670235	4.566358689732669	0.27818143966040304	1.9576719313943842	2.000733122249031	0.852441491372484	0.305033017418039	1.6538466049567182	0.0021140442970380004	4.308437676871586	0.4708459760913	0.134191088412058	0.338327553212439	0.17681884414780102
2.0.4000000000000004.0	0.257434240197134	0.123323523651055	0.796125449718808	0.616973194759403	0.6808528721575391	4.637699186733365	0.27255608567835105	1.952417846534014	2.072507562983927	0.862304720919406	0.3159209302636	1.712692935487927	0.002047584696247	4.337503407858341	0.478378542848007	0.13504259670268	0.349633960315522	0.17686009932201902
2.0.8000000000000003.0	0.250609557642065	0.12219619580980101	0.8090639596555581	0.586096186794396	0.6864452790375211	4.711951656062259	0.265263110869187	1.9473408511144932	2.150443936869212	0.8723019786890581	0.327649724639542	1.775637634377079	0.002012789468601	4.349717440171338	0.48313205276117704	0.135482382808454	0.36186699148837503	0.176730452476758
3.0.2.0	0.24290279249610303	0.12077819267197101	0.8219081281954671	0.5530094688756321	0.6923123761626631	4.78598008855097	0.25763801558208904	1.942416160206257	2.228694039614558	0.882428665433686	0.33937023757914403	1.838279052455905	0.001997006575518	4.350523835041494	0.48613689067459004	0.13568986631242302	0.374350840499771	0.17657226802627002
3.0.6.0	0.23545122264714602	0.11936315415222501	0.834293469592398	0.522338089699257	0.698426364268943	4.857579098750341	0.25053467158028503	1.9376265669226251	2.304184775230565	0.892652643945922	0.35064526804719703	1.898392110635191	0.001993619287063	4.343645749061777	0.48814218777645	0.135786410873761	0.386551398963327	0.17647768223398302
4.0.	0.22892993730353503	0.118150118545102	0.8459995742519351	0.49645717826940405	0.704745989243855	4.925404487735239	0.244478987665142	1.932957389818078	2.375569570466361	0.9029270924921331	0.36129127791686805	1.9550806708467192	0.001999076986503	4.331758199666138	0.48969365672936804	0.135861818061488	0.398048069954585	0.17651755801859
