time	Ln_	NRLc	NRLm	NRLn	NRc	NRm	NRn	RE	REL
0.0.	0.0	0.0	0.0	0.0	42.0	42.0	83.25	3.7	0.0
0.0.3.0	0.001331430356582	0.2012439228509	0.07425258478705801	0.087577193421546	41.798756077149044	41.925747415212896	82.88043039746265	3.418007590884002	0.28199240911599904
0.0.6.0	0.002325169632145	0.20330936111661901	0.110439894521624	0.17569935096861403	41.79669063888333	41.88956010547833	82.53145518363384	3.157154534602256	0.542845465397743
0.0.8999999999999999.0	0.003100021885402	0.20492657388718302	0.13874769574245902	0.24387218310643902	41.79507342611277	41.8612523042575	82.28710811866216	2.98098030176843	0.7190196982315681
1.0.2.0	0.003675713630031	0.20613820504558503	0.15990706399324	0.294168716516066	41.793861794954374	41.84009293600672	82.11891686034282	2.8630855768587082	0.836914423141291
1.0.5.0	0.004089072372082001	0.20701320452118901	0.175163094256222	0.330109221833342	41.792986795478775	41.82483690574374	82.00428364984727	2.784392871680431	0.915607128319569
1.0.7999999999999998.0	0.004379050621198	0.20762941844485802	0.185895359428488	0.35523987082232805	41.792370581555105	41.81410464057147	81.9266503431019	2.731890213924051	0.9681097860759491
2.0.1.0	0.004579312022696001	0.208056088102432	0.19332098033956102	0.37255710176509305	41.79194391189753	41.806679019660415	81.87429236406552	2.69684946583042	1.00315053416958
2.0.4.0	0.004716167302461	0.20834817376505002	0.19840184288238802	0.384373896016439	41.79165182623491	41.80159815711758	81.83907674419997	2.6734506402161973	1.026549359783801
2.0.6999999999999997.0	0.004809035639332	0.20854660936545502	0.201852514638543	0.39238466004729505	41.79145339063451	41.79814748536141	81.81543346167545	2.657818121722521	1.042181878277477
3.0.	0.004871758643784	0.208680735980652	0.20418437879172202	0.39779150341524505	41.79131926401929	41.79581562120823	81.79957856784416	2.6473700712591812	1.052629928740817
3.0.3.0	0.0049139882250750005	0.208771086258592	0.20575493579133602	0.40143015034351803	41.79122891374135	41.79424506420862	81.78895487861814	2.640385028961463	1.059614971038535
3.0.5999999999999996.0	0.004942360277623001	0.20883180930942802	0.20681037915677902	0.403874054382773	41.791168190690506	41.79318962084317	81.78184014654437	2.635714200926901	1.064285799073098
3.0.9.0	0.004961395240676	0.208872558146383	0.207518598688014	0.40551335494490204	41.791127441853575	41.79248140131194	81.77707705303366	2.632590407978343	1.067409592021656
4.0.2.0	0.004974153853692	0.208899875193157	0.20799335117689902	0.40661198606591104	41.7911001248068	41.792006648823055	81.77388905712581	2.630501043191493	1.069498956808507
4.0.5.0	0.004982700204551001	0.208918175394805	0.208311387372714	0.407347837705039	41.79108182460515	41.79168861262723	81.77175562753052	2.629103465235317	1.070896534764682
4.0.8.0	0.004988422556425	0.208930429447152	0.208524344325482	0.407840509934191	41.7910695705528	41.791475655674475	81.77032807083317	2.628168580767126	1.071831419232873
5.0.1.0	0.004992252970312	0.208938632413908	0.208666897634485	0.408170280445286	41.79106136758604	41.791333102365485	81.7693729067386	2.627543187183657	1.072456812816343
5.0.3999999999999995.0	0.004994816478829001	0.208944122427791	0.208762303692741	0.40839097378736205	41.791055877572155	41.79123769630721	81.76873384581397	2.627124819601108	1.072875180398891
5.0.7.0	0.004996531892688	0.208947796236811	0.20882614716767703	0.40853865171483905	41.79105220376314	41.79117385283227	81.76830628988897	2.626844941603553	1.073155058396447
6.0.	0.004997679692975	0.208950254452581	0.20886886588681303	0.40863746328261	41.79104974554736	41.79113113411314	81.7680202448024	2.626657708084736	1.073342291915264
6.0.3.0	0.004998447653979001	0.208951899191085	0.208897447973478	0.40870357480242103	41.79104810080887	41.79110255202647	81.76782887651673	2.626532451318891	1.073467548681109
6.0.6.0	0.004998961455713	0.20895299960468003	0.208916570807252	0.40874780625538004	41.79104700039528	41.7910834291927	81.7677008495762	2.6264486558313322	1.073551344168669
6.0.8999999999999995.0	0.004999305204334	0.20895373581710902	0.208929364588881	0.408777398304818	41.79104626418285	41.791070635411074	81.76761519904842	2.626392597353017	1.073607402646983
7.0.199999999999999.0	0.004999535178475001	0.208954228358112	0.20893792388071103	0.408797195881806	41.79104577164185	41.79106207611924	81.76755789874832	2.626355094629896	1.073644905370105
7.0.5.0	0.0049996890336550005	0.20895455787396502	0.20894365014683003	0.40881044065300204	41.791045442126	41.79105634985313	81.76751956489028	2.626330005543031	1.073669994456969
7.0.8.0	0.004999791963649	0.208954778322226	0.20894748105495903	0.408819301471039	41.79104522167772	41.791052518944994	81.76749391961599	2.626313221086771	1.073686778913228
8.0.1.0	0.0049998608240540005	0.20895492580274602	0.20895004394289302	0.40882522937457005	41.791045074197186	41.79104995605706	81.7674767630004	2.6263019923747013	1.073698007625298
8.0.4.0	0.004999906891668	0.208955024467276	0.208951758515721	0.40882919514040006	41.79104497553265	41.791048241484205	81.76746528528298	2.626294480423116	1.073705519576884
8.0.7.0	0.0049999377108340005	0.208955090473725	0.20895290556272303	0.408831848231049	41.79104490952619	41.7910470944372	81.76745760673344	2.626289454964214	1.073710545035786
9.0.	0.00499995832878	0.20895513463188703	0.20895367293445002	0.408833623141708	41.79104486536803	41.791046327065466	81.76745246981474	2.6262860929561933	1.073713907043807
9.0.299999999999999.0	0.00499997212212	0.20895516417356202	0.20895418630376503	0.408834810551146	41.791044835826355	41.791045813696165	81.76744903323772	2.626283843788616	1.073716156211384
