time	RCC1	RCC1_Ran	RCC1_RanGDP	RCC1_RanGTP	RanBP1	RanGAP	RanGDP_cy	RanGDP_nuc	RanGTP_RanBP1	RanGTP_cy	RanGTP_nuc
0.0.	0.7000000000000001	0.0	0.0	0.0	2.0	0.7000000000000001	5.0	0.0	0.0	2.242077542919707e-44	0.0
0.0.3.0	0.613197321481412	0.0050166493503760005	0.027874891143916003	0.053911138024293	1.9999996495932542	0.7000000000000001	4.882197910374352	0.04533266888433601	3.504067452005878e-07	4.855917677935204e-05	0.044494422660043005
0.0.6.0	0.5336718389471621	0.009541055953952	0.032531573837754	0.12425553126113001	1.999998650576222	0.7000000000000001	4.7680244595276395	0.05861140293791701	1.3494237772642509e-06	0.000176301063713	0.122757270986122
0.0.8999999999999999.0	0.467311644581871	0.013309166138121001	0.035091914509562006	0.18428727477044501	1.9999974531165092	0.7000000000000001	4.6573180969193135	0.070560615690874	2.546883489145908e-06	0.000327868512653	0.21027826041718903
1.0.2.0	0.41259864900861803	0.016415066128801	0.037027576319121	0.23395870854345902	1.999996155232105	0.7000000000000001	4.550049344330532	0.082891221823625	3.844767893660151e-06	0.000491854165615	0.30388986228811404
1.0.5.0	0.36764157532151104	0.018966637634640002	0.038529078205138005	0.274862708838709	1.999994786924535	0.7000000000000001	4.446179802005442	0.09552441562658001	5.213075462928729e-06	0.0006645725668820001	0.401842778222242
1.0.7999999999999998.0	0.33064426261947105	0.021065919359533003	0.039687987201900005	0.30860183081909504	1.999993370745254	0.7000000000000001	4.345657557001397	0.108261295925357	6.629254745064561e-06	0.000843201256507	0.502621885423947
2.0.1.0	0.300047418595694	0.022801502668134	0.040575647571172005	0.33657543116499905	1.999991926005448	0.7000000000000001	4.248418724100771	0.120927593133465	8.073994550698042e-06	0.0010253253698190002	0.604941640263151
2.0.4.0	0.274565690816234	0.024246435435980002	0.041249483408597	0.359938390339188	1.999990468576559	0.7000000000000001	4.154389964793769	0.13338838721850302	9.531423439830107e-06	0.0012089644474700002	0.707764612599176
2.0.6999999999999997.0	0.25317112634812	0.025459147503881	0.041754968596115	0.379614757551882	1.9999890109810101	0.7000000000000001	4.063491068769654	0.145545338756809	1.098901898886932e-05	0.001392558463058	0.810283863212058
3.0.	0.235054678997059	0.02648562953502	0.042127692667366004	0.39633199880055303	1.9999875628192931	0.7000000000000001	3.975637229129015	0.15733035019556402	1.243718070631513e-05	0.0015749128002670002	0.911887460134654
3.0.3.0	0.219583765642363	0.027361841558222	0.042395379681387006	0.41065901311802505	1.9999861313039022	0.7000000000000001	3.890740894891826	0.168698972870955	1.3868696098910101e-05	0.0017551308157970002	1.012119951163814
3.0.5999999999999996.0	0.20626401576112002	0.028115885876868002	0.042579633888154	0.423040464473855	1.999984721766567	0.7000000000000001	3.8087132100844583	0.17962465452766202	1.527823343440029e-05	0.001932550249734	1.110647803379861
3.0.9.0	0.19470777874104503	0.028769797038414	0.042697348930803	0.433825075289736	1.9999833380872492	0.7000000000000001	3.729465098907921	0.19009409897286902	1.6661912753785025e-05	0.002106689638941	1.207231004076452
4.0.2.0	0.184609360748606	0.029340949702693003	0.042761804629152	0.443287884919546	1.999981983036408	0.7000000000000001	3.6529080674079992	0.200103674807588	1.8016963595455084e-05	0.0022772056427240004	1.3017007509171021
4.0.5.0	0.17572600893172602	0.029843139905397	0.042783504919788	0.45164734624308706	1.9999806585399251	0.7000000000000001	3.578954786042641	0.20965669894023	1.934146007822248e-05	0.002443860046223	1.393942328665511
4.0.8.0	0.167863471260459	0.030287406193188003	0.042770812866464	0.45907830967988705	1.999979365881059	0.7000000000000001	3.5075195061754822	0.218761407490034	2.0634118945199894e-05	0.002606494617998	1.483882111399089
5.0.1.0	0.16086507191944502	0.030682650854671003	0.042730430993973	0.46572184623190904	1.999978105853434	0.7000000000000001	3.438518351962413	0.22742945029900702	2.189414657006109e-05	0.0027650120665700002	1.571477734354287
5.0.3999999999999995.0	0.15460343978222701	0.031036110274072003	0.042667765335973	0.471692684607726	1.999976878876839	0.7000000000000001	3.371869519196003	0.23567477786594102	2.312112316573062e-05	0.002919361627631	1.6567106589931462
5.0.7.0	0.14897422312365402	0.031353712325686005	0.042587202537622	0.477084862013036	1.999975685085055	0.7000000000000001	3.307493404811447	0.24351282010004102	2.4314914949823633e-05	0.0030695281299080003	1.739580531236098
6.0.	0.14389128826521	0.031640349375549	0.042492321983453006	0.48197604037578706	1.9999745243927671	0.7000000000000001	3.245312684750271	0.250959881473165	2.5475607237562482e-05	0.0032155236648400004	1.820100880755352
6.0.3.0	0.139283028615903	0.031900088135231	0.042386059244811	0.486430824004054	1.999973396546797	0.7000000000000001	3.185252353376228	0.258032696664374	2.6603453207424062e-05	0.00335738120637	1.898295824894542
6.0.6.0	0.13508950779883502	0.032136332083178	0.042270832891838	0.49050332722614903	1.9999723011655641	0.7000000000000001	3.127239734295383	0.264748105447765	2.7698834441217974e-05	0.0034951496960550004	1.974197528108868
6.0.8999999999999995.0	0.131260232598593	0.03235194807133	0.042148643579385005	0.49423917575069004	1.9999712377696521	0.7000000000000001	3.071204469958879	0.27112281640844504	2.8762230352388663e-05	0.0036288902345290005	2.047844232551025
7.0.199999999999999.0	0.12775240439093902	0.03254936572428	0.042021152017022	0.49767707786775806	1.999970205805642	0.7000000000000001	3.017078495595346	0.277173237017928	2.9794194362737073e-05	0.0037586731131760004	2.1192787230151042
7.0.5.0	0.12452953646910402	0.032730656033942006	0.041889740749893004	0.500850066747059	1.9999692046647701	0.7000000000000001	2.96479600166016	0.28291535341518803	3.0795335235415524e-05	0.0038845754879580003	2.188547124325214
