time	G1	G2	T1	T2
0.0.	6.6	10.3	7.6	0.41000000000000003
10.0.	5.188140562459549	12.304290549806957	1.8338166340194362	0.984702456320472
20.0.	7.792919903267523	12.150447272644973	0.35737448444582703	2.230211925560085
30.0.	10.783507731967072	9.154371561168235	0.384664566630377	3.630550371373258
40.0.	12.95416043948272	7.805672027797976	0.892072744960378	2.076434432181181
50.0.	12.362658251667128	9.13587415926119	2.682741302536971	0.9283275848848471
60.0.	8.137620369061262	10.956304164577821	4.325466642742613	0.9762678965073581
70.0.	7.165766052837409	11.631176766861943	1.7978166783810121	1.660962139064512
80.0.	9.040178641355604	10.41236460514893	0.7036536545178621	2.636243264587348
90.0.	11.307892141356199	8.893672627802111	0.701042273003976	2.425964126306176
100.0.	12.594540553003728	9.124066336085912	1.344852624067403	1.429197574395705
110.0.	11.025337959997119	10.390208346436573	3.124522776408999	1.114775523440724
120.0.	7.9868489134009035	11.190776639808943	3.297721164269732	1.557052509880682
130.0.	8.011244728244423	10.520576243135292	1.434098319456889	2.322060618824032
140.0.	9.818359813217846	9.324355644673636	0.792915574514031	2.329491374159764
150.0.	11.694374668169049	9.317543034070075	0.8926683982284871	1.5776899301747962
160.0.	12.29298048766431	10.318652673741543	1.738544623311299	1.190993288256653
170.0.	10.08788038672273	11.155372255647327	3.363745555159712	1.484419558856295
180.0.	7.892794716302069	10.584531274878518	2.701341487026842	2.338059920510034
190.0.	8.501148591866189	9.206818538682121	1.228638127463586	2.467506043765541
200.0.	10.334639953801162	9.110150423582875	0.7968917816423461	1.5983205187313452
210.0.	12.03275654330238	10.240988338340497	0.9907516720958901	1.087076759301975
220.0.	12.11412060303074	11.435551151748307	2.072944198818046	1.237320045849313
230.0.	9.373966229505712	11.21993227601643	3.591658457016363	2.228246615572885
240.0.	7.695536562749695	9.162800615142102	2.366977018214934	3.035978640961445
250.0.	8.7375903378245	8.376189325508573	1.03986612975348	1.8915821137967401
260.0.	10.762552691975937	9.59530953897447	0.7049587872022891	0.9679453999692631
270.0.	12.502349156705487	11.409468363006148	0.99299371649719	0.8455946181924681
280.0.	12.139605993272953	12.353973171933944	2.430732686368351	1.538981018268494
290.0.	8.595632306863234	10.324588712434466	4.038843849795696	3.460803727217591
300.0.	7.270127225983119	7.600319036477455	2.105684845387648	3.034164562105209
310.0.	8.821418717908651	8.18350220201237	0.79059463326125	1.139923957631762
320.0.	11.205827459674767	10.37089777232477	0.539078910309577	0.5737610767345851
330.0.	13.185631396417607	12.607622794582793	0.899911530957143	0.7077041432083091
340.0.	12.418557947980256	13.053724370380467	2.857890529761268	2.036423964222837
350.0.	7.622945948646294	8.755870784859454	4.813473176829065	4.967559546500869
360.0.	6.64278791888187	6.455232197195646	1.832127359189975	2.486402398626622
370.0.	8.741649060945075	8.18612693479355	0.538888087248533	0.642576762642118
380.0.	11.531339556061129	10.97116473213696	0.354300158396458	0.335170484956052
390.0.	13.941521866732712	13.59999246477678	0.683185740824054	0.5378731923051681
400.0.	13.277508007223686	13.93265903850446	3.002308944916488	2.298864440273023
410.0.	6.801912663357909	7.546511381991344	6.1034186060402345	6.556294874776903
420.0.	5.804137038776399	5.526240216180397	1.772950530888266	2.228357559684752
430.0.	8.261689804146947	7.825578499065752	0.378351476201279	0.415167480157889
440.0.	11.36451872654382	10.946173355240585	0.206644944381651	0.19075088737738902
450.0.	14.2928291357082	13.989671999222374	0.38075702881689605	0.30792193168547405
460.0.	15.042222212290183	15.374302167271052	2.081773392895549	1.610825679765625
470.0.	7.257523678666765	8.135557569956486	8.022608404546935	8.127179981099696
480.0.	4.728017224355913	4.5243434661178945	2.55046452844946	3.090185595053592
490.0.	7.135761865222644	6.785733457138872	0.369278208166249	0.40663362045932905
500.0.	10.384577720679234	10.038054275493568	0.12994199325118602	0.12405062631006701
510.0.	13.666086940631914	13.36088836447126	0.164614070691699	0.1400293244954
520.0.	16.184880622400954	16.098753604778313	0.750713291769255	0.593413591893724
530.0.	11.657593589820454	12.755548691454928	6.767011283439034	5.8931186787864585
540.0.	3.9818699863373412	4.002646443738957	5.9042351753828015	6.79225810591576
550.0.	5.419983996745713	5.150095539659312	0.7179742004386851	0.8227565877083131
560.0.	8.607750261244197	8.31828803510072	0.129838863505016	0.132065823526603
570.0.	12.018206074729006	11.740737008205379	0.081805064650751	0.07474303266934801
580.0.	15.289041756550498	15.06019875449884	0.19875502129038103	0.167244607335495
590.0.	16.74969884920732	16.920227185882904	1.6891066357835052	1.368501724563822
600.0.	6.649591787015535	7.396327846327408	10.82044996484314	10.858328465729839
610.0.	3.707005741550748	3.566749273203205	2.9162004900921623	3.365901182033981
620.0.	6.322047412482699	6.091027153292004	0.292869851105921	0.31784293233194605
630.0.	9.702367871286196	9.469351516590537	0.074896203497889	0.073717899093304
640.0.	13.151484007890636	12.930046406261631	0.07301523883748201	0.06627134257388101
650.0.	16.333275857887855	16.17003002207272	0.278725081360281	0.23808179326714302
660.0.	15.953227343464526	16.389737327271597	3.405843041882845	2.889770538628783
670.0.	4.250977365257619	4.504641219898231	10.386966657285958	11.010008991184609
680.0.	4.045243046567247	3.894557837063008	1.5394043786934821	1.728904861736654
690.0.	7.068970057557678	6.882535582099498	0.16712894830284603	0.17519208269577402
700.0.	10.512914365123407	10.327952901031393	0.057365262579038005	0.055746871043349
710.0.	13.965719482632156	13.79183083696568	0.077321004137097	0.070665256990981
720.0.	16.99305293423341	16.888758571330953	0.40789217895147706	0.356546992988629
730.0.	14.069208906185416	14.66860304135428	5.851723640658937	5.238083844001057
740.0.	3.393769494254242	3.4522093578101343	8.406507099067287	9.002266415179765
750.0.	4.492109228116464	4.359989200104096	0.915560053851425	0.997913845140533
760.0.	7.6982015936487755	7.550397632493304	0.11563182195954201	0.118611898444527
770.0.	11.168468184894529	11.023008119289477	0.050949997452593	0.049320182151339
780.0.	14.609073054949535	14.474497378097576	0.089260344860194	0.08248681188775
790.0.	17.399233774608167	17.347319318290182	0.606641177666518	0.542946678626382
800.0.	11.540957878071197	12.12822400077408	8.610008563656093	8.099082272710072
810.0.	3.130227690279658	3.118967323784573	6.380657237166777	6.806182667128393
820.0.	4.960710070521859	4.851471220105445	0.591729252272861	0.629141678519462
830.0.	8.266470286575677	8.150146554532691	0.088875287125596	0.0899329078208
