time	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
0.0.	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6469779601696877e-23	0.0	0.0
0.0.3.0	0.6551548100133531	0.500457747367208	0.666675965758283	1.469006015940674	2.143164183543585	0.26963968195042604	0.5599090239105661	0.21931623057562502	0.158105720464414	48.01286290423609	14.556262521221413	0.6708877252656691	12.770143519077417	7.267347042211441	0.195472889790058	5.723178124496647	4.162415894177092
0.0.6.0	0.4542838468736	1.064107943342828	0.670811516013817	1.429712149340462	2.080290854176732	0.270019678209993	0.517741288149814	0.21756609205218103	0.159811189733471	35.366040167361064	27.406072815969384	0.731605154369097	12.624864054344386	7.150186253046233	0.17817449235840802	5.813693798276186	3.8650187063823793
0.0.8999999999999999.0	0.437368123006998	1.59342116430767	0.673348226645854	1.3892924438725491	2.016248696758221	0.26978029574810103	0.47872933413748003	0.21538509886947002	0.161129049816848	26.34466412488651	36.61039175652395	0.6909214660088351	12.456592999480808	7.021890843458674	0.16247839938687703	5.890122721882252	3.588235255208917
1.0.2.0	0.41955839893601	2.091304161164748	0.675096848005684	1.349508391226421	1.953583184547639	0.269251615010203	0.44318425252226906	0.21304346650605102	0.162250088633865	19.930524511292386	43.224607787975046	0.6531641945680591	12.281058293994924	6.891380149391331	0.14841880969357302	5.959305195758061	3.334760650773749
1.0.5.0	0.40545174121117705	2.560414311837837	0.676169230133285	1.3105348389169431	1.892521056889687	0.26847969510678704	0.41082411366116506	0.210578267454215	0.163200096612506	15.361041737924639	47.99406909309396	0.6257399829657581	12.100369134388805	6.759789928207987	0.13583092827898102	6.022138232966552	3.102847610349741
1.0.7999999999999998.0	0.39452411415898603	3.003250142480934	0.6767215893164451	1.272640156053877	1.8334264827290911	0.267528296442545	0.38143595216033305	0.20804062918822602	0.164015522604042	12.102353883339882	51.44765501387783	0.6065336385150021	11.917447652119355	6.628715706150619	0.12458320155856101	6.079909906627821	2.891218112676473
2.0.1.0	0.38594147045505606	3.422161907122569	0.676875295963358	1.236007865701656	1.77654032639821	0.266446741718879	0.354802049571146	0.20546943543974402	0.16472474632269302	9.775828780721834	53.96143743564945	0.5932368663129131	11.734494304324087	6.49933678226004	0.11455012768747601	6.133623797474334	2.6985220668765972
2.0.4.0	0.37905902608712805	3.819339466957705	0.6767192985758761	1.200745149565328	1.721992869303549	0.26527097811848	0.33070195906898303	0.20289232662258702	0.165348609157511	8.112360043828836	55.80296133536721	0.584121986092049	11.553049065751003	6.372453382793216	0.105612082131932	6.184016536786697	2.523355883791959
2.0.6999999999999997.0	0.373411470949329	4.196806652438121	0.676318573461653	1.166904309881879	1.669835388362419	0.26402707052795804	0.308919457997267	0.20032866579327302	0.16590237697321802	6.920618648946073	57.16261805452374	0.5779523982303131	11.37416678019039	6.24858853486197	0.097656960563374	6.231627284487895	2.364317371811165
3.0.	0.368666078891954	4.556422228340621	0.675720872457484	1.134499655698674	1.620064955977637	0.262733986540792	0.28924745602436003	0.19779189505430603	0.16639730996874802	6.064562655746567	58.17593890121717	0.573849126637446	11.198556277822412	6.128068713837871	0.09058116573172101	6.2768533911775695	2.220045328874712
3.0.3.0	0.36458500643547503	4.89988530026486	0.6749616060840551	1.103519632001507	1.572642220864271	0.261405611511534	0.27149091034535	0.19529123913347501	0.16684179889310502	5.447456592438556	58.93944400026331	0.571188323827514	11.026680896018036	6.011082050385451	0.08428995931006	6.319990690053356	2.089244162170114
3.0.5999999999999996.0	0.36099800596264203	5.228743428510493	0.674067329285158	1.073935405049723	1.5275039639762702	0.26005218697555105	0.255468324816718	0.19283292075756	0.167242176046003	5.000510921759032	59.521910415942806	0.569527574031902	10.858830152685519	5.897719779850237	0.078697382845285	6.361262253393074	1.970697778112038
3.0.9.0	0.35778296741478804	5.544402237928638	0.67305822548541	1.045706912928125	1.484571919329521	0.258681335764786	0.24101229584541903	0.190421026185099	0.16760329314382702	4.674805269499827	59.97238371883131	0.568553410574805	10.695170750901829	5.788005688642945	0.073725908972645	6.400838879022529	1.863276159528516
4.0.2.0	0.354852072671032	5.8481357027926535	0.671949877270402	1.018787114541007	1.443758942006679	0.25729879277207	0.22796943428564	0.188058121602994	0.167928933154972	4.435546195431201	60.3258742418762	0.5680439963903771	10.535782866037263	5.681917016058725	0.069305935188034	6.438853687259672	1.765937070661109
4.0.5.0	0.352141945861745	6.141096562408728	0.67075452946998	0.993124960033231	1.404973295159422	0.25590892626447503	0.21619989240259901	0.18574569225679102	0.16822210400280802	4.257984680550041	60.60740725614788	0.56784259324382	10.38068596236664	5.579399279372838	0.065375196158043	6.475412527579994	1.6777245967209922
4.0.8.0	0.34960664568682803	6.424326515717384	0.6694819910498141	0.968667454543325	1.3681216047505411	0.25451511014947903	0.205576653735136	0.18348445544736103	0.16848524821392002	4.12451359666457	60.83490283262259	0.5678387019697441	10.229857160694104	5.48037677786328	0.06187814501566401	6.510601403944632	1.597765701931671
5.0.1.0	0.34721267879707	6.69876597660712	0.6681402799352011	0.9453610796303	1.333110871965908	0.253119990153965	0.19598469350255102	0.18127458376063102	0.1687203927475	4.02260408929062	61.021223641375336	0.567954656350797	10.083244305926295	5.384760024307051	0.058765336330767005	6.544491778574587	1.525265620744353
