time	EGF	GS	Grb	PLCg	PLCgP	PLCgl	R	R2	RG	RGS	RP	RPLCg	RPLCgP	RSh	RShG	RShGS	RShP	Ra	SOS	ShG	ShGS	ShP	Shc
3.0.2.0	581.2210156900479	0.8101868814085861	79.36469093425717	95.31201137532959	0.7932633451601451	0.648363284707931	1.22101569004875	13.544474597719383	0.302846779593888	0.129706546048415	0.7811835622075081	3.6974738012261783	4.5488881935760865	1.4933669462818622	2.190789631053674	0.703909628080426	11.142803350788931	21.708098236798474	31.695420511062466	0.8370931661576051	0.660776433400157	3.795142837276641	129.17611800696068
4.0.	580.8009828425756	0.972542587706232	76.21351665673917	92.45142763512709	1.263611037201418	1.446686352775718	0.8009828425766241	11.252433197197682	0.35919577273675	0.20237764650346102	0.759302078148765	3.775863399867869	6.062411575027866	1.403718636221422	2.966897122843199	1.277002124881676	12.59237295715817	17.895868136249586	30.012285353371382	1.472675801052157	1.535792287537297	5.8472468471740395	122.90429422313197
4.0.800000000000001.0	580.6198506269591	1.150261460046648	72.7792012705086	89.77925660176929	1.70324666833569	2.58934610249055	0.6198506269598091	9.636320108260133	0.40146482713636905	0.27630591114152603	0.74448086940448	3.722701919634628	7.205448707769791	1.323227598553515	3.518301563174348	1.8976289078360191	13.288330916106485	15.351726715005551	27.880555629160963	2.181587968341516	2.795248091814885	7.8987453672404655	117.09692958693272
5.0.6000000000000005.0	580.5219906038592	1.355809212956074	69.21401987956173	87.23518616572453	2.076538287494148	4.027271007480137	0.5219906038597231	8.582633153449917	0.43648429246304304	0.346650627124358	0.7391874390350841	3.641380791264	8.019623748037148	1.25938876446896	3.871336009757356	2.486611079093743	13.569169121629043	13.573079343494921	25.452692335040542	2.9308521532582903	4.358236745785327	9.875089626884451	111.64931649912275
6.0.4.0	580.4599254657076	1.590018632794039	65.61498368006829	84.77455416185398	2.377568615601396	5.697249412342693	0.45992546570811704	7.929477934346537	0.46881633101893705	0.410752418413725	0.74203726845424	3.569114887465303	8.581512922736605	1.209698714212323	4.077902572058677	2.996380744116259	13.640272989261813	12.288140970122999	22.87736899379314	3.7156664106471142	6.125479210882888	11.760989096156559	106.47361026266432
7.0.2.0	580.4168662404152	1.844664083899009	62.0453548068795	82.36761223468886	2.615101924195595	7.539568788271982	0.41686624041573306	7.547759355660306	0.5011759789397741	0.46734457576315	0.7511863664267701	3.514659379430241	8.963057673413338	1.170268749252825	4.185053640934583	3.406589802771841	13.614066870162839	11.340808974072898	20.276802962303073	4.545218535549092	8.004598575262975	13.56649237197006	101.50771145409573
8.0.	580.385648829937	2.106626025785115	58.54865558693231	79.99507993869355	2.802544311794578	9.505179348712042	0.385648829937406	7.348429916792122	0.535054261684207	0.5159657912140121	0.765151167558024	3.47674766600914	9.2204487347907	1.13786094921304	4.227012745821516	3.714842251130005	13.548005956192075	10.635312289252878	17.744077507353865	5.4333549129157195	9.918488424517058	15.310155473057462	96.71027928715303
8.0.8.0	580.3625881301601	2.361571980193217	55.15664369438485	77.64449417821525	2.9528975734611462	11.556837008091701	0.362588130160777	7.273315112585625	0.571185095056942	0.556603014316443	0.782891419088076	3.45162306345952	9.394148176772385	1.110126512831416	4.22606448615472	3.928665160306269	13.469426409387427	10.109314969921554	15.34763176462436	6.3937384890277364	11.805528080559773	17.01195310205242	92.05449775968016
9.0.600000000000001.0	580.3454908982053	2.596472948405758	51.89355685263525	75.3077875685606	3.076867478688312	13.667604731174874	0.34549089820600404	7.285167856801508	0.6098332955139381	0.589502087877486	0.803719079738175	3.435631685664708	9.51210853591151	1.085431386961604	4.195716404327572	4.060117231970991	13.389906716849454	9.720240538560082	13.136465883344064	7.437359330867196	13.617441848401766	18.690751760062614	87.52327532055874
10.0.4.0	580.332918887284	2.8009951111880342	48.77827000926336	72.97977679068082	3.182556293495341	15.818605034019185	0.332918887284885	7.360233088731498	0.650956747518447	0.615079169673247	0.82719362327498	3.425869208803083	9.59319267300158	1.062645138307868	4.143720664363395	4.122631523279464	13.313073745635759	9.437889947536451	11.143916998678213	8.570969577532917	15.317377197181104	20.363596114902755	83.10598603879666
11.0.200000000000001.0	580.3238694461461	2.968060462637872	45.82533712106381	70.65723113680046	3.275793017038831	17.996879850929695	0.323869446146739	7.48329232847011	0.694296025996318	0.633883224781675	0.853040753667717	3.420170208305316	9.649925786925724	1.0409767205148701	4.074361222671118	4.129332444829253	13.238685490328864	9.240202140871311	9.389851461015152	9.79585709128382	16.878872406736114	22.045564119650127	78.79635050398574
12.0.	580.317615153706	3.093883445504027	43.04545424825678	68.33829411925524	3.360629462030933	20.193647917834557	0.317615153706647	7.644513912090951	0.739429851651576	0.646577122982673	0.881096555809446	3.416934799518531	9.690493701360769	1.019861814001342	3.99003383455284	4.092205515280728	13.164706048264593	9.110678535266445	7.881839593778375	11.106921659317107	18.285494322454262	23.74970790273649	74.59106890339251
12.0.8.0	580.3136133273822	3.177708598944998	40.44564330680297	66.02211731457409	3.439805464179735	22.402990583407504	0.313613327382932	7.837490352562672	0.7858203704590341	0.6539180119814231	0.911271192509695	3.414957273191364	9.72012936464737	0.998889416808696	3.89228513289455	4.021723398270603	13.088337372588445	9.036742900789358	6.616047809075559	12.492298998918939	19.530602181727485	25.48693573092839	70.48892776786276
13.0.600000000000001.0	580.3114505324827	3.221378167155284	38.0293405586091	63.708622178302164	3.5151223384846153	24.620901573835802	0.311450532483361	8.058022862361982	0.8328605261556281	0.656727753022961	0.943525940034148	3.413297040185655	9.742056869191831	0.9777550036269511	3.782459216833795	3.926713581436724	13.006527573632972	9.00865673455134	5.578490582613403	13.933830281014815	20.616689915771694	27.265824881138144	66.4901995465448
14.0.4.0	580.3108065615714	3.228790098696931	35.79651732378393	61.39834020852206	3.587721394064645	26.844616099909576	0.310806561572308	8.303366795392328	0.8799263134653411	0.6558524755311841	0.9778586970403451	3.41119107279981	9.75813122470398	0.9562306705416831	3.662054221684924	3.8143680737534513	12.916227108504184	9.018780131593221	4.747017654515297	15.40851979558104	21.55397169750321	29.092405089057323	62.5962233433741
