time	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
0.0.	1.443404	0.0	64.47652	0.0	7.398562	5.083923	5.772825	113.22	0.0	0.0	0.0	0.0	-6.018531076210112e-36	0.0	0.0	0.0	4.739546	0.0	0.0	91.26592	0.0	0.0	-4.591774807899562e-41
3.0.6.0	1.443403983092643	1.5706165701552578e-08	61.696265038728264	8.88170503622457e-06	1.304576648094578e-33	0.00061389448864	5.770583275179649	21.954080000000115	81.93382480796521	1.978192872291677	0.292829737894494	1.423233762709156	0.46548358372427706	4.788611724044296	0.0006377420473010001	0.000614950762633	4.734540278813129	0.000884353791347	0.004097092143028	-1.8571091515949033e-25	0.253507620977625	0.002176054741947	0.12673250027433902
7.0.2.0	1.443402861762218	9.836682597810336e-07	58.904455074138134	0.00029014952113200004	2.250546576933119e-35	7.843145602679456e-10	5.765499072045266	21.954080000000115	79.6931968740764	3.839690629994072	0.29327780422569505	1.250652535069472	0.46548358372427706	4.788854525156361	0.000560550685927	0.00061505957385	4.707909639074815	0.002976553401039	0.028313617260400003	4.2299408267857885e-30	0.420761844370859	0.006909718964469001	0.505207769595707
10.0.8.0	1.443391743868344	9.84915751945614e-06	56.11160192324399	0.002010377206951	-1.2877753832464119e-36	-2.771068474646448e-12	5.75815043304829	21.954080000000115	77.61357542019385	5.351112800783317	0.293342734064482	1.105788061514076	0.46548358372427706	4.788854525313559	0.0004956214768870001	0.0006150595739210001	4.647161955294973	0.0058509811082570005	0.08494941354574101	1.7335558423270834e-30	0.558277678772081	0.013451258820799	1.071690840581659
14.0.4.0	1.44334149346821	4.6741725739789484e-05	53.35909662076986	0.007443942839142001	1.2774132888393601e-34	7.410752468237436e-11	5.748948755601703	21.954080000000115	75.68475112582512	6.579151633639336	0.29339753074747305	0.9835299915292691	0.46548358372427706	4.788854525424032	0.000440824606443	0.00061505957397	4.544626553068219	0.009156097372835001	0.18118537241918	1.8365026210799893e-30	0.671334071199826	0.021266403931292	1.767177968170215
18.0.	1.44319135496574	0.000148117363733	50.6752888244896	0.01965200882592	-1.2207873733971659e-36	-1.281226804044635e-11	5.7382337273747055	21.954080000000115	73.89622584937186	7.578097208278988	0.293443979488037	0.879897757349373	0.46548358372427706	4.7888545254188735	0.000394375957962	0.000615059573968	4.397121162268521	0.012564884555515	0.319577795810484	7.105707219619793e-32	0.7642512771578831	0.029930916683589003	2.545236757635675
21.0.6.0	1.442842601031984	0.00036464218682300003	48.07822280441098	0.041997431191411	-8.729420990399151e-39	-1.6572090320432781e-12	5.726285902219294	21.954080000000115	72.23765378176446	8.39167838726475	0.29348353309130604	0.7916491434292691	0.46548358372427706	4.788854525413229	0.00035482234918700003	0.000615059573965	4.205519585951422	0.015789547083284002	0.498577242540965	1.0485269311845291e-33	0.8405520659282181	0.039110032975088006	3.369990933794142
25.0.2.0	1.442157842231711	0.000755602407697	45.5779933449114	0.077698927021437	6.799059723037705e-40	5.159024231547693e-14	5.713337308744931	21.954080000000115	70.69912929462538	9.055027981943585	0.293517372786029	0.716148921603822	0.46548358372427706	4.788854525412444	0.00032098265354000004	0.000615059573965	3.9741093872109783	0.018597190001209	0.7132421547738531	5.2905362864017864e-37	0.9031036942800861	0.048541378610754006	4.214359340986915
28.0.8.0	1.440965050403701	0.00138205657319	43.17876233096035	0.12950783415529601	-1.388728167503924e-41	6.555765123221572e-15	5.699580253015419	21.954080000000115	69.27136105843775	9.596352957854318	0.29354645828290804	0.651255859755404	0.46548358372427706	4.788854525412438	0.000291897156711	0.000615059573965	3.7097707224409913	0.020821112470299	0.956117210859712	-4.852918106201463e-37	0.9542397003989991	0.058020937479807	5.058456704220417
32.0.4.0	1.439064827151344	0.0023003954202370004	40.88046441665422	0.199521747572576	-6.5540609484502645e-43	-2.9053133604862863e-16	5.685174543608219	21.954080000000115	67.9457628581392	10.038316356846323	0.29357157023978603	0.595228218899116	0.46548358372427706	4.788854525412441	0.000266785199839	0.000615059573965	3.42105766653186	0.022365041602532002	1.218194805785858	-1.625446427921964e-38	0.9958616318480851	0.067391616553566	5.888130076714122
